,what,type,of,undergarment,",",if,any,",",was,included,into,the,apollo,spacesuit,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.29081714153289795,0.4933079481124878,0.33724796772003174,0.4525727927684784,0.4933079481124878,0.48711544275283813,0.3825419843196869,0.39493247866630554,1.0,0.2169172167778015,0.26034942269325256,0.22068053483963013
traditional,0.20066824555397034,0.24226014316082,0.32287317514419556,0.3084813356399536,0.25490131974220276,0.11230624467134476,0.2085614800453186,0.25490131974220276,0.1784529834985733,0.20846104621887207,0.20787279307842255,0.25703898072242737,0.07748650014400482,0.17059525847434998,0.1327509582042694
visor,0.16401974856853485,0.147449791431427,0.18411992490291595,0.19446639716625214,0.30511897802352905,0.18370495736598969,0.1713942587375641,0.30511897802352905,0.25445714592933655,0.20130003988742828,0.11911072582006454,0.23946455121040344,0.1462799608707428,0.2803390324115753,0.13100400567054749
helmet,0.22540602087974548,0.18372447788715363,0.21710456907749176,0.4020691514015198,0.2137030065059662,0.22919166088104248,0.18832188844680786,0.2137030065059662,0.168026864528656,0.20091839134693146,0.19591741263866425,0.27434372901916504,0.2367723435163498,0.245270773768425,0.11003443598747253
was,0.22111038863658905,0.14348182082176208,0.4069072902202606,0.18769873678684235,0.45456063747406006,0.16164100170135498,0.22746296226978302,0.45456063747406006,1.0000001192092896,0.3148443400859833,0.2322220653295517,0.48711544275283813,0.2306441366672516,0.20578311383724213,0.18412111699581146
replaced,0.12975038588047028,0.14176277816295624,0.20067165791988373,0.1454777717590332,0.21472671627998352,0.16576194763183594,0.13812266290187836,0.21472671627998352,0.34946855902671814,0.2540256977081299,0.2007734626531601,0.2645455598831177,0.10294660925865173,0.17125320434570312,0.14945141971111298
with,0.2464839518070221,0.1964726597070694,0.41827285289764404,0.2443694919347763,0.4120737314224243,0.34021785855293274,0.34412381052970886,0.4120737314224243,0.27411898970603943,0.329644113779068,0.2912435233592987,0.4223487675189972,0.1249200850725174,0.289544016122818,0.2433311939239502
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2796683609485626,0.427140474319458,0.41272827982902527,0.45031747221946716,0.427140474319458,0.4508470594882965,0.23032639920711517,0.3461161255836487,0.5829201340675354,0.19996169209480286,0.28736045956611633,0.23916715383529663
clear,0.4239453375339508,0.21704570949077606,0.25915294885635376,0.3118331730365753,0.2705954313278198,0.3869636356830597,0.3664856553077698,0.2705954313278198,0.13787133991718292,0.12746794521808624,0.2193426787853241,0.3209454417228699,0.1548117995262146,0.2332589030265808,0.2738020122051239
``,0.008517155423760414,0.03534303233027458,0.06780257821083069,0.03595345467329025,0.09681109338998795,0.20059196650981903,0.14707304537296295,0.09681109338998795,-0.012679691426455975,-0.003625095821917057,0.02736244536936283,0.029072100296616554,-0.054567184299230576,0.045451220124959946,0.0685480609536171
