,what,was,published,in,february,of,2007,?
in,0.30808621644973755,0.45514053106307983,0.26697060465812683,1.0,0.2990526556968689,0.5696388483047485,-0.2201838344335556,0.20430970191955566
a,0.3320399522781372,0.4508470594882965,0.1993555724620819,0.539380669593811,0.2560074031352997,0.5052502155303955,-0.06548836827278137,0.23916715383529663
report,0.2868559956550598,0.19926786422729492,0.3798125088214874,0.204250767827034,0.18492063879966736,0.22992923855781555,-0.10589112341403961,0.3138936758041382
",",0.3087472915649414,0.45456063747406006,0.2937801778316498,0.5201468467712402,0.43470194935798645,0.4946078956127167,-0.24049624800682068,0.31091248989105225
published,0.20457668602466583,0.2896443009376526,1.0,0.26697060465812683,0.1863275170326233,0.23023100197315216,-0.13878703117370605,0.16280238330364227
in,0.30808621644973755,0.45514053106307983,0.26697060465812683,1.0,0.2990526556968689,0.5696388483047485,-0.2201838344335556,0.20430970191955566
early,0.2454567849636078,0.4148794412612915,0.2531701326370239,0.34672921895980835,0.18625633418560028,0.30937549471855164,-0.1751134842634201,0.15272949635982513
february,0.1913013905286789,0.446986585855484,0.1863275170326233,0.2990526556968689,1.0,0.20366249978542328,-0.2294733226299286,0.29594847559928894
2007,-0.15549811720848083,-0.29168957471847534,-0.13878703117370605,-0.2201838344335556,-0.2294733226299286,-0.21244128048419952,1.0,-0.1664225310087204
by,0.2455483376979828,0.4752357602119446,0.32986849546432495,0.370934396982193,0.22200515866279602,0.3646814823150635,-0.14437821507453918,0.17966607213020325
the,0.42745697498321533,0.48711544275283813,0.22017472982406616,0.6662389636039734,0.26483774185180664,0.733189046382904,-0.23657195270061493,0.22068053483963013
ear,0.1741301566362381,0.12988972663879395,0.04655947908759117,0.18923775851726532,0.0888572707772255,0.1519506573677063,0.10068687796592712,0.1579822301864624
institute,0.17608846724033356,0.25862374901771545,0.23575131595134735,0.2517135441303253,0.19616863131523132,0.2977932393550873,-0.10646218061447144,0.115291528403759
at,0.2838611304759979,0.36707764863967896,0.16002829372882843,0.4374977946281433,0.29389339685440063,0.42558613419532776,-0.2321649193763733,0.21978627145290375
the,0.42745697498321533,0.48711544275283813,0.22017472982406616,0.6662389636039734,0.26483774185180664,0.733189046382904,-0.23657195270061493,0.22068053483963013
university,0.20256435871124268,0.290752112865448,0.23648959398269653,0.3201795518398285,0.244954913854599,0.30646374821662903,-0.16496500372886658,0.11887256056070328
college,0.20568516850471497,0.275774210691452,0.14966915547847748,0.2160365730524063,0.2115643322467804,0.2384195327758789,-0.17617720365524292,0.11076676845550537
london,0.15188734233379364,0.3026486933231354,0.2648187577724457,0.2785358726978302,0.17099180817604065,0.2159106284379959,-0.2430105060338974,0.11278104782104492
",",0.3087472915649414,0.45456063747406006,0.2937801778316498,0.5201468467712402,0.43470194935798645,0.4946078956127167,-0.24049624800682068,0.31091248989105225
and,0.31309178471565247,0.3740963041782379,0.22629010677337646,0.4954058527946472,0.25102463364601135,0.5116966962814331,-0.2391151487827301,0.20544172823429108
widex,0.22939370572566986,0.15405334532260895,0.2040911465883255,0.23594772815704346,0.12990136444568634,0.2516777217388153,0.07403424382209778,0.21149542927742004
",",0.3087472915649414,0.45456063747406006,0.2937801778316498,0.5201468467712402,0.43470194935798645,0.4946078956127167,-0.24049624800682068,0.31091248989105225
a,0.3320399522781372,0.4508470594882965,0.1993555724620819,0.539380669593811,0.2560074031352997,0.5052502155303955,-0.06548836827278137,0.23916715383529663
danish,0.09652101993560791,0.16968923807144165,0.18151737749576569,0.14959366619586945,0.16782338917255402,0.11180341243743896,-0.19526983797550201,0.09872670471668243
hearing,0.34058091044425964,0.16393141448497772,0.1267261803150177,0.20339344441890717,0.17527557909488678,0.23290106654167175,-0.029422027990221977,0.19994913041591644
aid,0.1778782606124878,0.15475519001483917,0.11098479479551315,0.1754455417394638,0.1382422149181366,0.20153990387916565,-0.017523732036352158,0.08358026295900345
manufacturer,0.13465645909309387,0.22239656746387482,0.19290359318256378,0.15855246782302856,0.1777191162109375,0.1593974381685257,0.0023332603741437197,0.11731472611427307
",",0.3087472915649414,0.45456063747406006,0.2937801778316498,0.5201468467712402,0.43470194935798645,0.4946078956127167,-0.24049624800682068,0.31091248989105225
newcastle,0.16276082396507263,0.25710436701774597,0.13851383328437805,0.19270820915699005,0.2465735673904419,0.18781472742557526,-0.20566880702972412,0.0902252271771431
was,0.22111038863658905,1.0000001192092896,0.2896443009376526,0.45514053106307983,0.446986585855484,0.4069072902202606,-0.29168957471847534,0.18412111699581146
named,0.1525408923625946,0.37528327107429504,0.2434355914592743,0.28130269050598145,0.16491860151290894,0.2820465862751007,-0.14196349680423737,0.1297498345375061
as,0.31749409437179565,0.3677520453929901,0.16957594454288483,0.3887844979763031,0.2597405016422272,0.3886612355709076,-0.13822752237319946,0.27043893933296204
the,0.42745697498321533,0.48711544275283813,0.22017472982406616,0.6662389636039734,0.26483774185180664,0.733189046382904,-0.23657195270061493,0.22068053483963013
noisiest,0.28168216347694397,0.22141388058662415,0.20576828718185425,0.32987865805625916,0.17334531247615814,0.31027519702911377,-0.1948552280664444,0.23616230487823486
city,0.17493832111358643,0.3188765048980713,0.12981028854846954,0.3911624252796173,0.23219485580921173,0.32503411173820496,-0.30139315128326416,0.13423943519592285
in,0.30808621644973755,0.45514053106307983,0.26697060465812683,1.0,0.2990526556968689,0.5696388483047485,-0.2201838344335556,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,0.22017472982406616,0.6662389636039734,0.26483774185180664,0.733189046382904,-0.23657195270061493,0.22068053483963013
whole,0.38441845774650574,0.22826434671878815,0.1465534269809723,0.30267009139060974,0.14294496178627014,0.4001069962978363,-0.0734957754611969,0.21052291989326477
of,0.33290785551071167,0.4069072902202606,0.23023100197315216,0.5696388483047485,0.20366249978542328,1.0,-0.21244128048419952,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,0.22017472982406616,0.6662389636039734,0.26483774185180664,0.733189046382904,-0.23657195270061493,0.22068053483963013
uk,0.17163191735744476,0.206756129860878,0.21855378150939941,0.2261405885219574,0.1074548289179802,0.21513383090496063,-0.1339239478111267,0.20222434401512146
",",0.3087472915649414,0.45456063747406006,0.2937801778316498,0.5201468467712402,0.43470194935798645,0.4946078956127167,-0.24049624800682068,0.31091248989105225
with,0.2464839518070221,0.27411898970603943,0.1949073225259781,0.4080928862094879,0.1985294669866562,0.41827285289764404,-0.10512185841798782,0.2433311939239502
