,what,does,chlorophyll,absorb,?
photosystem,0.2531913220882416,0.24475109577178955,0.5869101285934448,0.4781152009963989,0.20814889669418335
ii,0.13866674900054932,0.15925389528274536,0.1885855495929718,0.16995930671691895,0.11928234249353409
and,0.31309178471565247,0.3461615741252899,0.2039463371038437,0.2635331153869629,0.20544172823429108
photosystem,0.2531913220882416,0.24475109577178955,0.5869101285934448,0.4781152009963989,0.20814889669418335
i,0.4411132335662842,0.2994098961353302,0.17979010939598083,0.17549364268779755,0.4695145785808563
contain,0.1832355558872223,0.28833872079849243,0.32592758536338806,0.3601457178592682,0.18853069841861725
light-harvesting,0.2891763746738434,0.22637999057769775,0.4405483901500702,0.43637725710868835,0.23012307286262512
complexes,0.17202474176883698,0.22630275785923004,0.4042796492576599,0.270900160074234,0.06042792648077011
with,0.2464839518070221,0.26186925172805786,0.1716228723526001,0.23586969077587128,0.2433311939239502
chlorophyll,0.23408083617687225,0.2114456593990326,1.0000001192092896,0.508098304271698,0.1099696233868599
and,0.31309178471565247,0.3461615741252899,0.2039463371038437,0.2635331153869629,0.20544172823429108
carotenoids,0.2214864045381546,0.26950395107269287,0.6262645721435547,0.5080045461654663,0.18201911449432373
that,0.6297725439071655,0.4764937460422516,0.2626972496509552,0.3280351161956787,0.32716336846351624
absorb,0.26995739340782166,0.282772958278656,0.508098304271698,0.9999999403953552,0.18596899509429932
light,0.22953972220420837,0.1665857434272766,0.36503008008003235,0.47052520513534546,0.17429810762405396
energy,0.190252885222435,0.23927782475948334,0.45149803161621094,0.5053080320358276,0.14860127866268158
and,0.31309178471565247,0.3461615741252899,0.2039463371038437,0.2635331153869629,0.20544172823429108
use,0.3453877568244934,0.39963871240615845,0.2224339246749878,0.3535999059677124,0.32795652747154236
it,0.45803478360176086,0.34188351035118103,0.18487794697284698,0.27424436807632446,0.25732165575027466
to,0.455847829580307,0.4391997456550598,0.23928487300872803,0.3085710406303406,0.29463258385658264
energize,0.2514362037181854,0.2592470645904541,0.4433435797691345,0.5431955456733704,0.1770433783531189
electrons,0.23107858002185822,0.2547900676727295,0.4660065770149231,0.4412906765937805,0.15516111254692078
.,0.3567904531955719,0.3022993505001068,0.24319429695606232,0.23536643385887146,0.4130953550338745
