,what,did,roland,bainton,say,about,luther,'s,position,on,jews,?
his,0.26976513862609863,0.3546801507472992,0.21918584406375885,0.2710738182067871,0.21501833200454712,0.24169853329658508,0.27093374729156494,0.047556519508361816,0.2973788380622864,0.32064297795295715,0.19577133655548096,0.18075084686279297
position,0.22031237185001373,0.2170831561088562,0.1432914286851883,0.14331193268299103,0.17424751818180084,0.11831491440534592,0.15110158920288086,-0.02956485003232956,1.0000001192092896,0.22749492526054382,0.11921438574790955,0.15529610216617584
was,0.22111038863658905,0.41399896144866943,0.24034664034843445,0.2704237997531891,0.24911612272262573,0.2577359974384308,0.19185513257980347,0.008974763564765453,0.23203803598880768,0.3909217119216919,0.1935933530330658,0.18412111699581146
entirely,0.38249561190605164,0.19654057919979095,0.09336164593696594,0.17561349272727966,0.2636231780052185,0.31920504570007324,0.13761961460113525,0.08845775574445724,0.12579549849033356,0.32423076033592224,0.1875840574502945,0.19651781022548676
religious,0.26794421672821045,0.2198762446641922,0.11905332654714584,0.1779368668794632,0.25795045495033264,0.2017030417919159,0.29995498061180115,0.0182697381824255,0.15595965087413788,0.16059501469135284,0.41674068570137024,0.15727058053016663
and,0.31309178471565247,0.34479495882987976,0.22595050930976868,0.27225133776664734,0.3314565122127533,0.3875081241130829,0.20796556770801544,0.06895173341035843,0.22603030502796173,0.4077630043029785,0.2555774748325348,0.20544172823429108
in,0.30808621644973755,0.2593238651752472,0.2399475872516632,0.23623165488243103,0.26482993364334106,0.39797019958496094,0.20523880422115326,-0.037580832839012146,0.20453733205795288,0.46853652596473694,0.2334136962890625,0.20430970191955566
no,0.339326947927475,0.23735837638378143,0.06306558847427368,0.1509479284286499,0.3752421438694,0.21095076203346252,0.08393751084804535,0.04497740417718887,0.2158942073583603,0.3244728446006775,0.10774834454059601,0.32165053486824036
respect,0.35592806339263916,0.2958885431289673,0.11167220026254654,0.17153847217559814,0.38843387365341187,0.23266030848026276,0.18346866965293884,0.003279697149991989,0.2787512242794037,0.15042367577552795,0.2726341187953949,0.2402682900428772
racial,0.20982670783996582,0.24622401595115662,0.15155702829360962,0.2467511147260666,0.23489226400852203,0.30328458547592163,0.32230889797210693,0.002606408903375268,0.17372147738933563,0.17078398168087006,0.3674260973930359,0.13234834372997284
.,0.3567904531955719,0.35288307070732117,0.22883524000644684,0.2896706759929657,0.33481550216674805,0.42038556933403015,0.24907569587230682,-0.003708066651597619,0.24342353641986847,0.49257001280784607,0.2115412801504135,0.4130953550338745
'',0.08143015950918198,0.01978493109345436,-0.0016030821716412902,0.02996150217950344,0.09060607105493546,0.007750829216092825,-0.04572787508368492,-0.04859459400177002,-0.05507151037454605,0.04238596186041832,-0.06881692260503769,0.018684765323996544
