,what,additional,membranes,do,secondary,chloroplasts,have,?
the,0.42745697498321533,0.2539002597332001,0.2330547422170639,0.30239659547805786,0.21037471294403076,0.23062430322170258,0.40389683842658997,0.22068053483963013
engulfed,0.2526431679725647,0.1341646909713745,0.4346589744091034,0.22794894874095917,0.1984512060880661,0.5026228427886963,0.34387657046318054,0.1501116305589676
alga,0.12795694172382355,0.20740367472171783,0.40578585863113403,0.25086095929145813,0.26107949018478394,0.6178844571113586,0.26862144470214844,0.15664592385292053
was,0.22111038863658905,0.10680072009563446,0.10123663395643234,0.11523093283176422,0.12099137902259827,0.1579415500164032,0.2863433063030243,0.18412111699581146
broken,0.28858938813209534,0.1872650384902954,0.2624005973339081,0.21412481367588043,0.13131766021251678,0.22623054683208466,0.3095342218875885,0.1915387511253357
down,0.26226112246513367,0.15491652488708496,0.19892607629299164,0.23059864342212677,0.13830339908599854,0.14566496014595032,0.2921358644962311,0.13836295902729034
",",0.3087472915649414,0.30316734313964844,0.22312511503696442,0.3283645510673523,0.2158004194498062,0.20794041454792023,0.3541618287563324,0.31091248989105225
leaving,0.2528557777404785,0.17469273507595062,0.13262839615345,0.2237979918718338,0.17184315621852875,0.18973886966705322,0.24758340418338776,0.11571593582630157
only,0.41415658593177795,0.3253368139266968,0.22757400572299957,0.36438748240470886,0.2295767217874527,0.31496280431747437,0.5199421048164368,0.2767370045185089
its,0.30393704771995544,0.1736358255147934,0.2205040156841278,0.18495778739452362,0.1844489574432373,0.24104106426239014,0.3852778375148773,0.15103481709957123
chloroplast,0.23505516350269318,0.18407313525676727,0.6360809803009033,0.2310386300086975,0.2597424387931824,0.9777651429176331,0.26476383209228516,0.12532055377960205
",",0.3087472915649414,0.30316734313964844,0.22312511503696442,0.3283645510673523,0.2158004194498062,0.20794041454792023,0.3541618287563324,0.31091248989105225
and,0.31309178471565247,0.3180832266807556,0.2664068639278412,0.276123583316803,0.25317713618278503,0.21511349081993103,0.4711785912513733,0.20544172823429108
