,what,was,the,name,of,the,doctor,who-related,song,released,in,1988,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.25567495822906494,0.25770121812820435,0.22749996185302734,0.2659924626350403,1.0,0.004595467355102301,0.20430970191955566
1988,-0.09063374996185303,0.06523006409406662,-0.009787061251699924,0.09384620189666748,0.017496710643172264,-0.009787061251699924,-0.0009538475424051285,0.14209915697574615,0.08711006492376328,0.04629207402467728,0.004595467355102301,1.0000001192092896,0.08449683338403702
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.2820442318916321,0.31703755259513855,0.300855815410614,0.24578391015529633,0.6662389636039734,-0.009787061251699924,0.22068053483963013
band,0.21816317737102509,0.25975263118743896,0.25564542412757874,0.1865013837814331,0.2142038196325302,0.25564542412757874,0.17680174112319946,0.14413689076900482,0.48077964782714844,0.4272291660308838,0.2001747488975525,0.09542562812566757,0.1476995348930359
the,0.42745697498321533,0.48711544275283813,1.0,0.3171212375164032,0.733189046382904,1.0,0.2820442318916321,0.31703755259513855,0.300855815410614,0.24578391015529633,0.6662389636039734,-0.009787061251699924,0.22068053483963013
justified,0.3712652921676636,0.2239340990781784,0.20756277441978455,0.09249439835548401,0.21700510382652283,0.20756277441978455,0.16948449611663818,0.30654609203338623,0.2101781964302063,0.25003963708877563,0.17641499638557434,0.0024691170547157526,0.38761505484580994
ancients,0.23177523910999298,0.19687815010547638,0.28229182958602905,0.19935761392116547,0.30931395292282104,0.28229182958602905,0.09256474673748016,0.2023572474718094,0.1433948576450348,0.12397591024637222,0.22345533967018127,-0.01988312229514122,0.1411297470331192
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.16895952820777893,0.3248978853225708,0.18425366282463074,0.17721395194530487,0.5696388483047485,0.017496710643172264,0.1826142966747284
mu,0.17581957578659058,0.13424570858478546,0.17463549971580505,0.15694908797740936,0.17378541827201843,0.17463549971580505,0.10957446694374084,0.14310528337955475,0.2382827252149582,0.13503868877887726,0.12113121896982193,0.0616249181330204,0.23880930244922638
mu,0.17581957578659058,0.13424570858478546,0.17463549971580505,0.15694908797740936,0.17378541827201843,0.17463549971580505,0.10957446694374084,0.14310528337955475,0.2382827252149582,0.13503868877887726,0.12113121896982193,0.0616249181330204,0.23880930244922638
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.2706909477710724,0.35032153129577637,0.33289089798927307,0.1570640504360199,0.27370327711105347,0.2101334184408188,0.20382565259933472,0.3087427020072937,0.2566596269607544,0.40561532974243164
later,0.2517229914665222,0.5684447288513184,0.4060266613960266,0.2509414553642273,0.3458743393421173,0.4060266613960266,0.21110832691192627,0.21453620493412018,0.2182619571685791,0.3072899580001831,0.40857815742492676,0.012920255772769451,0.1417175978422165
known,0.20381177961826324,0.35203275084495544,0.3624623417854309,0.3659360110759735,0.35814476013183594,0.3624623417854309,0.1213516891002655,0.24270910024642944,0.17879335582256317,0.20463141798973083,0.32641831040382385,0.1768421232700348,0.18314571678638458
