,what,mountainous,region,is,lake,constance,by,?
the,0.42745697498321533,0.2844386100769043,0.35020557045936584,0.5823672413825989,0.24325428903102875,0.23177717626094818,0.4408751428127289,0.22068053483963013
lake,0.17778855562210083,0.37857964634895325,0.20034347474575043,0.22300897538661957,1.0000001192092896,0.30982735753059387,0.17407365143299103,0.07226386666297913
is,0.28837618231773376,0.3123168349266052,0.3317503035068512,1.0,0.22300897538661957,0.2383592426776886,0.3899846076965332,0.22961433231830597
situated,0.21471437811851501,0.43087488412857056,0.34195035696029663,0.36439594626426697,0.28492671251296997,0.2571663558483124,0.13036051392555237,0.039639271795749664
in,0.30808621644973755,0.29979461431503296,0.3524819314479828,0.5394441485404968,0.260087251663208,0.2223079651594162,0.370934396982193,0.20430970191955566
germany,0.21690446138381958,0.23194986581802368,0.19784685969352722,0.2201172411441803,0.17356468737125397,0.3151199519634247,0.22670169174671173,0.1388660967350006
",",0.3087472915649414,0.28694602847099304,0.2119160145521164,0.4691906273365021,0.2802521586418152,0.3135715425014496,0.3680937886238098,0.31091248989105225
switzerland,0.10552600771188736,0.3032898008823395,0.2485673576593399,0.22848938405513763,0.2903166711330414,0.31170228123664856,0.16422809660434723,0.13347817957401276
and,0.31309178471565247,0.30992963910102844,0.2372262328863144,0.3859752118587494,0.234501451253891,0.30396533012390137,0.4289871156215668,0.20544172823429108
austria,0.15969835221767426,0.2320101112127304,0.2107698768377304,0.11112981289625168,0.18445497751235962,0.32941797375679016,0.18019534647464752,0.16068434715270996
near,0.19414293766021729,0.3820565938949585,0.28956255316734314,0.25453904271125793,0.30304625630378723,0.24595165252685547,0.10611382126808167,0.10734958201646805
the,0.42745697498321533,0.2844386100769043,0.35020557045936584,0.5823672413825989,0.24325428903102875,0.23177717626094818,0.4408751428127289,0.22068053483963013
alps,0.12007275223731995,0.5518401265144348,0.31882786750793457,0.16782210767269135,0.3508967459201813,0.2649419903755188,0.16843144595623016,0.07792776823043823
.,0.3567904531955719,0.19750988483428955,0.2506107687950134,0.4569662809371948,0.18603695929050446,0.2745775878429413,0.3936232924461365,0.4130953550338745
