,what,session,is,the,scottish,parliament,in,?
the,0.42745697498321533,0.2187730073928833,0.5823672413825989,1.0,0.21724988520145416,0.26521381735801697,0.6662389636039734,0.22068053483963013
current,0.18294453620910645,0.20702868700027466,0.2555285692214966,0.3314409554004669,0.1429591029882431,0.22191596031188965,0.1955713927745819,0.12074550241231918
mandatory,0.2798025608062744,0.2606081962585449,0.18665999174118042,0.2609555423259735,0.13882996141910553,0.2461058646440506,0.22892802953720093,0.18550173938274384
committees,0.1853698194026947,0.35288670659065247,0.15802469849586487,0.2924276292324066,0.18123844265937805,0.4124729335308075,0.2531541585922241,0.1382787674665451
in,0.30808621644973755,0.18112674355506897,0.5394441485404968,0.6662389636039734,0.16512006521224976,0.2323146015405655,1.0,0.20430970191955566
the,0.42745697498321533,0.2187730073928833,0.5823672413825989,1.0,0.21724988520145416,0.26521381735801697,0.6662389636039734,0.22068053483963013
fourth,0.137417271733284,0.22898201644420624,0.31589972972869873,0.40804702043533325,0.15439659357070923,0.12776121497154236,0.29149749875068665,0.13791213929653168
session,0.17364954948425293,1.0,0.1451595574617386,0.2187730073928833,0.18734458088874817,0.31762444972991943,0.18112674355506897,0.1393868774175644
of,0.33290785551071167,0.18514622747898102,0.4854315221309662,0.733189046382904,0.1698460429906845,0.2885259687900543,0.5696388483047485,0.1826142966747284
the,0.42745697498321533,0.2187730073928833,0.5823672413825989,1.0,0.21724988520145416,0.26521381735801697,0.6662389636039734,0.22068053483963013
scottish,0.13777151703834534,0.18734458088874817,0.16398480534553528,0.21724988520145416,1.0000001192092896,0.3418616056442261,0.16512006521224976,0.06442669779062271
parliament,0.21650300920009613,0.31762444972991943,0.19676777720451355,0.26521381735801697,0.3418616056442261,1.0,0.2323146015405655,0.1586504578590393
are,0.29724663496017456,0.14006167650222778,0.5330929756164551,0.40399202704429626,0.15686963498592377,0.09480422735214233,0.3841303884983063,0.24591213464736938
:,-0.12022944539785385,-0.04408830404281616,-0.07222653180360794,-0.03403344005346298,0.0004659995611291379,0.014206579886376858,0.020521078258752823,-0.07156077772378922
public,0.1729622185230255,0.285380095243454,0.1980048567056656,0.22857438027858734,0.11026261746883392,0.26356351375579834,0.29074716567993164,0.19872993230819702
audit,0.22929847240447998,0.3469763696193695,0.14861708879470825,0.2165907621383667,0.10132981091737747,0.22363248467445374,0.20569251477718353,0.17455393075942993
;,0.10986888408660889,-0.0031926322262734175,0.05324986204504967,0.09152708947658539,0.01846458949148655,0.03756367042660713,0.092739537358284,0.10349778085947037
equal,0.2397335022687912,0.19640904664993286,0.20287640392780304,0.21154357492923737,0.09599462151527405,0.21586129069328308,0.12870801985263824,0.15421567857265472
