,what,is,one,of,the,reason,that,underdeveloped,nations,received,aid,from,the,oil,income,?
some,0.4491020441055298,0.3038453459739685,0.4537518322467804,0.4300730526447296,0.4566698372364044,0.3497675657272339,0.6049469113349915,0.44782423973083496,0.2068023383617401,0.20349183678627014,0.22532162070274353,0.35210713744163513,0.4566698372364044,0.19998930394649506,0.2581866979598999,0.2562315762042999
of,0.33290785551071167,0.4854315221309662,0.4999135136604309,1.0,0.733189046382904,0.23645815253257751,0.41498205065727234,0.30484285950660706,0.27521562576293945,0.2628524899482727,0.20153990387916565,0.4249346852302551,0.733189046382904,0.22900764644145966,0.2581324577331543,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.733189046382904,1.0,0.29647648334503174,0.5473989248275757,0.3396575450897217,0.3506215214729309,0.24890556931495667,0.21952909231185913,0.40150508284568787,1.0,0.21849922835826874,0.23699946701526642,0.22068053483963013
income,0.21837803721427917,0.14559021592140198,0.17004019021987915,0.2581324577331543,0.23699946701526642,0.262471467256546,0.2627509534358978,0.3870076835155487,0.22440767288208008,0.220232293009758,0.25835010409355164,0.17458222806453705,0.23699946701526642,0.2985721230506897,1.0,0.14935168623924255
was,0.22111038863658905,0.5810302495956421,0.3752199709415436,0.4069072902202606,0.48711544275283813,0.23413166403770447,0.33670201897621155,0.287416934967041,0.2097785323858261,0.3745744526386261,0.15475519001483917,0.31171464920043945,0.48711544275283813,0.15102124214172363,0.15067929029464722,0.18412111699581146
dispensed,0.29478228092193604,0.175658717751503,0.2752200663089752,0.35768577456474304,0.2874426543712616,0.22283710539340973,0.33362218737602234,0.33556774258613586,0.19728192687034607,0.22935929894447327,0.23761838674545288,0.22645698487758636,0.2874426543712616,0.16431571543216705,0.2229219526052475,0.2207486480474472
in,0.30808621644973755,0.5394441485404968,0.4129433035850525,0.5696388483047485,0.6662389636039734,0.21220409870147705,0.435920387506485,0.2721101939678192,0.259304404258728,0.2772020101547241,0.1754455417394638,0.4274188280105591,0.6662389636039734,0.21800900995731354,0.1795814335346222,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,0.5514441132545471,0.733189046382904,1.0,0.29647648334503174,0.5473989248275757,0.3396575450897217,0.3506215214729309,0.24890556931495667,0.21952909231185913,0.40150508284568787,1.0,0.21849922835826874,0.23699946701526642,0.22068053483963013
form,0.15868011116981506,0.3218395411968231,0.2667044997215271,0.29600051045417786,0.29286009073257446,0.21627523005008698,0.31894639134407043,0.2926715016365051,0.15015606582164764,0.11098872125148773,0.13218601047992706,0.2607075572013855,0.29286009073257446,0.07417235523462296,0.13054175674915314,0.1463010311126709
of,0.33290785551071167,0.4854315221309662,0.4999135136604309,1.0,0.733189046382904,0.23645815253257751,0.41498205065727234,0.30484285950660706,0.27521562576293945,0.2628524899482727,0.20153990387916565,0.4249346852302551,0.733189046382904,0.22900764644145966,0.2581324577331543,0.1826142966747284
aid,0.1778782606124878,0.10512593388557434,0.14467735588550568,0.20153990387916565,0.21952909231185913,0.15932078659534454,0.22319309413433075,0.30815523862838745,0.2846266031265259,0.16117338836193085,0.9999998807907104,0.2172318547964096,0.21952909231185913,0.1583620011806488,0.25835010409355164,0.08358026295900345
to,0.455847829580307,0.42745086550712585,0.4025384783744812,0.41548454761505127,0.535392165184021,0.3437597155570984,0.5436353087425232,0.3533582091331482,0.26476410031318665,0.18226240575313568,0.2690417766571045,0.4069952368736267,0.535392165184021,0.1619214415550232,0.27188464999198914,0.29463258385658264
other,0.341873437166214,0.25895947217941284,0.45956575870513916,0.38583824038505554,0.44152235984802246,0.27736610174179077,0.5570666193962097,0.36366504430770874,0.32382234930992126,0.1754387468099594,0.20731976628303528,0.30141791701316833,0.44152235984802246,0.19068658351898193,0.23439402878284454,0.24682199954986572
underdeveloped,0.2569749355316162,0.24032536149024963,0.3104870319366455,0.30484285950660706,0.3396575450897217,0.31081339716911316,0.40850281715393066,1.0,0.363305002450943,0.21145011484622955,0.30815523862838745,0.22445151209831238,0.3396575450897217,0.22780822217464447,0.3870076835155487,0.18891049921512604
