,when,was,the,third,period,of,high,viewership,for,the,doctor,who,series,?
some,0.386913925409317,0.21528802812099457,0.4566698372364044,0.1876506209373474,0.2709828019142151,0.4300730526447296,0.23313355445861816,0.25209683179855347,0.4257155656814575,0.4566698372364044,0.22398865222930908,0.3978389501571655,0.19828929007053375,0.2562315762042999
fans,0.208327054977417,0.27087780833244324,0.2338283360004425,0.13081751763820648,0.10450726747512817,0.14162687957286835,0.13429324328899384,0.39772969484329224,0.31923070549964905,0.2338283360004425,0.1643674075603485,0.2800639271736145,0.243058979511261,0.09329766035079956
considered,0.2322070151567459,0.384328156709671,0.4028765559196472,0.24581663310527802,0.2355184257030487,0.4190242290496826,0.17948123812675476,0.21739982068538666,0.3214476406574249,0.4028765559196472,0.16587522625923157,0.2708154320716858,0.1683678776025772,0.19909770786762238
this,0.4959332048892975,0.3638818562030792,0.6274310946464539,0.3156605660915375,0.38377097249031067,0.45148900151252747,0.23107047379016876,0.3598095774650574,0.5082864165306091,0.6274310946464539,0.16758373379707336,0.3345087468624115,0.23312100768089294,0.3155723512172699
disingenuous,0.32959604263305664,0.20700684189796448,0.30916833877563477,0.1615254282951355,0.2901340126991272,0.3626278042793274,0.24895748496055603,0.26372042298316956,0.2578141987323761,0.30916833877563477,0.152943953871727,0.19799593091011047,0.1259266436100006,0.18022646009922028
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.283071368932724,0.25030651688575745,0.4946078956127167,0.27938312292099,0.2360859364271164,0.4464869201183319,0.4933079481124878,0.20407600700855255,0.3365725874900818,0.24060699343681335,0.31091248989105225
since,0.42774689197540283,0.4384658932685852,0.4054957628250122,0.24573948979377747,0.27205467224121094,0.35513219237327576,0.21109417080879211,0.27626338601112366,0.36751601099967957,0.4054957628250122,0.10913390666246414,0.27765995264053345,0.22507761418819427,0.2876587212085724
the,0.5091903209686279,0.48711544275283813,1.0,0.4229298532009125,0.3125074505805969,0.733189046382904,0.28034812211990356,0.30921506881713867,0.4739971458911896,1.0,0.2820442318916321,0.3733934462070465,0.31376904249191284,0.22068053483963013
programme,0.1508045494556427,0.23988407850265503,0.23601844906806946,0.2074800729751587,0.1863478720188141,0.18707643449306488,0.1343061774969101,0.3479531705379486,0.2829385995864868,0.23601844906806946,0.2561369240283966,0.2317163497209549,0.300445556640625,0.139840766787529
was,0.37326499819755554,1.0000001192092896,0.48711544275283813,0.3460187017917633,0.2820133864879608,0.4069072902202606,0.19978567957878113,0.2425418645143509,0.3863949179649353,0.48711544275283813,0.19672659039497375,0.3318818509578705,0.2261398285627365,0.18412111699581146
scheduled,0.18377315998077393,0.28737300634384155,0.23960356414318085,0.2266312688589096,0.12891961634159088,0.13178972899913788,0.13534073531627655,0.30518394708633423,0.18816711008548737,0.23960356414318085,0.14744770526885986,0.1412137746810913,0.21679110825061798,0.15473315119743347
against,0.32684949040412903,0.22972732782363892,0.3090755045413971,0.17727366089820862,0.0821155533194542,0.2669808566570282,0.15864528715610504,0.18389523029327393,0.3262052536010742,0.3090755045413971,0.12334423512220383,0.2942115366458893,0.22267664968967438,0.18095137178897858
