,what,was,the,name,of,the,contest,sponsored,by,quickbooks,?
quickbooks,0.32950910925865173,0.2129504531621933,0.31170687079429626,0.17134244740009308,0.2620433568954468,0.31170687079429626,0.15614621341228485,0.2490781843662262,0.2594009339809418,1.0,0.33220136165618896
sponsored,0.11231818050146103,0.26169130206108093,0.2539086937904358,0.2159767746925354,0.21318376064300537,0.2539086937904358,0.24587011337280273,1.0,0.2600509822368622,0.2490781843662262,0.12262218445539474
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.229091614484787,0.18844401836395264,0.32094135880470276,0.3290599584579468,0.23916715383529663
``,0.008517155423760414,-0.012679691426455975,0.029072100296616554,0.1001104861497879,0.06780257821083069,0.029072100296616554,0.04525066912174225,-0.16573815047740936,-0.030704375356435776,0.010585673153400421,0.0685480609536171
small,0.2504110634326935,0.16572418808937073,0.39655908942222595,0.18034958839416504,0.353353351354599,0.39655908942222595,0.1103823333978653,0.12921154499053955,0.19286847114562988,0.2805779278278351,0.13914890587329865
business,0.21758167445659637,0.21382471919059753,0.2389037162065506,0.1640031337738037,0.23985227942466736,0.2389037162065506,0.16115210950374603,0.23820935189723969,0.20599709451198578,0.30975770950317383,0.1545659303665161
big,0.2788069546222687,0.179094597697258,0.308749794960022,0.17646421492099762,0.2513701021671295,0.308749794960022,0.1867656260728836,0.19521106779575348,0.20124688744544983,0.21180376410484314,0.20497842133045197
game,0.2246788740158081,0.2568269371986389,0.285271555185318,0.17639878392219543,0.2298848181962967,0.285271555185318,0.24918979406356812,0.17864055931568146,0.21372540295124054,0.31494608521461487,0.1829071193933487
'',0.08143015950918198,0.04456103965640068,0.041273195296525955,0.003883055876940489,0.13035868108272552,0.041273195296525955,0.07599218189716339,-0.03241896256804466,-0.010275691747665405,-0.014170819893479347,0.018684765323996544
contest,0.23279163241386414,0.22809730470180511,0.25173527002334595,0.08771242201328278,0.2265491932630539,0.25173527002334595,1.0000001192092896,0.24587011337280273,0.1709192991256714,0.15614621341228485,0.18081821501255035
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.26351213455200195,0.17832541465759277,0.3680937886238098,0.34557226300239563,0.31091248989105225
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.3096996545791626,0.2091335952281952,0.370934396982193,0.27834874391555786,0.20430970191955566
which,0.5261979103088379,0.2830964922904968,0.6521818041801453,0.2972666025161743,0.5011631846427917,0.6521818041801453,0.18239639699459076,0.22965051233768463,0.40543368458747864,0.3840883672237396,0.25814583897590637
death,0.2267695665359497,0.28516459465026855,0.21438048779964447,0.18105126917362213,0.23778599500656128,0.21438048779964447,0.10098680108785629,0.07304907590150833,0.23285827040672302,0.14537860453128815,0.21149799227714539
wish,0.4103936553001404,0.126365065574646,0.25205081701278687,0.16369959712028503,0.1985756903886795,0.25205081701278687,0.16978420317173004,0.1368139535188675,0.1697586327791214,0.3157390058040619,0.35864195227622986
coffee,0.20077385008335114,0.14199990034103394,0.20381483435630798,0.18597295880317688,0.18473310768604279,0.20381483435630798,0.17565950751304626,0.18444761633872986,0.11270187050104141,0.28235989809036255,0.1695348024368286
had,0.23849567770957947,0.5927209258079529,0.3875846862792969,0.1840408891439438,0.37755560874938965,0.3875846862792969,0.17754459381103516,0.16959363222122192,0.37294110655784607,0.2560007870197296,0.20728366076946259
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.229091614484787,0.18844401836395264,0.32094135880470276,0.3290599584579468,0.23916715383529663
30-second,0.2115969955921173,0.27058619260787964,0.3721327483654022,0.18670512735843658,0.32984086871147156,0.3721327483654022,0.1457606554031372,0.08638641983270645,0.22721703350543976,0.25064828991889954,0.18454498052597046
commercial,0.12070754915475845,0.22333669662475586,0.23051398992538452,0.10337671637535095,0.21107374131679535,0.23051398992538452,0.1535993218421936,0.28658050298690796,0.16044467687606812,0.28941214084625244,0.04216946288943291
aired,0.1692323386669159,0.27861282229423523,0.2525516450405121,0.1536635458469391,0.15519371628761292,0.2525516450405121,0.23271557688713074,0.25455060601234436,0.23136848211288452,0.2540830969810486,0.22283338010311127
free,0.22754132747650146,0.1777290552854538,0.22231732308864594,0.06521537154912949,0.2430545836687088,0.22231732308864594,0.15106257796287537,0.20167304575443268,0.19287452101707458,0.3495238125324249,0.1278279572725296
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.2265491932630539,0.21318376064300537,0.3646814823150635,0.2620433568954468,0.1826142966747284
charge,0.23255030810832977,0.2562176287174225,0.2730984687805176,0.10970036685466766,0.27586498856544495,0.2730984687805176,0.1310151219367981,0.21502648293972015,0.2229645550251007,0.18210305273532867,0.0958876758813858
courtesy,0.29687967896461487,0.1990566998720169,0.2154114693403244,0.2987629473209381,0.21695461869239807,0.2154114693403244,0.24623355269432068,0.16189679503440857,0.1948600709438324,0.3523602783679962,0.34395626187324524
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.2265491932630539,0.21318376064300537,0.3646814823150635,0.2620433568954468,0.1826142966747284
quickbooks,0.32950910925865173,0.2129504531621933,0.31170687079429626,0.17134244740009308,0.2620433568954468,0.31170687079429626,0.15614621341228485,0.2490781843662262,0.2594009339809418,1.0,0.33220136165618896
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.24737101793289185,0.5352458953857422,0.5934505462646484,0.20280277729034424,0.19480463862419128,0.3936232924461365,0.35264942049980164,0.4130953550338745
