,why,did,the,series,end,in,2011,?
a,0.2667238116264343,0.2552328109741211,0.5829201340675354,0.23966510593891144,0.28924596309661865,0.539380669593811,0.03359675034880638,0.23916715383529663
final,0.14248397946357727,0.24226084351539612,0.3543182611465454,0.2845815420150757,0.2635479271411896,0.25512343645095825,0.0023699458688497543,0.17315025627613068
",",0.2827242314815521,0.3015086054801941,0.4933079481124878,0.24060699343681335,0.25448864698410034,0.5201468467712402,0.08851227909326553,0.31091248989105225
three-story,0.3200024366378784,0.294813334941864,0.4879750907421112,0.3509102761745453,0.3029100298881531,0.3878761827945709,0.05788097903132439,0.2855764329433441
fifth,0.08686642348766327,0.16395080089569092,0.39293691515922546,0.25230225920677185,0.27757853269577026,0.29252293705940247,0.016832485795021057,0.13128890097141266
series,0.13985206186771393,0.15581852197647095,0.31376904249191284,1.0000001192092896,0.21410182118415833,0.2914260923862457,0.003232794813811779,0.1709602326154709
was,0.23341619968414307,0.41399896144866943,0.48711544275283813,0.2261398285627365,0.19220198690891266,0.45514053106307983,-0.022202642634510994,0.18412111699581146
transmitted,0.2548380196094513,0.14472626149654388,0.2535918653011322,0.11068227142095566,0.10850449651479721,0.1705920398235321,0.2074895203113556,0.15801244974136353
in,0.23227278888225555,0.2593238651752472,0.6662389636039734,0.2914260923862457,0.28539085388183594,1.0,0.08290185779333115,0.20430970191955566
autumn,0.13619530200958252,0.16241119801998138,0.28377342224121094,0.16950279474258423,0.15836185216903687,0.2979828715324402,-0.09666415303945541,0.11069142818450928
2011,0.08433748781681061,-0.03760814294219017,0.07811610400676727,0.003232794813811779,-0.022951891645789146,0.08290185779333115,1.0,0.005212190095335245
–,0.10866967588663101,0.2259434312582016,0.2607575058937073,0.21799004077911377,0.21311810612678528,0.23687128722667694,-0.07206307351589203,0.2714554965496063
uncompleted,0.22637873888015747,0.24527135491371155,0.2442658692598343,0.17629195749759674,0.2761484384536743,0.24538105726242065,0.04305405914783478,0.15663935244083405
due,0.24495384097099304,0.15152592957019806,0.22577603161334991,0.16627788543701172,0.22029320895671844,0.2516716718673706,-0.032870303839445114,0.10954997688531876
to,0.4100138247013092,0.4452643394470215,0.535392165184021,0.19879554212093353,0.3229445815086365,0.45010748505592346,0.03410811722278595,0.29463258385658264
the,0.30742117762565613,0.34736719727516174,1.0,0.31376904249191284,0.39658910036087036,0.6662389636039734,0.07811610400676727,0.22068053483963013
death,0.1807563453912735,0.2252790331840515,0.21438048779964447,0.12691253423690796,0.18974000215530396,0.18743370473384857,-0.011467764154076576,0.21149799227714539
of,0.28464117646217346,0.2513895630836487,0.733189046382904,0.22268271446228027,0.2215006798505783,0.5696388483047485,0.09709474444389343,0.1826142966747284
elisabeth,0.14268654584884644,0.1525905728340149,0.18177981674671173,0.2187526822090149,0.13483892381191254,0.20632126927375793,-0.06648310273885727,0.1804756224155426
sladen,0.15539725124835968,0.1728595793247223,0.2671704888343811,0.28294485807418823,0.16650886833667755,0.25190410017967224,0.001953113591298461,0.2075037658214569
in,0.23227278888225555,0.2593238651752472,0.6662389636039734,0.2914260923862457,0.28539085388183594,1.0,0.08290185779333115,0.20430970191955566
early,0.21547465026378632,0.32047218084335327,0.34442198276519775,0.23002704977989197,0.30789390206336975,0.34672921895980835,0.090953029692173,0.15272949635982513
2011,0.08433748781681061,-0.03760814294219017,0.07811610400676727,0.003232794813811779,-0.022951891645789146,0.08290185779333115,1.0,0.005212190095335245
.,0.32909876108169556,0.35288307070732117,0.5934505462646484,0.3121925890445709,0.26526886224746704,0.5591574311256409,0.10024500638246536,0.4130953550338745
