,what,denver,player,had,109,tackels,for,the,2015,season,?
linebacker,0.15475627779960632,0.48220956325531006,0.44545871019363403,0.17168013751506805,0.16831783950328827,0.4924722909927368,0.27424296736717224,0.19719967246055603,-0.05198060721158981,0.30305373668670654,0.15540370345115662
demarcus,0.20839665830135345,0.22299596667289734,0.21038700640201569,0.24609045684337616,0.10846753418445587,0.21726490557193756,0.2066725492477417,0.23321470618247986,0.29580140113830566,0.15929202735424042,0.20002961158752441
ware,0.12185490131378174,0.18289002776145935,0.2659236192703247,0.22143201529979706,0.17788659036159515,0.2940167784690857,0.1923016458749771,0.14636042714118958,0.021357467398047447,0.08957717567682266,0.07426849752664566
was,0.22111038863658905,0.2766761779785156,0.1967325210571289,0.5927209258079529,0.05964163318276405,0.19465522468090057,0.3863949179649353,0.48711544275283813,0.14799827337265015,0.24797968566417694,0.18412111699581146
selected,0.17657704651355743,0.16113249957561493,0.19944027066230774,0.2040487825870514,0.09913912415504456,0.22554904222488403,0.4079265892505646,0.31003430485725403,0.017176488414406776,0.1912451535463333,0.19565007090568542
to,0.455847829580307,0.23706497251987457,0.17719191312789917,0.37984350323677063,-0.06711985915899277,0.2237880975008011,0.4451248347759247,0.535392165184021,-0.0031493064016103745,0.22382742166519165,0.29463258385658264
play,0.2180248498916626,0.22126924991607666,0.4391340911388397,0.21061712503433228,0.018837783485651016,0.14284135401248932,0.27811455726623535,0.24793598055839539,-0.06512405723333359,0.32110530138015747,0.11059518158435822
in,0.30808621644973755,0.2221570909023285,0.1851271539926529,0.385026752948761,0.05819336697459221,0.24163304269313812,0.4322226941585541,0.6662389636039734,0.0891268327832222,0.2184021919965744,0.20430970191955566
the,0.42745697498321533,0.2052404284477234,0.19900773465633392,0.3875846862792969,0.02574852481484413,0.20688873529434204,0.4739971458911896,1.0,0.1466771513223648,0.2507155239582062,0.22068053483963013
pro,0.18814358115196228,0.15579111874103546,0.19974257051944733,0.14190727472305298,0.0684514045715332,0.24947045743465424,0.2676255404949188,0.2149612456560135,0.052606672048568726,0.13625283539295197,0.17645101249217987
bowl,0.15942467749118805,0.2861449718475342,0.1651131808757782,0.1661457121372223,0.01543166022747755,0.23968680202960968,0.24430087208747864,0.21576224267482758,0.0710686594247818,0.3117852509021759,0.21118052303791046
for,0.3017193675041199,0.22017966210842133,0.2470785230398178,0.3270139992237091,-0.013920155353844166,0.29492247104644775,0.9999999403953552,0.4739971458911896,-0.08512632548809052,0.24490800499916077,0.264628142118454
the,0.42745697498321533,0.2052404284477234,0.19900773465633392,0.3875846862792969,0.02574852481484413,0.20688873529434204,0.4739971458911896,1.0,0.1466771513223648,0.2507155239582062,0.22068053483963013
ninth,0.11706084758043289,0.21102894842624664,0.12342515587806702,0.15043257176876068,0.14928695559501648,0.14888250827789307,0.17190437018871307,0.3694124221801758,0.21993523836135864,0.26102083921432495,0.05752093717455864
time,0.36319252848625183,0.1789873242378235,0.17360329627990723,0.34488338232040405,0.042883459478616714,0.21037013828754425,0.3992156386375427,0.43061500787734985,0.06498393416404724,0.26950058341026306,0.27391523122787476
in,0.30808621644973755,0.2221570909023285,0.1851271539926529,0.385026752948761,0.05819336697459221,0.24163304269313812,0.4322226941585541,0.6662389636039734,0.0891268327832222,0.2184021919965744,0.20430970191955566
