,who,is,the,current,governor,of,victoria,?
the,0.3733934462070465,0.5823672413825989,1.0,0.3314409554004669,0.19955585896968842,0.733189046382904,0.2204313427209854,0.22068053483963013
personal,0.2505263686180115,0.11115145683288574,0.19990217685699463,0.18277868628501892,0.13568580150604248,0.26268208026885986,0.08622810244560242,0.206199511885643
representative,0.15594160556793213,0.1825934201478958,0.23411999642848969,0.2520383894443512,0.5106276273727417,0.31028270721435547,0.17185914516448975,0.13044437766075134
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.31470298767089844,0.19877229630947113,1.0,0.2505437433719635,0.1826142966747284
the,0.3733934462070465,0.5823672413825989,1.0,0.3314409554004669,0.19955585896968842,0.733189046382904,0.2204313427209854,0.22068053483963013
queen,0.20093972980976105,0.19885572791099548,0.24681736528873444,0.11834666877985,0.28271082043647766,0.27787157893180847,0.4311044216156006,0.17460165917873383
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.31470298767089844,0.19877229630947113,1.0,0.2505437433719635,0.1826142966747284
australia,0.21276454627513885,0.1734699010848999,0.26828548312187195,0.1443922221660614,0.22530478239059448,0.2669609785079956,0.5548879504203796,0.15702682733535767
in,0.2792111933231354,0.5394441485404968,0.6662389636039734,0.1955713927745819,0.19612561166286469,0.5696388483047485,0.20823122560977936,0.20430970191955566
the,0.3733934462070465,0.5823672413825989,1.0,0.3314409554004669,0.19955585896968842,0.733189046382904,0.2204313427209854,0.22068053483963013
state,0.15636613965034485,0.2627358138561249,0.3097178041934967,0.22978021204471588,0.3357430398464203,0.34253445267677307,0.23197819292545319,0.1160883978009224
is,0.24293622374534607,1.0,0.5823672413825989,0.2555285692214966,0.11671670526266098,0.4854315221309662,0.1633591204881668,0.22961433231830597
the,0.3733934462070465,0.5823672413825989,1.0,0.3314409554004669,0.19955585896968842,0.733189046382904,0.2204313427209854,0.22068053483963013
governor,0.20484673976898193,0.11671670526266098,0.19955585896968842,0.15670980513095856,1.0,0.19877229630947113,0.22254198789596558,0.135940283536911
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.31470298767089844,0.19877229630947113,1.0,0.2505437433719635,0.1826142966747284
victoria,0.1687670201063156,0.1633591204881668,0.2204313427209854,0.20325958728790283,0.22254198789596558,0.2505437433719635,1.0,0.12246892601251602
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.29341426491737366,0.25151750445365906,0.4946078956127167,0.2279360294342041,0.31091248989105225
currently,0.3362814784049988,0.4011616110801697,0.2945235073566437,0.5213339328765869,0.10745307803153992,0.2655649185180664,0.17503201961517334,0.1861555278301239
linda,0.2020852267742157,0.09612830728292465,0.15174615383148193,0.089698925614357,0.2022646963596344,0.10577007383108139,0.18428422510623932,0.12316855788230896
dessau,0.1623147875070572,0.14974462985992432,0.25332990288734436,0.14748933911323547,0.23217466473579407,0.28789663314819336,0.23998451232910156,0.13006652891635895
.,0.3541337847709656,0.4569662809371948,0.5934505462646484,0.29179835319519043,0.2575504183769226,0.5352458953857422,0.23069117963314056,0.4130953550338745
