,downtown,santa,monica,and,downtown,glendale,are,a,part,of,which,area,?
within,0.16421812772750854,0.06666383892297745,0.11283474415540695,0.35049548745155334,0.16421812772750854,0.1606963723897934,0.3069663643836975,0.3858051896095276,0.36533206701278687,0.39594778418540955,0.43539655208587646,0.34595879912376404,0.1870293766260147
the,0.2602716088294983,0.23511074483394623,0.1442451924085617,0.5171257257461548,0.2602716088294983,0.2342788577079773,0.40399202704429626,0.5829201340675354,0.527681291103363,0.733189046382904,0.6521818041801453,0.37834644317626953,0.22068053483963013
los,0.3046230375766754,0.3818264603614807,0.3829917013645172,0.22504177689552307,0.3046230375766754,0.48408278822898865,0.1627943068742752,0.19324564933776855,0.2054215520620346,0.17343297600746155,0.15805238485336304,0.18259401619434357,0.15495611727237701
angeles,0.29725757241249084,0.34901484847068787,0.40680915117263794,0.2403915673494339,0.29725757241249084,0.5124908089637756,0.1732020229101181,0.183808833360672,0.18722288310527802,0.16643567383289337,0.15751682221889496,0.18634328246116638,0.16139166057109833
area,0.37015464901924133,0.1734604388475418,0.15003648400306702,0.3044000566005707,0.37015464901924133,0.23385228216648102,0.25780194997787476,0.2782127559185028,0.42262494564056396,0.3409860134124756,0.3276861011981964,1.0,0.12640461325645447
are,0.16882547736167908,0.13769486546516418,0.12627607583999634,0.48576638102531433,0.16882547736167908,0.1706472486257553,1.0,0.265255331993103,0.3086032569408417,0.39081433415412903,0.42922598123550415,0.25780194997787476,0.24591213464736938
the,0.2602716088294983,0.23511074483394623,0.1442451924085617,0.5171257257461548,0.2602716088294983,0.2342788577079773,0.40399202704429626,0.5829201340675354,0.527681291103363,0.733189046382904,0.6521818041801453,0.37834644317626953,0.22068053483963013
major,0.2444140613079071,0.12262063473463058,0.08752185106277466,0.29795366525650024,0.2444140613079071,0.21397289633750916,0.21536177396774292,0.22990699112415314,0.22967763245105743,0.2641255557537079,0.31470122933387756,0.21581394970417023,0.19788557291030884
business,0.3174465298652649,0.12676207721233368,0.1636907458305359,0.33353009819984436,0.3174465298652649,0.27218392491340637,0.16427041590213776,0.2670866549015045,0.18894635140895844,0.23985227942466736,0.2152334302663803,0.24424728751182556,0.1545659303665161
districts,0.32565128803253174,0.07973000407218933,0.06975812464952469,0.2542273700237274,0.32565128803253174,0.12405669689178467,0.26054954528808594,0.14769643545150757,0.33100226521492004,0.2693168818950653,0.22943581640720367,0.36275556683540344,0.10677915066480637
