,what,did,tesla,first,receive,after,starting,his,company,?
the,0.42745697498321533,0.34736719727516174,0.1324402391910553,0.49448907375335693,0.2726488411426544,0.4565047025680542,0.37272053956985474,0.4394008219242096,0.26591673493385315,0.22068053483963013
company,0.2333769053220749,0.16800642013549805,0.23045730590820312,0.23999588191509247,0.13289949297904968,0.21655593812465668,0.18825025856494904,0.21722809970378876,1.0,0.12195809185504913
installed,0.18395552039146423,0.19468750059604645,0.20824137330055237,0.1842130720615387,0.1921938955783844,0.1641712337732315,0.20824673771858215,0.11012262850999832,0.1722271591424942,0.2174687534570694
electrical,0.19961315393447876,0.12294142693281174,0.45727142691612244,0.19408661127090454,0.2545410692691803,0.13906478881835938,0.14925123751163483,0.17698267102241516,0.24566732347011566,0.10923371464014053
arc,0.17053541541099548,0.14255008101463318,0.1610620766878128,0.09990952163934708,0.10036154091358185,0.10865656286478043,0.14288705587387085,0.13516512513160706,0.1569109857082367,0.10246327519416809
light,0.22953972220420837,0.18105649948120117,0.15772268176078796,0.1733669638633728,0.21113614737987518,0.14589063823223114,0.14207345247268677,0.16368821263313293,0.2409716695547104,0.17429810762405396
based,0.274813175201416,0.15722841024398804,0.1270550787448883,0.29159173369407654,0.16963911056518555,0.17432904243469238,0.23552030324935913,0.17763181030750275,0.26747408509254456,0.134929820895195
illumination,0.22345766425132751,0.10531163215637207,0.1763586699962616,0.20050407946109772,0.2092999666929245,0.07691589742898941,0.2007335126399994,0.23092761635780334,0.21218235790729523,0.20314359664916992
systems,0.1871482878923416,0.19584694504737854,0.23349368572235107,0.18383030593395233,0.21158939599990845,0.08999557793140411,0.24224287271499634,0.14224056899547577,0.2402237206697464,0.1575973927974701
designed,0.15902110934257507,0.24120000004768372,0.22829914093017578,0.201524555683136,0.1842498481273651,0.11683481931686401,0.13663342595100403,0.1642196774482727,0.24965356290340424,0.11213942617177963
by,0.2455483376979828,0.18574509024620056,0.16513796150684357,0.3877052962779999,0.1698799580335617,0.41259682178497314,0.18018147349357605,0.3107621967792511,0.22328482568264008,0.17966607213020325
tesla,0.23221199214458466,0.09757418930530548,0.9999999403953552,0.17383763194084167,0.1629931628704071,0.0752151682972908,0.16263578832149506,0.1580733060836792,0.23045730590820312,0.10250775516033173
and,0.31309178471565247,0.34479495882987976,0.19560420513153076,0.3167642652988434,0.27304521203041077,0.3765919506549835,0.20327439904212952,0.4234102666378021,0.23788511753082275,0.20544172823429108
also,0.42747777700424194,0.39334940910339355,0.16213464736938477,0.43768298625946045,0.2446223348379135,0.33205533027648926,0.3174161911010742,0.38173818588256836,0.21313920617103577,0.21848613023757935
had,0.23849567770957947,0.540525496006012,0.12050733715295792,0.3379828929901123,0.25699755549430847,0.4133172631263733,0.19414037466049194,0.4401516616344452,0.19269630312919617,0.20728366076946259
designs,0.197528675198555,0.20797550678253174,0.2896032929420471,0.18184727430343628,0.14839448034763336,0.1338941901922226,0.16030780971050262,0.21556775271892548,0.24348558485507965,0.12927207350730896
for,0.3017193675041199,0.318512886762619,0.13983871042728424,0.3800288736820221,0.31519460678100586,0.3650246858596802,0.31099238991737366,0.39312878251075745,0.25874319672584534,0.264628142118454
dynamo,0.14462025463581085,0.09720280021429062,0.35050344467163086,0.1860840618610382,0.10593503713607788,0.14937758445739746,0.21214620769023895,0.2005215883255005,0.12160763889551163,0.17201387882232666
electric,0.15451551973819733,0.12459144741296768,0.3824412524700165,0.2202359288930893,0.11411375552415848,0.11947925388813019,0.17153488099575043,0.1696784496307373,0.27608945965766907,0.15674720704555511
