,what,type,of,cells,engulf,or,eat,pathogens,and,foreign,particles,?
phagocytosis,0.2547467350959778,0.23783858120441437,0.2130420207977295,0.7365726232528687,0.5212755799293518,0.33247435092926025,0.34975939989089966,0.7819570899009705,0.2448415458202362,0.2864518463611603,0.5195543169975281,0.2000567466020584
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.1644774079322815,0.1939239352941513,0.41870999336242676,0.2207634150981903,0.19907276332378387,0.3859752118587494,0.14707332849502563,0.2492663413286209,0.22961433231830597
an,0.2821882665157318,0.21485474705696106,0.32280945777893066,0.18335485458374023,0.19761869311332703,0.3096676766872406,0.1350296288728714,0.13588155806064606,0.2838519215583801,0.17563144862651825,0.21511413156986237,0.19793890416622162
important,0.31164905428886414,0.215251624584198,0.43301743268966675,0.2002943605184555,0.19503070414066315,0.28368809819221497,0.2061002552509308,0.23656757175922394,0.37549954652786255,0.22728124260902405,0.1584070473909378,0.17812499403953552
feature,0.23320603370666504,0.22898755967617035,0.2117752879858017,0.2199457287788391,0.17753063142299652,0.2598951458930969,0.1937282830476761,0.21473869681358337,0.29179611802101135,0.123897023499012,0.15607954561710358,0.2893312871456146
of,0.33290785551071167,0.18112817406654358,1.0,0.21305565536022186,0.2742225229740143,0.3792596757411957,0.22818823158740997,0.22946582734584808,0.5116966962814331,0.25741127133369446,0.2280140221118927,0.1826142966747284
cellular,0.17455364763736725,0.13626179099082947,0.19871774315834045,0.6283379793167114,0.33997777104377747,0.25716960430145264,0.2609093487262726,0.5143306255340576,0.17583927512168884,0.2543042004108429,0.3775869607925415,0.16428864002227783
innate,0.2683543860912323,0.2302299588918686,0.255485475063324,0.5340849757194519,0.3841705024242401,0.29497671127319336,0.3269721567630768,0.5864718556404114,0.22914032638072968,0.276708722114563,0.31553396582603455,0.16386382281780243
immunity,0.21864116191864014,0.1554861068725586,0.17778201401233673,0.3603610694408417,0.22121578454971313,0.2634049355983734,0.2739127278327942,0.4532545506954193,0.19186724722385406,0.2095523625612259,0.23058898746967316,0.16423189640045166
performed,0.17447373270988464,0.10767392069101334,0.16441160440444946,0.07949787378311157,0.14947068691253662,0.17481353878974915,0.14552605152130127,0.15697215497493744,0.27259883284568787,0.16152285039424896,0.13831216096878052,0.14428307116031647
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.19208736717700958,0.2179366648197174,0.30274316668510437,0.11022006720304489,0.20554135739803314,0.4289871156215668,0.22881895303726196,0.22884438931941986,0.17966607213020325
cells,0.1758001297712326,0.2162136286497116,0.21305565536022186,1.0,0.40931710600852966,0.32840585708618164,0.2817089557647705,0.6204997897148132,0.24033623933792114,0.20807810127735138,0.4217444956302643,0.1898086667060852
called,0.3235960602760315,0.30593958497047424,0.4222904443740845,0.20908011496067047,0.2701379060745239,0.4293559193611145,0.25526413321495056,0.20207016170024872,0.3251761794090271,0.13474859297275543,0.28943777084350586,0.18963319063186646
'phagocytes,0.21354982256889343,0.24525079131126404,0.18563897907733917,0.7439284920692444,0.48029351234436035,0.34201928973197937,0.37115010619163513,0.7476376295089722,0.22314602136611938,0.3119773864746094,0.5036028027534485,0.1973876655101776
',0.3245812654495239,0.2414226084947586,0.39136970043182373,0.1639244556427002,0.1857014298439026,0.3638994097709656,0.1877836436033249,0.13517554104328156,0.3053182065486908,0.1354517787694931,0.1459524780511856,0.330942302942276
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.2709589898586273,0.25990405678749084,0.4729836881160736,0.3223154842853546,0.28222689032554626,0.4731321930885315,0.17737965285778046,0.34902381896972656,0.32716336846351624
engulf,0.2204432189464569,0.20291723310947418,0.2742225229740143,0.40931710600852966,1.0000001192092896,0.2831840515136719,0.27478405833244324,0.4949757754802704,0.2475450336933136,0.16830071806907654,0.4104202687740326,0.12821310758590698
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20582014322280884,0.23984551429748535,0.3769497275352478,0.27748003602027893,0.20320750772953033,0.6633074283599854,0.2636609673500061,0.22192497551441193,0.31091248989105225
or,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.32840585708618164,0.2831840515136719,1.0000001192092896,0.28567788004875183,0.37175336480140686,0.4713204801082611,0.2091818004846573,0.349033921957016,0.32389625906944275
eat,0.26042336225509644,0.19111184775829315,0.22818823158740997,0.2817089557647705,0.27478405833244324,0.28567788004875183,0.9999999403953552,0.3866996765136719,0.27494877576828003,0.11181694269180298,0.28109946846961975,0.2330920696258545
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.20582014322280884,0.23984551429748535,0.3769497275352478,0.27748003602027893,0.20320750772953033,0.6633074283599854,0.2636609673500061,0.22192497551441193,0.31091248989105225
pathogens,0.24503889679908752,0.24309799075126648,0.22946582734584808,0.6204997897148132,0.4949757754802704,0.37175336480140686,0.3866996765136719,1.0,0.21800068020820618,0.27840495109558105,0.4634295701980591,0.21364152431488037
or,0.33867141604423523,0.38183850049972534,0.3792596757411957,0.32840585708618164,0.2831840515136719,1.0000001192092896,0.28567788004875183,0.37175336480140686,0.4713204801082611,0.2091818004846573,0.349033921957016,0.32389625906944275
particles,0.26094838976860046,0.25783395767211914,0.2280140221118927,0.4217444956302643,0.4104202687740326,0.349033921957016,0.28109946846961975,0.4634295701980591,0.23946726322174072,0.16916848719120026,1.0,0.22255320847034454
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.2868211269378662,0.22554239630699158,0.36683785915374756,0.3032529056072235,0.2375609129667282,0.588965117931366,0.20514161884784698,0.23612672090530396,0.4130953550338745
