,what,is,the,polish,word,for,wreaths,?
gatherings,0.24137108027935028,0.24407333135604858,0.3073239028453827,0.17325223982334137,0.21817290782928467,0.31485989689826965,0.31517961621284485,0.11102838814258575
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.16866981983184814,0.23799116909503937,0.4185989499092102,0.2570483684539795,0.1826142966747284
thousands,0.2399357110261917,0.14170046150684357,0.2934577763080597,0.08792880922555923,0.19666126370429993,0.2778078615665436,0.23002459108829498,0.15520451962947845
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.16866981983184814,0.23799116909503937,0.4185989499092102,0.2570483684539795,0.1826142966747284
people,0.32444337010383606,0.34254953265190125,0.36838498711586,0.14120091497898102,0.265228271484375,0.24900002777576447,0.20480719208717346,0.23739641904830933
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.1288478970527649,0.12986846268177032,0.36199691891670227,0.14312587678432465,0.2714994251728058
the,0.42745697498321533,0.5823672413825989,1.0,0.17708231508731842,0.2835540175437927,0.4739971458911896,0.2534267008304596,0.22068053483963013
banks,0.11580011993646622,0.18453240394592285,0.28661349415779114,0.025071315467357635,0.11108534783124924,0.20989097654819489,0.08837202191352844,0.11048095673322678
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.16866981983184814,0.23799116909503937,0.4185989499092102,0.2570483684539795,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.17708231508731842,0.2835540175437927,0.4739971458911896,0.2534267008304596,0.22068053483963013
vistula,0.20743709802627563,0.2513207197189331,0.36214977502822876,0.3469172716140747,0.16924679279327393,0.10408380627632141,0.19263043999671936,0.1677311211824417
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.1288478970527649,0.12986846268177032,0.36199691891670227,0.14312587678432465,0.2714994251728058
midsummer,0.23927390575408936,0.2644389271736145,0.31286704540252686,0.19430798292160034,0.19813589751720428,0.25608283281326294,0.2618716061115265,0.16556790471076965
