,what,do,germans,call,private,schools,?
ersatzschulen,0.30368682742118835,0.2745361328125,0.37564390897750854,0.23718993365764618,0.22905614972114563,0.2625099718570709,0.3047671318054199
are,0.29724663496017456,0.41111594438552856,0.23212790489196777,0.27999943494796753,0.1694057136774063,0.30816179513931274,0.24591213464736938
ordinary,0.29406803846359253,0.3683397173881531,0.19797943532466888,0.2554832100868225,0.25042280554771423,0.2237318605184555,0.22565332055091858
primary,0.2113915979862213,0.21139554679393768,0.14542976021766663,0.06886544823646545,0.23401464521884918,0.38384848833084106,0.16286636888980865
or,0.33867141604423523,0.39439281821250916,0.2279742807149887,0.27637729048728943,0.21888144314289093,0.23524631559848785,0.32389625906944275
secondary,0.20388361811637878,0.2064705789089203,0.09859295934438705,0.045230742543935776,0.2717200517654419,0.4608161151409149,0.18118004500865936
schools,0.1820785105228424,0.19505831599235535,0.21337173879146576,0.1046048030257225,0.4158569872379303,1.0,0.18349280953407288
",",0.3087472915649414,0.3283645510673523,0.27949151396751404,0.2670435905456543,0.1899166703224182,0.2760516405105591,0.31091248989105225
which,0.5261979103088379,0.31153854727745056,0.18181230127811432,0.25027644634246826,0.21277280151844025,0.23417861759662628,0.25814583897590637
are,0.29724663496017456,0.41111594438552856,0.23212790489196777,0.27999943494796753,0.1694057136774063,0.30816179513931274,0.24591213464736938
run,0.2294815480709076,0.3095013499259949,0.16540703177452087,0.25037676095962524,0.14252924919128418,0.20951882004737854,0.17904110252857208
by,0.2455483376979828,0.1481526494026184,0.26626327633857727,0.1639126092195511,0.18554414808750153,0.1415957361459732,0.17966607213020325
private,0.16778090596199036,0.15537725389003754,0.12451677769422531,0.11871977150440216,1.0,0.4158569872379303,0.14389030635356903
individuals,0.25709760189056396,0.27612102031707764,0.22012822329998016,0.21328669786453247,0.31264999508857727,0.29715076088905334,0.20243582129478455
",",0.3087472915649414,0.3283645510673523,0.27949151396751404,0.2670435905456543,0.1899166703224182,0.2760516405105591,0.31091248989105225
private,0.16778090596199036,0.15537725389003754,0.12451677769422531,0.11871977150440216,1.0,0.4158569872379303,0.14389030635356903
organizations,0.20689024031162262,0.2620372772216797,0.17465093731880188,0.19258664548397064,0.30603620409965515,0.39243805408477783,0.22215601801872253
or,0.33867141604423523,0.39439281821250916,0.2279742807149887,0.27637729048728943,0.21888144314289093,0.23524631559848785,0.32389625906944275
religious,0.26794421672821045,0.21927370131015778,0.21432501077651978,0.19459640979766846,0.2632821798324585,0.3179125487804413,0.15727058053016663
groups,0.23137421905994415,0.22382022440433502,0.24709147214889526,0.2144085168838501,0.1768459528684616,0.2776908278465271,0.14349548518657684
.,0.3567904531955719,0.3613996207714081,0.22702351212501526,0.2601918876171112,0.2534593939781189,0.2752705216407776,0.4130953550338745
