,the,edict,protected,catholics,by,discouraging,what,?
the,1.0,0.17931364476680756,0.23777265846729279,0.27357813715934753,0.4408751428127289,0.2632078528404236,0.42745697498321533,0.22068053483963013
edict,0.17931364476680756,0.9999999403953552,0.19148598611354828,0.444377601146698,0.21356716752052307,0.2771744430065155,0.16707053780555725,0.16218337416648865
simultaneously,0.26942768692970276,0.18934085965156555,0.031013745814561844,0.09853878617286682,0.245899498462677,0.22375082969665527,0.2967745363712311,0.13993576169013977
protected,0.23777265846729279,0.19148598611354828,0.9999999403953552,0.1994420439004898,0.19105558097362518,0.23594243824481964,0.22597423195838928,0.2514227032661438
catholic,0.26391419768333435,0.45348474383354187,0.1704331338405609,0.8498657941818237,0.17329150438308716,0.2582082152366638,0.1882777214050293,0.16609853506088257
interests,0.25045084953308105,0.18698249757289886,0.25800904631614685,0.20482350885868073,0.1704159677028656,0.4843893051147461,0.2921333611011505,0.21539683640003204
by,0.4408751428127289,0.21356716752052307,0.19105558097362518,0.2096707820892334,1.0000001192092896,0.2071731984615326,0.2455483376979828,0.17966607213020325
discouraging,0.2632078528404236,0.2771744430065155,0.23594243824481964,0.32081612944602966,0.2071731984615326,1.0,0.33483025431632996,0.2721431255340576
the,1.0,0.17931364476680756,0.23777265846729279,0.27357813715934753,0.4408751428127289,0.2632078528404236,0.42745697498321533,0.22068053483963013
founding,0.34138360619544983,0.26916995644569397,0.03344143554568291,0.20342084765434265,0.24328337609767914,0.241093710064888,0.2093554586172104,0.1416333168745041
of,0.733189046382904,0.2533416450023651,0.1996251344680786,0.3054737448692322,0.3646814823150635,0.243498757481575,0.33290785551071167,0.1826142966747284
new,0.3845241069793701,0.12476006150245667,0.16721346974372864,0.18041560053825378,0.25394493341445923,0.20610202848911285,0.2130378633737564,0.14782847464084625
protestant,0.2679212689399719,0.35133299231529236,0.14337800443172455,0.6940770149230957,0.15124845504760742,0.2713477611541748,0.23531195521354675,0.14798137545585632
churches,0.2626241147518158,0.286460816860199,0.12923532724380493,0.6080136895179749,0.17178232967853546,0.18451298773288727,0.17877253890037537,0.19824735820293427
in,0.6662389636039734,0.18521805107593536,0.1501450091600418,0.20728369057178497,0.370934396982193,0.22192049026489258,0.30808621644973755,0.20430970191955566
catholic-controlled,0.3781318664550781,0.44689440727233887,0.30177682638168335,0.7007564306259155,0.3086438775062561,0.29142534732818604,0.29333269596099854,0.22678633034229279
regions,0.36158451437950134,0.1272651106119156,0.1980188488960266,0.21352796256542206,0.19794204831123352,0.13520656526088715,0.22129066288471222,0.11608363687992096
.,0.5934505462646484,0.1859036087989807,0.25049394369125366,0.24427172541618347,0.3936232924461365,0.22337208688259125,0.3567904531955719,0.4130953550338745
