,what,first,prompted,the,regeneration,concept,?
this,0.5489566326141357,0.41690850257873535,0.2813793122768402,0.6274310946464539,0.3018980324268341,0.3189828097820282,0.3155723512172699
was,0.22111038863658905,0.5022147297859192,0.2312595248222351,0.48711544275283813,0.18699689209461212,0.2765439450740814,0.18412111699581146
first,0.28086137771606445,1.0,0.2451302409172058,0.49448907375335693,0.2507238984107971,0.2393403947353363,0.18701928853988647
prompted,0.20217911899089813,0.2451302409172058,0.9999999403953552,0.3065200448036194,0.18776701390743256,0.18506625294685364,0.13139130175113678
by,0.2455483376979828,0.3877052962779999,0.24120628833770752,0.4408751428127289,0.193552628159523,0.28219208121299744,0.17966607213020325
original,0.24651947617530823,0.3307017385959625,0.18010549247264862,0.4037000238895416,0.17041462659835815,0.25177857279777527,0.17256900668144226
star,0.14606088399887085,0.24797192215919495,0.08232828229665756,0.253978431224823,0.17414788901805878,0.14801892638206482,0.10727278888225555
william,0.24990826845169067,0.26558709144592285,0.18268126249313354,0.21537061035633087,0.14174087345600128,0.10332167148590088,0.14462219178676605
hartnell,0.16135340929031372,0.3480895757675171,0.19939981400966644,0.24653013050556183,0.2895614802837372,0.20987561345100403,0.21577993035316467
's,0.02692362666130066,-0.014458609744906425,-0.06307017058134079,-0.01540423184633255,-0.07974092662334442,0.011523659341037273,-0.023395681753754616
poor,0.2570318877696991,0.19175690412521362,0.16774700582027435,0.21093174815177917,0.16681541502475739,0.12720681726932526,0.12937016785144806
health,0.21460163593292236,0.16716186702251434,0.19383388757705688,0.2340974360704422,0.29156556725502014,0.1698358952999115,0.16094304621219635
.,0.3567904531955719,0.4345304071903229,0.2214408963918686,0.5934505462646484,0.23414283990859985,0.17851535975933075,0.4130953550338745
,what,first,prompted,the,regeneration,concept,?
producers,0.1532686948776245,0.18882282078266144,0.22264279425144196,0.23758956789970398,0.21057026088237762,0.1463930606842041,0.15943901240825653
introduced,0.09417270123958588,0.32411283254623413,0.32014554738998413,0.242969810962677,0.18178577721118927,0.2977311313152313,0.16386865079402924
the,0.42745697498321533,0.49448907375335693,0.3065200448036194,1.0,0.3351733982563019,0.2355310022830963,0.22068053483963013
concept,0.28724339604377747,0.2393403947353363,0.18506625294685364,0.2355310022830963,0.2405712753534317,0.9999998807907104,0.17160645127296448
of,0.33290785551071167,0.3536086082458496,0.24356763064861298,0.733189046382904,0.32214465737342834,0.24082158505916595,0.1826142966747284
regeneration,0.22060240805149078,0.2507238984107971,0.18776701390743256,0.3351733982563019,1.0,0.2405712753534317,0.13848066329956055
to,0.455847829580307,0.3792489171028137,0.30564406514167786,0.535392165184021,0.28147146105766296,0.2465057224035263,0.29463258385658264
permit,0.2713043689727783,0.25398749113082886,0.3132982552051544,0.21805532276630402,0.13454169034957886,0.22826161980628967,0.17485858500003815
the,0.42745697498321533,0.49448907375335693,0.3065200448036194,1.0,0.3351733982563019,0.2355310022830963,0.22068053483963013
recasting,0.3137270510196686,0.2497561275959015,0.2575405538082123,0.34074151515960693,0.26033300161361694,0.24801796674728394,0.17669227719306946
of,0.33290785551071167,0.3536086082458496,0.24356763064861298,0.733189046382904,0.32214465737342834,0.24082158505916595,0.1826142966747284
the,0.42745697498321533,0.49448907375335693,0.3065200448036194,1.0,0.3351733982563019,0.2355310022830963,0.22068053483963013
main,0.2344268560409546,0.24865727126598358,0.10130200535058975,0.38631999492645264,0.14517393708229065,0.17624185979366302,0.1665669083595276
character,0.22097444534301758,0.24174492061138153,0.14363344013690948,0.25992274284362793,0.2043311893939972,0.2505413293838501,0.18056271970272064
.,0.3567904531955719,0.4345304071903229,0.2214408963918686,0.5934505462646484,0.23414283990859985,0.17851535975933075,0.4130953550338745
