,how,many,miles,south,of,edinburgh,is,newcastle,?
newcastle,0.11517360806465149,0.17336907982826233,0.3237861692905426,0.3142260015010834,0.18781472742557526,0.3934532105922699,0.1841045320034027,1.0000001192092896,0.0902252271771431
upon,0.20850147306919098,0.14756755530834198,0.18247303366661072,0.11906999349594116,0.3224298357963562,0.20316126942634583,0.1675044447183609,0.3827606737613678,0.13780277967453003
tyne,0.1045919880270958,0.1987147182226181,0.29338914155960083,0.3280373513698578,0.2296384871006012,0.4401470720767975,0.19354984164237976,0.6070957183837891,0.07377036660909653
(,0.1676948219537735,0.1455259770154953,0.17103469371795654,0.2013198882341385,0.35032153129577637,0.08771205693483353,0.35393038392066956,0.13896974921226501,0.40561532974243164
rp,0.22472861409187317,0.14550161361694336,0.1409112513065338,0.1371474415063858,0.1248948872089386,0.09314754605293274,0.17695195972919464,0.08452159911394119,0.28526240587234497
:,-0.11215605586767197,-0.10786184668540955,-0.08008842170238495,-0.08850836753845215,-0.08807745575904846,-0.11827059835195541,-0.07222653180360794,-0.07358825206756592,-0.07156077772378922
i/ˌnjuːkɑːsəl,0.0969652384519577,0.15398287773132324,0.051998164504766464,0.15759386122226715,0.16222256422042847,0.2052440643310547,0.15198373794555664,0.2390267699956894,0.18523330986499786
əˌpɒn,-0.04758129268884659,0.08139076083898544,0.020440127700567245,0.09096133708953857,0.11970209330320358,-0.02827737294137478,-0.0532308891415596,-0.015300953760743141,0.06594805419445038
ˈtaɪn/,0.15766343474388123,0.013237150385975838,0.04475756734609604,0.04274535924196243,0.0911492109298706,0.10475047677755356,0.12387911230325699,0.037693608552217484,0.46811309456825256
;,0.07230665534734726,0.11763367056846619,-0.04186858609318733,0.07080903649330139,0.054534342139959335,0.06618127971887589,0.05324986204504967,0.10598292201757431,0.10349778085947037
locally,0.23198994994163513,0.3143130838871002,0.20242439210414886,0.1994078904390335,0.17105622589588165,0.17513355612754822,0.3363647758960724,0.166920468211174,0.21358361840248108
:,-0.11215605586767197,-0.10786184668540955,-0.08008842170238495,-0.08850836753845215,-0.08807745575904846,-0.11827059835195541,-0.07222653180360794,-0.07358825206756592,-0.07156077772378922
i/njuːˌkæsəl,0.08218222111463547,0.18280498683452606,0.123773492872715,0.2404581606388092,0.10830488801002502,0.10151060670614243,0.10840609669685364,0.14088164269924164,0.14758451282978058
əˌpən,-0.03364305570721626,-0.0020759878680109978,0.26968538761138916,0.14551544189453125,0.07716304063796997,0.10088888555765152,0.07567593455314636,0.24543556571006775,0.02596106566488743
ˈtaɪn/,0.15766343474388123,0.013237150385975838,0.04475756734609604,0.04274535924196243,0.0911492109298706,0.10475047677755356,0.12387911230325699,0.037693608552217484,0.46811309456825256
