,a,mermaid,stopped,to,rest,on,the,sandy,beach,by,what,village,?
she,0.3591071665287018,0.36357659101486206,0.232522115111351,0.31156328320503235,0.2103942334651947,0.31224578619003296,0.36308351159095764,0.2368229180574417,0.19551819562911987,0.2012968212366104,0.23844075202941895,0.20190873742103577,0.14223381876945496
stopped,0.2117694616317749,0.179590106010437,1.0,0.27942875027656555,0.3001445233821869,0.2841067314147949,0.3206433951854706,0.13993331789970398,0.1487584412097931,0.3046187460422516,0.22189217805862427,0.13828124105930328,0.15542519092559814
to,0.45503583550453186,0.18397963047027588,0.27942875027656555,1.0,0.367563933134079,0.41031414270401,0.535392165184021,0.18458612263202667,0.18073761463165283,0.33534231781959534,0.455847829580307,0.18001757562160492,0.29463258385658264
rest,0.2692912518978119,0.15571901202201843,0.3001445233821869,0.367563933134079,1.0000001192092896,0.30716630816459656,0.41330549120903015,0.18611013889312744,0.1793336421251297,0.20038633048534393,0.35225364565849304,0.16340641677379608,0.1725541204214096
on,0.3848365545272827,0.19444261491298676,0.2841067314147949,0.41031414270401,0.30716630816459656,0.9999999403953552,0.5107308030128479,0.24369116127490997,0.2340264618396759,0.33887791633605957,0.34226128458976746,0.16522301733493805,0.2714994251728058
a,1.0,0.30216071009635925,0.2117694616317749,0.45503583550453186,0.2692912518978119,0.3848365545272827,0.5829201340675354,0.21225151419639587,0.22942881286144257,0.32094135880470276,0.3320399522781372,0.27831363677978516,0.23916715383529663
sandy,0.21225151419639587,0.22462400794029236,0.13993331789970398,0.18458612263202667,0.18611013889312744,0.24369116127490997,0.20660440623760223,1.0,0.4039700925350189,0.09107035398483276,0.18701860308647156,0.24038495123386383,0.09785483777523041
beach,0.22942881286144257,0.21657688915729523,0.1487584412097931,0.18073761463165283,0.1793336421251297,0.2340264618396759,0.20261730253696442,0.4039700925350189,1.0,0.11650418490171432,0.15818452835083008,0.18228882551193237,0.16120761632919312
by,0.32094135880470276,0.1780608743429184,0.3046187460422516,0.33534231781959534,0.20038633048534393,0.33887791633605957,0.4408751428127289,0.09107035398483276,0.11650418490171432,1.0000001192092896,0.2455483376979828,0.11841177195310593,0.17966607213020325
the,0.5829201340675354,0.23196867108345032,0.3206433951854706,0.535392165184021,0.41330549120903015,0.5107308030128479,1.0,0.20660440623760223,0.20261730253696442,0.4408751428127289,0.42745697498321533,0.2579529881477356,0.22068053483963013
village,0.27831363677978516,0.12910360097885132,0.13828124105930328,0.18001757562160492,0.16340641677379608,0.16522301733493805,0.2579529881477356,0.24038495123386383,0.18228882551193237,0.11841177195310593,0.20210839807987213,1.0,0.040922991931438446
of,0.5052502155303955,0.2226864993572235,0.2221805304288864,0.41548454761505127,0.33621829748153687,0.3966929316520691,0.733189046382904,0.16467508673667908,0.20727382600307465,0.3646814823150635,0.33290785551071167,0.1866021603345871,0.1826142966747284
warszowa,0.1874004602432251,0.26439613103866577,0.2047930657863617,0.11526546627283096,0.18464983999729156,0.1470767706632614,0.21353374421596527,0.20493009686470032,0.2177780568599701,0.13955765962600708,0.117624931037426,0.30496764183044434,0.15968017280101776
",",0.427140474319458,0.2088286429643631,0.2840802073478699,0.44245919585227966,0.3065745532512665,0.49057599902153015,0.4933079481124878,0.3013831079006195,0.24992109835147858,0.3680937886238098,0.3087472915649414,0.2352689951658249,0.31091248989105225
where,0.40997210144996643,0.16516008973121643,0.15839584171772003,0.47735077142715454,0.4005465805530548,0.37630224227905273,0.5003893971443176,0.19365447759628296,0.1698324829339981,0.2641284465789795,0.4457937180995941,0.2085874229669571,0.24793872237205505
fishermen,0.2086358666419983,0.2529171109199524,0.1812465488910675,0.3186836540699005,0.15168312191963196,0.1902892291545868,0.255075067281723,0.2415633201599121,0.3334583640098572,0.19461306929588318,0.19666218757629395,0.18917123973369598,0.13276448845863342
came,0.2477586567401886,0.16241535544395447,0.31275397539138794,0.3111628592014313,0.2961246967315674,0.224246084690094,0.39390382170677185,0.1358799785375595,0.11810065060853958,0.17827941477298737,0.2728535234928131,0.1608528047800064,0.1739392727613449
to,0.45503583550453186,0.18397963047027588,0.27942875027656555,1.0,0.367563933134079,0.41031414270401,0.535392165184021,0.18458612263202667,0.18073761463165283,0.33534231781959534,0.455847829580307,0.18001757562160492,0.29463258385658264
admire,0.18156051635742188,0.21404439210891724,0.1178290843963623,0.29558247327804565,0.15694154798984528,0.128269761800766,0.2063765674829483,0.14040008187294006,0.13273601233959198,0.20360437035560608,0.31681230664253235,0.16222929954528809,0.22349944710731506
her,0.29850003123283386,0.3394017517566681,0.1617441028356552,0.34728822112083435,0.23571600019931793,0.2974918782711029,0.354963481426239,0.22999349236488342,0.18132981657981873,0.2393665909767151,0.2733216881752014,0.20949596166610718,0.20310723781585693
beauty,0.18131756782531738,0.36656126379966736,-0.002011266304180026,0.15991105139255524,0.13660265505313873,0.13327784836292267,0.1811389923095703,0.29435616731643677,0.24076418578624725,0.16474871337413788,0.2131965607404709,0.11878615617752075,0.1869111955165863
and,0.3739250600337982,0.20474925637245178,0.24482934176921844,0.48971283435821533,0.34185317158699036,0.4077630043029785,0.5171257257461548,0.2839847505092621,0.2650700807571411,0.4289871156215668,0.31309178471565247,0.2160397320985794,0.20544172823429108
listen,0.16091835498809814,0.199877068400383,0.2524830102920532,0.27362948656082153,0.18251420557498932,0.23242832720279694,0.17585723102092743,0.14169813692569733,0.13111108541488647,0.163074791431427,0.34003081917762756,0.0792914554476738,0.23244893550872803
to,0.45503583550453186,0.18397963047027588,0.27942875027656555,1.0,0.367563933134079,0.41031414270401,0.535392165184021,0.18458612263202667,0.18073761463165283,0.33534231781959534,0.455847829580307,0.18001757562160492,0.29463258385658264
her,0.29850003123283386,0.3394017517566681,0.1617441028356552,0.34728822112083435,0.23571600019931793,0.2974918782711029,0.354963481426239,0.22999349236488342,0.18132981657981873,0.2393665909767151,0.2733216881752014,0.20949596166610718,0.20310723781585693
beautiful,0.24241496622562408,0.3484671711921692,0.07961566001176834,0.19225826859474182,0.1837015002965927,0.13156163692474365,0.19110354781150818,0.255005806684494,0.32976555824279785,0.15958037972450256,0.22178837656974792,0.16172076761722565,0.15274713933467865
voice,0.19495928287506104,0.2895694375038147,0.1478675752878189,0.15644241869449615,0.14480867981910706,0.09453975409269333,0.19344258308410645,0.13619394600391388,0.018604112789034843,0.15235769748687744,0.19483280181884766,0.200004443526268,0.17046543955802917
.,0.50484299659729,0.19383952021598816,0.26072677969932556,0.4645031690597534,0.36049437522888184,0.49257001280784607,0.5934505462646484,0.23348794877529144,0.24822784960269928,0.3936232924461365,0.3567904531955719,0.2327665090560913,0.4130953550338745
