,european,imperialism,was,focused,on,what,?
europe,0.5846181511878967,0.3225352466106415,0.2931758761405945,0.17381083965301514,0.250590980052948,0.17179538309574127,0.18278923630714417
's,0.08902547508478165,0.00493214325979352,0.008974763564765453,-0.05257394537329674,0.0026888418942689896,0.02692362666130066,-0.023395681753754616
expansion,0.24322009086608887,0.25386905670166016,0.16902519762516022,0.2489558309316635,0.14295344054698944,0.2671823799610138,0.18286365270614624
into,0.09915032237768173,0.16721384227275848,0.2322220653295517,0.1937483847141266,0.30585673451423645,0.2180619090795517,0.15662476420402527
territorial,0.19391389191150665,0.274794340133667,0.1277436763048172,0.1916750818490982,0.18013687431812286,0.21081089973449707,0.10118355602025986
imperialism,0.29965823888778687,1.0,0.2349989414215088,0.26416459679603577,0.09501302242279053,0.24614648520946503,0.14998586475849152
was,0.22463937103748322,0.2349989414215088,1.0000001192092896,0.26385003328323364,0.3909217119216919,0.22111038863658905,0.18412111699581146
largely,0.1439765989780426,0.26985257863998413,0.307300329208374,0.31341949105262756,0.26004865765571594,0.25660550594329834,0.08185246586799622
focused,0.14699429273605347,0.26416459679603577,0.26385003328323364,1.0,0.36304154992103577,0.2724583148956299,0.1578395515680313
on,0.19710737466812134,0.09501302242279053,0.3909217119216919,0.36304154992103577,0.9999999403953552,0.34226128458976746,0.2714994251728058
economic,0.3065778911113739,0.4640966057777405,0.1954469084739685,0.27914607524871826,0.20757777988910675,0.18082544207572937,0.1206481084227562
growth,0.12871576845645905,0.2669687271118164,0.1385122835636139,0.2756388783454895,0.11376523971557617,0.1739405393600464,0.07547862827777863
by,0.17922990024089813,0.21250218152999878,0.4752357602119446,0.2418869286775589,0.33887791633605957,0.2455483376979828,0.17966607213020325
collecting,0.11663833260536194,0.19997869431972504,0.10311049968004227,0.29840388894081116,0.24664168059825897,0.3264275789260864,0.1986284703016281
resources,0.18052352964878082,0.2009645402431488,0.14124581217765808,0.34185442328453064,0.24799394607543945,0.24701403081417084,0.26047492027282715
from,0.2091801017522812,0.16361792385578156,0.31171464920043945,0.20396113395690918,0.36926645040512085,0.2737620174884796,0.19969791173934937
colonies,0.2748645544052124,0.3225146234035492,0.21739500761032104,0.13598278164863586,0.19056418538093567,0.20822033286094666,0.07886616140604019
",",0.19684812426567078,0.2420617640018463,0.45456063747406006,0.25963902473449707,0.49057599902153015,0.3087472915649414,0.31091248989105225
in,0.23319172859191895,0.2081184834241867,0.45514053106307983,0.29637840390205383,0.46853652596473694,0.30808621644973755,0.20430970191955566
combination,0.21632516384124756,0.17383253574371338,0.22673027217388153,0.20928092300891876,0.21807172894477844,0.2204057276248932,0.1620941311120987
with,0.19647395610809326,0.16891896724700928,0.27411898970603943,0.2734098732471466,0.40749499201774597,0.2464839518070221,0.2433311939239502
assuming,0.1482342779636383,0.21709737181663513,0.23484298586845398,0.16728727519512177,0.2520325481891632,0.44429823756217957,0.40639710426330566
political,0.22624807059764862,0.4096531569957733,0.24282537400722504,0.28964823484420776,0.2335650622844696,0.21846716105937958,0.17130474746227264
control,0.1944289207458496,0.16404078900814056,0.19347785413265228,0.2292693555355072,0.2284763753414154,0.2821830213069916,0.1620711386203766
by,0.17922990024089813,0.21250218152999878,0.4752357602119446,0.2418869286775589,0.33887791633605957,0.2455483376979828,0.17966607213020325
military,0.18682527542114258,0.34286001324653625,0.24704936146736145,0.1772075891494751,0.15503616631031036,0.18809624016284943,0.1890317052602768
and,0.24143946170806885,0.19073538482189178,0.3740963041782379,0.28606054186820984,0.4077630043029785,0.31309178471565247,0.20544172823429108
political,0.22624807059764862,0.4096531569957733,0.24282537400722504,0.28964823484420776,0.2335650622844696,0.21846716105937958,0.17130474746227264
means,0.2096204161643982,0.180331289768219,0.20094269514083862,0.16764108836650848,0.1561586558818817,0.2553325295448303,0.21233566105365753
.,0.2095622420310974,0.22279119491577148,0.40146201848983765,0.2629340887069702,0.49257001280784607,0.3567904531955719,0.4130953550338745
