,plant,cells,respond,to,the,molecules,associated,with,pathogens,known,as,what,?
individual,0.24539528787136078,0.271009236574173,0.3085227906703949,0.3278317153453827,0.3706541955471039,0.2922578454017639,0.2621789872646332,0.30067092180252075,0.2257123440504074,0.1726302057504654,0.3071732819080353,0.34021541476249695,0.2058374285697937
plant,1.0,0.3855547606945038,0.2594345510005951,0.20493197441101074,0.28395459055900574,0.2519395351409912,0.14194011688232422,0.18355664610862732,0.47415441274642944,0.23484675586223602,0.22260165214538574,0.23371253907680511,0.16613075137138367
cells,0.3855547606945038,1.0,0.3767065703868866,0.26320719718933105,0.19095487892627716,0.5185227394104004,0.15195126831531525,0.2187740057706833,0.6204997897148132,0.14049942791461945,0.2328435331583023,0.1758001297712326,0.1898086667060852
respond,0.2594345510005951,0.3767065703868866,1.0000001192092896,0.33126938343048096,0.24966585636138916,0.2521800398826599,0.13507959246635437,0.22981731593608856,0.4147782027721405,0.15209072828292847,0.2570608854293823,0.42141762375831604,0.2554577887058258
to,0.20493197441101074,0.26320719718933105,0.33126938343048096,1.0,0.535392165184021,0.2749134600162506,0.2648659348487854,0.4239959120750427,0.26178881525993347,0.14337651431560516,0.42092081904411316,0.455847829580307,0.29463258385658264
molecules,0.2519395351409912,0.5185227394104004,0.2521800398826599,0.2749134600162506,0.2374771386384964,0.9999999403953552,0.16790175437927246,0.2543012797832489,0.5468598008155823,0.1795210838317871,0.2531224191188812,0.2143162339925766,0.17409995198249817
associated,0.14194011688232422,0.15195126831531525,0.13507959246635437,0.2648659348487854,0.2742886245250702,0.16790175437927246,0.9999999403953552,0.3939831554889679,0.25951483845710754,0.3094818592071533,0.2813912034034729,0.15836219489574432,0.1453326791524887
with,0.18355664610862732,0.2187740057706833,0.22981731593608856,0.4239959120750427,0.4223487675189972,0.2543012797832489,0.3939831554889679,0.9999999403953552,0.1887669414281845,0.23440474271774292,0.40387406945228577,0.2464839518070221,0.2433311939239502
pathogens,0.47415441274642944,0.6204997897148132,0.4147782027721405,0.26178881525993347,0.23115308582782745,0.5468598008155823,0.25951483845710754,0.1887669414281845,1.0,0.21632184088230133,0.22061175107955933,0.24503889679908752,0.21364152431488037
known,0.23484675586223602,0.14049942791461945,0.15209072828292847,0.14337651431560516,0.3624623417854309,0.1795210838317871,0.3094818592071533,0.23440474271774292,0.21632184088230133,1.0,0.4815765619277954,0.20381177961826324,0.18314571678638458
as,0.22260165214538574,0.2328435331583023,0.2570608854293823,0.42092081904411316,0.48381632566452026,0.2531224191188812,0.2813912034034729,0.40387406945228577,0.22061175107955933,0.4815765619277954,1.0,0.31749409437179565,0.27043893933296204
pathogen-associated,0.40647268295288086,0.5051895380020142,0.3893985152244568,0.3207383453845978,0.3139682114124298,0.45911404490470886,0.7368232607841492,0.33593055605888367,0.8052573800086975,0.3144313395023346,0.2972646951675415,0.2650487720966339,0.2151942104101181
molecular,0.2346433401107788,0.3624235689640045,0.19246621429920197,0.22402936220169067,0.23136529326438904,0.7217206358909607,0.13112430274486542,0.19952009618282318,0.4051598012447357,0.1897134780883789,0.21507450938224792,0.20577901601791382,0.1327144205570221
patterns,0.20567429065704346,0.25855088233947754,0.19646289944648743,0.22581365704536438,0.2312394678592682,0.3316100239753723,0.26474729180336,0.25946274399757385,0.2967902719974518,0.11244124919176102,0.1634058803319931,0.2605896592140198,0.18855470418930054
or,0.31485456228256226,0.32840585708618164,0.29131001234054565,0.38921234011650085,0.4174870550632477,0.3301488161087036,0.3577948808670044,0.38158315420150757,0.37175336480140686,0.2710355222225189,0.4400654137134552,0.33867141604423523,0.32389625906944275
pamps,0.24895481765270233,0.22094972431659698,0.21806392073631287,0.3372996747493744,0.30230772495269775,0.26455941796302795,0.14216308295726776,0.24564215540885925,0.32637783885002136,0.2258385419845581,0.2537468373775482,0.31954291462898254,0.29461976885795593
.,0.25658002495765686,0.2868211269378662,0.2619034945964813,0.4645031690597534,0.5934505462646484,0.25748172402381897,0.2184346318244934,0.4446153938770294,0.2375609129667282,0.283290296792984,0.515582263469696,0.3567904531955719,0.4130953550338745
