,how,long,ago,did,cyanobacteria,enter,a,cell,?
somewhere,0.3594898283481598,0.24277763068675995,0.3325800597667694,0.22525189816951752,0.20714770257472992,0.2637401223182678,0.3132706582546234,0.14716486632823944,0.4073143005371094
around,0.3297552764415741,0.30095621943473816,0.3867620825767517,0.1658935695886612,0.2390563040971756,0.18483081459999084,0.3187784254550934,0.1416337639093399,0.14729668200016022
a,0.29312583804130554,0.3795371353626251,0.2420414835214615,0.2552328109741211,0.22426342964172363,0.2502499222755432,1.0,0.21525812149047852,0.23916715383529663
billion,0.2582297921180725,0.21594516932964325,0.4122296869754791,0.1482735127210617,0.32756686210632324,0.19849322736263275,0.14451098442077637,0.18678724765777588,0.25791820883750916
years,0.21949264407157898,0.34739476442337036,0.5710245370864868,0.2695724070072174,0.3091355264186859,0.18694090843200684,0.23773819208145142,0.15066172182559967,0.1914375126361847
ago,0.3028433620929718,0.3393833637237549,1.0000001192092896,0.19972491264343262,0.38016512989997864,0.0769587904214859,0.2420414835214615,0.10200532525777817,0.2202194780111313
",",0.22659391164779663,0.3431144952774048,0.26431804895401,0.3015086054801941,0.2548418641090393,0.20928232371807098,0.427140474319458,0.17534321546554565,0.31091248989105225
a,0.29312583804130554,0.3795371353626251,0.2420414835214615,0.2552328109741211,0.22426342964172363,0.2502499222755432,1.0,0.21525812149047852,0.23916715383529663
free-living,0.21740874648094177,0.23347149789333344,0.2793121337890625,0.26317551732063293,0.28353703022003174,0.21763120591640472,0.2976855933666229,0.17975318431854248,0.21305535733699799
cyanobacterium,0.2369239777326584,0.2577616572380066,0.38272836804389954,0.1813724935054779,0.931679368019104,0.15695442259311676,0.28310778737068176,0.42432311177253723,0.20120567083358765
entered,0.11919467151165009,0.10486897826194763,0.08256708085536957,0.24553436040878296,0.1183110699057579,0.6595630645751953,0.24757324159145355,0.1429545283317566,0.10335487127304077
an,0.2520636022090912,0.22368325293064117,0.19418419897556305,0.22598257660865784,0.18651655316352844,0.18427564203739166,0.44552403688430786,0.1520475447177887,0.19793890416622162
early,0.2415190190076828,0.2295939028263092,0.36313942074775696,0.32047218084335327,0.28429049253463745,0.1361742466688156,0.2710886299610138,0.15503768622875214,0.15272949635982513
eukaryotic,0.18727919459342957,0.2059352546930313,0.23977136611938477,0.1543388068675995,0.6915726065635681,0.1569351702928543,0.23369665443897247,0.5833380818367004,0.1899385005235672
cell,0.20469050109386444,0.17212311923503876,0.10200532525777817,0.13489265739917755,0.42483991384506226,0.19595098495483398,0.21525812149047852,1.0000001192092896,0.2058541625738144
",",0.22659391164779663,0.3431144952774048,0.26431804895401,0.3015086054801941,0.2548418641090393,0.20928232371807098,0.427140474319458,0.17534321546554565,0.31091248989105225
either,0.35004037618637085,0.29464659094810486,0.23855677247047424,0.27443668246269226,0.2812880873680115,0.276201456785202,0.40784984827041626,0.2364380806684494,0.31498292088508606
as,0.33782753348350525,0.23432248830795288,0.21287672221660614,0.3596470057964325,0.2561360001564026,0.20617704093456268,0.39550232887268066,0.25192439556121826,0.27043893933296204
food,0.22970743477344513,0.250161349773407,0.14701561629772186,0.18677744269371033,0.32091838121414185,0.2428356111049652,0.24320901930332184,0.1746610403060913,0.15376032888889313
or,0.3378981947898865,0.2804487943649292,0.20230405032634735,0.28211739659309387,0.3249398171901703,0.2738136947154999,0.48853766918182373,0.2717095911502838,0.32389625906944275
as,0.33782753348350525,0.23432248830795288,0.21287672221660614,0.3596470057964325,0.2561360001564026,0.20617704093456268,0.39550232887268066,0.25192439556121826,0.27043893933296204
an,0.2520636022090912,0.22368325293064117,0.19418419897556305,0.22598257660865784,0.18651655316352844,0.18427564203739166,0.44552403688430786,0.1520475447177887,0.19793890416622162
internal,0.19838258624076843,0.1454101949930191,0.07617878913879395,0.13179753720760345,0.26404616236686707,0.24040253460407257,0.25449109077453613,0.2570814788341522,0.1665428727865219
parasite,0.20253531634807587,0.1991681158542633,0.10366235673427582,0.12890373170375824,0.532136082649231,0.18205638229846954,0.206001415848732,0.331133097410202,0.1782570779323578
",",0.22659391164779663,0.3431144952774048,0.26431804895401,0.3015086054801941,0.2548418641090393,0.20928232371807098,0.427140474319458,0.17534321546554565,0.31091248989105225
but,0.43101516366004944,0.33308175206184387,0.3124816417694092,0.49033689498901367,0.28219401836395264,0.30215635895729065,0.44750767946243286,0.19171488285064697,0.27921953797340393
managed,0.2066747099161148,0.17032651603221893,0.08109647780656815,0.31631556153297424,0.03563718870282173,0.22170931100845337,0.2628381848335266,0.07403837144374847,0.1315973401069641
to,0.44169697165489197,0.30218687653541565,0.2610180675983429,0.4452643394470215,0.23948733508586884,0.3060675263404846,0.45503583550453186,0.19730474054813385,0.29463258385658264
escape,0.19620616734027863,0.12883107364177704,0.10252409428358078,0.20764513313770294,0.1405334323644638,0.34493643045425415,0.18111899495124817,0.1679658144712448,0.11586874723434448
the,0.33890387415885925,0.3075225353240967,0.23063679039478302,0.34736719727516174,0.23102529346942902,0.3499310314655304,0.5829201340675354,0.15822452306747437,0.22068053483963013
phagocytic,0.31349530816078186,0.21758505702018738,0.22653059661388397,0.1611611694097519,0.6209819316864014,0.19047284126281738,0.2792801856994629,0.5378900170326233,0.24065247178077698
vacuole,0.22064965963363647,0.2273014485836029,0.1993744671344757,0.12246885895729065,0.5352939367294312,0.1913636028766632,0.27098584175109863,0.5614805221557617,0.2012493908405304
it,0.36714982986450195,0.34568047523498535,0.3296685814857483,0.2993364930152893,0.2603444755077362,0.20559366047382355,0.5452592968940735,0.11782132834196091,0.25732165575027466
was,0.16678167879581451,0.1968146562576294,0.24615181982517242,0.41399896144866943,0.19797080755233765,0.1587110310792923,0.4508470594882965,0.11768463999032974,0.18412111699581146
contained,0.20294219255447388,0.17396272718906403,0.20099104940891266,0.22769203782081604,0.3033390939235687,0.22693198919296265,0.301316499710083,0.2563939392566681,0.171995609998703
in,0.2601168751716614,0.2759332060813904,0.2414315938949585,0.2593238651752472,0.22955600917339325,0.2540470063686371,0.539380669593811,0.16478286683559418,0.20430970191955566
.,0.3287222981452942,0.3247973620891571,0.2834824323654175,0.35288307070732117,0.2696060240268707,0.26709118485450745,0.50484299659729,0.2801848351955414,0.4130953550338745
