,what,type,of,role,that,islamism,seeks,makes,it,a,somewhat,controversial,concept,?
islamism,0.28119760751724243,0.14475588500499725,0.2555263340473175,0.16712477803230286,0.27515143156051636,1.0000001192092896,0.39173153042793274,0.10767391324043274,0.20388223230838776,0.2249027043581009,0.22665344178676605,0.4150877594947815,0.3589930832386017,0.19147449731826782
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.20847192406654358,0.3995479643344879,0.19005949795246124,0.23242413997650146,0.4565773010253906,0.6328473687171936,0.658733606338501,0.3327275216579437,0.2638956904411316,0.2750450372695923,0.22961433231830597
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.22880133986473083,0.47537946701049805,0.2249027043581009,0.2667735815048218,0.3509295880794525,0.5452592968940735,1.0,0.32857760787010193,0.29437413811683655,0.29586365818977356,0.23916715383529663
controversial,0.3225577771663666,0.14533483982086182,0.27057674527168274,0.19650030136108398,0.3362289071083069,0.4150877594947815,0.241810604929924,0.18904578685760498,0.27937230467796326,0.29437413811683655,0.2972756624221802,1.0,0.295247882604599,0.2903842329978943
concept,0.28724339604377747,0.1951247602701187,0.24082158505916595,0.18429845571517944,0.3531160056591034,0.3589930832386017,0.310566782951355,0.1751822978258133,0.29287758469581604,0.29586365818977356,0.2763771116733551,0.295247882604599,0.9999998807907104,0.17160645127296448
not,0.5449194312095642,0.2697264850139618,0.3307090103626251,0.1859561651945114,0.6600887179374695,0.2621053457260132,0.2633053660392761,0.3172699511051178,0.4651523232460022,0.3791346549987793,0.35287943482398987,0.37009912729263306,0.2869156002998352,0.41942933201789856
just,0.5854880809783936,0.16222921013832092,0.35124439001083374,0.21185316145420074,0.6540043354034424,0.22344402968883514,0.18284396827220917,0.30661454796791077,0.5023440718650818,0.47693389654159546,0.38851723074913025,0.2857223451137543,0.26752904057502747,0.4144178032875061
because,0.46729007363319397,0.2493555098772049,0.4075504541397095,0.2351951152086258,0.6503599286079407,0.2753404676914215,0.2309427261352539,0.42937523126602173,0.4849289059638977,0.42230045795440674,0.42193272709846497,0.37605807185173035,0.2942044138908386,0.2528740465641022
it,0.45803478360176086,0.22145579755306244,0.38761502504348755,0.17076654732227325,0.5921133160591125,0.20388223230838776,0.15157784521579742,0.36225712299346924,0.9999999403953552,0.5452592968940735,0.40283626317977905,0.27937230467796326,0.29287758469581604,0.25732165575027466
posits,0.23136374354362488,0.22839395701885223,0.2808022201061249,0.1938023865222931,0.3210301399230957,0.06191966310143471,0.2020576000213623,0.21767082810401917,0.25511711835861206,0.3087707757949829,0.17944297194480896,0.12679068744182587,0.20063674449920654,0.11253565549850464
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.22880133986473083,0.47537946701049805,0.2249027043581009,0.2667735815048218,0.3509295880794525,0.5452592968940735,1.0,0.32857760787010193,0.29437413811683655,0.29586365818977356,0.23916715383529663
political,0.21846716105937958,0.03672046214342117,0.27319738268852234,0.1968887746334076,0.2016311138868332,0.49158284068107605,0.33786922693252563,0.12478658556938171,0.13214361667633057,0.21418654918670654,0.18841850757598877,0.366414874792099,0.22943691909313202,0.17130474746227264
role,0.22614215314388275,0.10526427626609802,0.1797693818807602,0.9999998807907104,0.23023544251918793,0.16712477803230286,0.17153674364089966,0.18123362958431244,0.17076654732227325,0.22880133986473083,0.17985482513904572,0.19650030136108398,0.18429845571517944,0.18676944077014923
for,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.34694939851760864,0.4137635827064514,0.17044684290885925,0.21419332921504974,0.3219717741012573,0.32171204686164856,0.44038116931915283,0.24216239154338837,0.2730811834335327,0.24192313849925995,0.264628142118454
islam,0.23237212002277374,0.08514412492513657,0.21728332340717316,0.18596327304840088,0.22824111580848694,0.7715402841567993,0.2830236852169037,0.104722760617733,0.19719752669334412,0.15636202692985535,0.14933402836322784,0.3149270713329315,0.2964586019515991,0.18358638882637024
but,0.5029441118240356,0.24026720225811005,0.39942997694015503,0.20809265971183777,0.7244205474853516,0.24552085995674133,0.24715013802051544,0.3433658182621002,0.5299214720726013,0.44750767946243286,0.47851330041885376,0.3625370264053345,0.2593584656715393,0.27921953797340393
also,0.42747777700424194,0.26631516218185425,0.4924938678741455,0.3320251703262329,0.6005857586860657,0.25251519680023193,0.2578553557395935,0.31384292244911194,0.542508602142334,0.5149940252304077,0.3342132270336151,0.30877551436424255,0.23729993402957916,0.21848613023757935
because,0.46729007363319397,0.2493555098772049,0.4075504541397095,0.2351951152086258,0.6503599286079407,0.2753404676914215,0.2309427261352539,0.42937523126602173,0.4849289059638977,0.42230045795440674,0.42193272709846497,0.37605807185173035,0.2942044138908386,0.2528740465641022
its,0.30393704771995544,0.11677329987287521,0.48690423369407654,0.2062283307313919,0.416561484336853,0.1878480613231659,0.19919611513614655,0.3279924988746643,0.5786119699478149,0.4424409866333008,0.36695948243141174,0.17196480929851532,0.1954406201839447,0.15103481709957123
supporters,0.15340010821819305,0.04813196510076523,0.24738702178001404,0.16536492109298706,0.32078492641448975,0.3785093426704407,0.28362804651260376,0.1222100481390953,0.1302614063024521,0.22582685947418213,0.15228042006492615,0.3130388855934143,0.17500710487365723,0.135813906788826
believe,0.46656209230422974,0.18581706285476685,0.2925758957862854,0.20877164602279663,0.533393383026123,0.3634357750415802,0.3180173635482788,0.2511194050312042,0.31943458318710327,0.2732302248477936,0.30332502722740173,0.33733999729156494,0.35707274079322815,0.3329349160194397
their,0.35142919421195984,0.14413684606552124,0.4329940676689148,0.17009969055652618,0.4266771972179413,0.1824980229139328,0.2802956998348236,0.2618332803249359,0.3067983090877533,0.29698723554611206,0.2572515904903412,0.21109099686145782,0.214384987950325,0.1898253709077835
views,0.32671356201171875,0.08027710020542145,0.1923438459634781,0.18406179547309875,0.30377236008644104,0.3313702642917633,0.3081943988800049,0.1714155077934265,0.21774674952030182,0.19887466728687286,0.25497564673423767,0.37289899587631226,0.22611691057682037,0.19388815760612488
