,salafism,posits,that,democracy,is,responsible,for,what,type,of,horrible,events,of,the,20th,century,?
in,0.23406104743480682,0.2594708502292633,0.435920387506485,0.19644030928611755,0.5394441485404968,0.24309778213500977,0.4322226941585541,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.22346685826778412,0.2690284550189972,0.5696388483047485,0.6662389636039734,0.20743919909000397,0.3174034655094147,0.20430970191955566
its,0.17904458940029144,0.28092920780181885,0.416561484336853,0.15337321162223816,0.4447362422943115,0.2769978642463684,0.2992613911628723,0.30393704771995544,0.11677329987287521,0.48690423369407654,0.1451505869626999,0.13340450823307037,0.48690423369407654,0.559237003326416,0.2017490714788437,0.1888006627559662,0.15103481709957123
harshest,0.33270978927612305,0.2685219645500183,0.3788908123970032,0.23711061477661133,0.2796333134174347,0.24155446887016296,0.28045734763145447,0.348052054643631,0.17136800289154053,0.3525494635105133,0.3895997107028961,0.08932597935199738,0.3525494635105133,0.36326903104782104,0.23293493688106537,0.21867811679840088,0.23323340713977814
form,0.22186633944511414,0.2168167382478714,0.31894639134407043,0.17895996570587158,0.3218395411968231,0.13077722489833832,0.2342945635318756,0.15868011116981506,0.3017115294933319,0.29600051045417786,0.04436869919300079,0.16687509417533875,0.29600051045417786,0.29286009073257446,0.18339747190475464,0.175141841173172,0.1463010311126709
it,0.21187330782413483,0.25511711835861206,0.5921133160591125,0.19958700239658356,0.6328473687171936,0.185812309384346,0.32171204686164856,0.45803478360176086,0.22145579755306244,0.38761502504348755,0.2253066748380661,0.19988678395748138,0.38761502504348755,0.6251175999641418,0.22778034210205078,0.2796405553817749,0.25732165575027466
preached,0.38556772470474243,0.08745548129081726,0.2540748715400696,0.24948465824127197,0.141431987285614,0.1819947063922882,0.1811840981245041,0.2606910467147827,0.08587682247161865,0.1946892887353897,0.16870012879371643,0.16424919664859772,0.1946892887353897,0.22356590628623962,0.14830704033374786,0.28509506583213806,0.21524854004383087
that,0.2893858551979065,0.3210301399230957,1.0,0.23255355656147003,0.3995479643344879,0.3398503065109253,0.4137635827064514,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.39154961705207825,0.31351813673973083,0.41498205065727234,0.5473989248275757,0.2447710484266281,0.24900858104228973,0.32716336846351624
muslims,0.42540767788887024,0.15893886983394623,0.2854565978050232,0.25855520367622375,0.2225831001996994,0.17852796614170074,0.2375299036502838,0.26523277163505554,0.036924008280038834,0.22355489432811737,0.17025192081928253,0.19559346139431,0.22355489432811737,0.2657718360424042,0.2113710343837738,0.23621287941932678,0.18742211163043976
should,0.23553280532360077,0.21864230930805206,0.4588061273097992,0.23531724512577057,0.33635082840919495,0.19514121115207672,0.3225788176059723,0.43830034136772156,0.16377532482147217,0.23792634904384613,0.2581419050693512,0.16359718143939972,0.23792634904384613,0.32399165630340576,0.1647510677576065,0.19752131402492523,0.4442402422428131
not,0.2869880199432373,0.287035197019577,0.6600887179374695,0.21274015307426453,0.3776007890701294,0.24538761377334595,0.39280617237091064,0.5449194312095642,0.2697264850139618,0.3307090103626251,0.36061012744903564,0.219646155834198,0.3307090103626251,0.4310511648654938,0.18259675800800323,0.17249023914337158,0.41942933201789856
