,how,many,companies,were,registered,in,warsaw,in,2006,?
in,0.2601168751716614,0.41474202275276184,0.2321794629096985,0.3815755248069763,0.193543940782547,1.0,0.22642600536346436,1.0,-0.04600946605205536,0.20430970191955566
2006,0.10067587345838547,0.10145369172096252,0.10556268692016602,0.01956683211028576,-0.007363018114119768,-0.04600946605205536,-0.082784503698349,-0.04600946605205536,1.0,-0.1194092258810997
",",0.22659391164779663,0.40610817074775696,0.28041911125183105,0.36755475401878357,0.22778020799160004,0.5201468467712402,0.25300899147987366,0.5201468467712402,-0.14199310541152954,0.31091248989105225
"304,016",0.15244920551776886,0.23645706474781036,0.19746018946170807,0.11252281814813614,0.1195419505238533,0.1098206415772438,0.021858524531126022,0.1098206415772438,0.25317731499671936,-0.113904669880867
companies,0.1746106892824173,0.3244176208972931,1.0000001192092896,0.22409465909004211,0.23790203034877777,0.2321794629096985,0.16749995946884155,0.2321794629096985,0.10556268692016602,0.14365637302398682
were,0.2082374095916748,0.4804460406303406,0.22409465909004211,1.0000001192092896,0.23260313272476196,0.3815755248069763,0.18216076493263245,0.3815755248069763,0.01956683211028576,0.17890112102031708
registered,0.19916783273220062,0.22357608377933502,0.23790203034877777,0.23260313272476196,1.0,0.193543940782547,0.15580008924007416,0.193543940782547,-0.007363018114119768,0.24155336618423462
in,0.2601168751716614,0.41474202275276184,0.2321794629096985,0.3815755248069763,0.193543940782547,1.0,0.22642600536346436,1.0,-0.04600946605205536,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.26917189359664917,0.3906462490558624,0.23383188247680664,0.6662389636039734,0.23137180507183075,0.6662389636039734,0.11294147372245789,0.22068053483963013
city,0.12024712562561035,0.21416836977005005,0.2752535045146942,0.20383071899414062,0.14469385147094727,0.3911624252796173,0.25006377696990967,0.3911624252796173,-0.07960782945156097,0.13423943519592285
.,0.3287222981452942,0.3974229395389557,0.20400826632976532,0.3378238379955292,0.23739121854305267,0.5591574311256409,0.26825499534606934,0.5591574311256409,-0.13838863372802734,0.4130953550338745
