,what,cancels,our,guilt,and,empowers,us,to,resist,the,power,of,sin,and,to,fully,love,god,and,neighbor,?
the,0.42745697498321533,0.2131279557943344,0.34956011176109314,0.22449131309986115,0.5171257257461548,0.2721267342567444,0.25727739930152893,0.535392165184021,0.22076082229614258,1.0,0.2647338807582855,0.733189046382904,0.18401655554771423,0.5171257257461548,0.535392165184021,0.2750830352306366,0.19631516933441162,0.24689088761806488,0.5171257257461548,0.14542067050933838,0.22068053483963013
justifying,0.43036285042762756,0.24570657312870026,0.3617078363895416,0.36238032579421997,0.2349795401096344,0.364549845457077,0.17585504055023193,0.22146758437156677,0.23973554372787476,0.23961547017097473,0.2171897292137146,0.24957382678985596,0.1256732940673828,0.2349795401096344,0.22146758437156677,0.23509615659713745,0.22044242918491364,0.26879167556762695,0.2349795401096344,0.08074098825454712,0.43052729964256287
grace,0.16722138226032257,0.14725279808044434,0.1830895096063614,0.24479174613952637,0.21748536825180054,0.23511730134487152,0.18556946516036987,0.20109255611896515,0.18812784552574158,0.20940588414669037,0.10994406044483185,0.2101200968027115,0.21896445751190186,0.21748536825180054,0.20109255611896515,0.19386127591133118,0.35169315338134766,0.3407481610774994,0.21748536825180054,0.10403849929571152,0.16775278747081757
cancels,0.2441716194152832,0.9999999403953552,0.1545467972755432,0.29240313172340393,0.22321389615535736,0.2665495276451111,0.09352340549230576,0.3245726525783539,0.19833804666996002,0.2131279557943344,0.26811087131500244,0.18041104078292847,0.1846868395805359,0.22321389615535736,0.3245726525783539,0.15621155500411987,0.14718671143054962,0.1458449363708496,0.22321389615535736,0.14876502752304077,0.21020090579986572
our,0.3871900141239166,0.1545467972755432,1.0000001192092896,0.23054374754428864,0.2550724446773529,0.2659463584423065,0.31428566575050354,0.2916623651981354,0.21659217774868011,0.34956011176109314,0.18227002024650574,0.28844836354255676,0.17952917516231537,0.2550724446773529,0.2916623651981354,0.2018413543701172,0.1914418339729309,0.2790161371231079,0.2550724446773529,0.1549098789691925,0.2894428074359894
guilt,0.3678530156612396,0.29240313172340393,0.23054374754428864,1.0,0.23879246413707733,0.3492354154586792,0.22534231841564178,0.27108874917030334,0.22682012617588043,0.22449131309986115,0.2339993268251419,0.1890961229801178,0.3296752870082855,0.23879246413707733,0.27108874917030334,0.17107248306274414,0.35526609420776367,0.2642686367034912,0.23879246413707733,0.1153138056397438,0.23545172810554504
and,0.31309178471565247,0.22321389615535736,0.2550724446773529,0.23879246413707733,1.0,0.3479346036911011,0.25715014338493347,0.48971283435821533,0.2666219174861908,0.5171257257461548,0.27496716380119324,0.5116966962814331,0.20722192525863647,1.0,0.48971283435821533,0.23881065845489502,0.2547922432422638,0.23257656395435333,1.0,0.262529194355011,0.20544172823429108
empowers,0.3218364417552948,0.2665495276451111,0.2659463584423065,0.3492354154586792,0.3479346036911011,1.0,0.21356026828289032,0.33330515027046204,0.2111867070198059,0.2721267342567444,0.45941951870918274,0.2596759796142578,0.17119577527046204,0.3479346036911011,0.33330515027046204,0.27747562527656555,0.2898784875869751,0.23296110332012177,0.3479346036911011,0.22622118890285492,0.21804286539554596
us,0.32081687450408936,0.09352340549230576,0.31428566575050354,0.22534231841564178,0.25715014338493347,0.21356026828289032,1.0000001192092896,0.2928973436355591,0.05156625434756279,0.25727739930152893,0.1328859180212021,0.23568789660930634,0.1557517945766449,0.25715014338493347,0.2928973436355591,0.12418005615472794,0.23978939652442932,0.155269056558609,0.25715014338493347,0.09532026946544647,0.2742428481578827
to,0.455847829580307,0.3245726525783539,0.2916623651981354,0.27108874917030334,0.48971283435821533,0.33330515027046204,0.2928973436355591,1.0,0.266008585691452,0.535392165184021,0.27001675963401794,0.41548454761505127,0.2076987326145172,0.48971283435821533,1.0,0.30777493119239807,0.21338175237178802,0.2408517301082611,0.48971283435821533,0.21176394820213318,0.29463258385658264
