,what,were,isaac,'s,chains,made,out,of,?
isaac,0.19571390748023987,0.23545897006988525,1.0,-0.1239321306347847,0.11603865772485733,0.08917901664972305,0.05224213749170303,0.16408409178256989,0.1153682991862297
surrendered,0.13173703849315643,0.31249794363975525,0.14738047122955322,0.019261285662651062,0.13279911875724792,0.2155991643667221,0.21866069734096527,0.2576293647289276,0.09069284051656723
and,0.31309178471565247,0.42175528407096863,0.16840237379074097,0.06895173341035843,0.31596818566322327,0.34954607486724854,0.3881998062133789,0.5116966962814331,0.20544172823429108
was,0.22111038863658905,0.590133786201477,0.30599451065063477,0.008974763564765453,0.1631845235824585,0.3433256447315216,0.28168347477912903,0.4069072902202606,0.18412111699581146
confined,0.1784718930721283,0.2881590723991394,0.060932356864213943,-0.02742217294871807,0.18626388907432556,0.24679601192474365,0.2672232985496521,0.3887292742729187,0.12492158263921738
with,0.2464839518070221,0.3179011940956116,0.10352150350809097,-0.04624466598033905,0.25476980209350586,0.3459964990615845,0.3367781639099121,0.41827285289764404,0.2433311939239502
silver,0.10540545731782913,0.19665706157684326,0.060755010694265366,0.08500461280345917,0.21353226900100708,0.2191540002822876,0.135312020778656,0.18475119769573212,0.11920861899852753
chains,0.1769096851348877,0.2205599844455719,0.11603865772485733,-0.07837133854627609,1.0000001192092896,0.15942241251468658,0.21840256452560425,0.22722147405147552,0.11840091645717621
",",0.3087472915649414,0.36755475401878357,0.21904198825359344,-0.0016132977325469255,0.21252921223640442,0.32507219910621643,0.3161109685897827,0.4946078956127167,0.31091248989105225
because,0.46729007363319397,0.3762696087360382,0.19964838027954102,0.05210670828819275,0.2719692587852478,0.3560832440853119,0.38214966654777527,0.4075504541397095,0.2528740465641022
richard,0.19329693913459778,0.22284255921840668,0.274493008852005,-0.04731119051575661,0.11635200679302216,0.12820221483707428,0.14543256163597107,0.2227524220943451,0.15003317594528198
had,0.23849567770957947,0.6150832772254944,0.22476842999458313,-0.004401352722197771,0.16663679480552673,0.3391602039337158,0.317210853099823,0.37755560874938965,0.20728366076946259
promised,0.24721461534500122,0.2670386731624603,0.15562303364276886,0.006659887731075287,0.15057635307312012,0.2636931538581848,0.27618664503097534,0.21547284722328186,0.22630755603313446
that,0.6297725439071655,0.35517072677612305,0.1655493825674057,0.04397977516055107,0.23444439470767975,0.3437977731227875,0.43996092677116394,0.41498205065727234,0.32716336846351624
he,0.3114890456199646,0.31267037987709045,0.20102320611476898,0.024063590914011,0.15324410796165466,0.27847591042518616,0.29240235686302185,0.38706058263778687,0.2089974731206894
would,0.45766422152519226,0.37426912784576416,0.14450304210186005,0.036968596279621124,0.20025654137134552,0.3168572783470154,0.37045037746429443,0.3353942930698395,0.37178951501846313
not,0.5449194312095642,0.33318549394607544,0.1503036618232727,0.002583299996331334,0.1656600534915924,0.35529249906539917,0.33352673053741455,0.3307090103626251,0.41942933201789856
place,0.2689766585826874,0.24349497258663177,0.14703814685344696,-0.03236493840813637,0.12111454457044601,0.2382362186908722,0.29128244519233704,0.2685627043247223,0.2455766350030899
him,0.34912991523742676,0.289580374956131,0.18310320377349854,0.004161491058766842,0.19641605019569397,0.22442960739135742,0.40562137961387634,0.2764812409877777,0.23943768441677094
in,0.30808621644973755,0.3815755248069763,0.16879957914352417,-0.037580832839012146,0.2532649338245392,0.25271502137184143,0.3576207756996155,0.5696388483047485,0.20430970191955566
irons,0.07827021181583405,0.273596853017807,0.1439875364303589,-0.032433126121759415,0.3239825665950775,0.2398565113544464,0.17437559366226196,0.15892021358013153,0.08663716167211533
.,0.3567904531955719,0.3378238379955292,0.18200024962425232,-0.003708066651597619,0.20306608080863953,0.4032190144062042,0.34234723448753357,0.5352458953857422,0.4130953550338745
