,when,could,a,teacher,act,in,the,role,of,a,parent,?
throughout,0.30454620718955994,0.21338975429534912,0.2578590512275696,0.16487731039524078,0.1545458734035492,0.46596065163612366,0.4158564507961273,0.21585537493228912,0.35374847054481506,0.2578590512275696,0.10465475916862488,0.12665234506130219
the,0.5091903209686279,0.35393214225769043,0.5829201340675354,0.17760860919952393,0.28682878613471985,0.6662389636039734,1.0,0.26607486605644226,0.733189046382904,0.5829201340675354,0.2354632169008255,0.22068053483963013
history,0.24001719057559967,0.20288024842739105,0.2123815417289734,0.18027938902378082,0.09968286007642746,0.29215577244758606,0.33215048909187317,0.20131094753742218,0.31014925241470337,0.2123815417289734,0.09740866720676422,0.2501974403858185
of,0.3757161796092987,0.29043012857437134,0.5052502155303955,0.19968076050281525,0.2802577316761017,0.5696388483047485,0.733189046382904,0.1797693818807602,1.0,0.5052502155303955,0.18322299420833588,0.1826142966747284
education,0.15827520191669464,0.17886723577976227,0.21779850125312805,0.4505820572376251,0.22947156429290771,0.2654339671134949,0.23982903361320496,0.20236307382583618,0.3015166223049164,0.21779850125312805,0.1886909455060959,0.18067774176597595
the,0.5091903209686279,0.35393214225769043,0.5829201340675354,0.17760860919952393,0.28682878613471985,0.6662389636039734,1.0,0.26607486605644226,0.733189046382904,0.5829201340675354,0.2354632169008255,0.22068053483963013
most,0.299309104681015,0.3053472340106964,0.3508910834789276,0.13949039578437805,0.151287242770195,0.41416558623313904,0.47635307908058167,0.2083391547203064,0.4178851246833801,0.3508910834789276,0.12130492925643921,0.2107497900724411
common,0.20520533621311188,0.1748931109905243,0.29638534784317017,0.11169279366731644,0.18783198297023773,0.23149342834949493,0.2705984115600586,0.05430404469370842,0.2949881851673126,0.29638534784317017,0.16681061685085297,0.20434872806072235
form,0.31953904032707214,0.19663512706756592,0.3088195323944092,0.12719707190990448,0.20209446549415588,0.2815987169742584,0.29286009073257446,0.058378916233778,0.29600051045417786,0.3088195323944092,0.1550551950931549,0.1463010311126709
of,0.3757161796092987,0.29043012857437134,0.5052502155303955,0.19968076050281525,0.2802577316761017,0.5696388483047485,0.733189046382904,0.1797693818807602,1.0,0.5052502155303955,0.18322299420833588,0.1826142966747284
school,0.21397973597049713,0.15214446187019348,0.2245093584060669,0.5442529320716858,0.10790811479091644,0.26157811284065247,0.22953221201896667,0.13374219834804535,0.2391800880432129,0.2245093584060669,0.13215312361717224,0.15091250836849213
discipline,0.12839166820049286,0.1973610520362854,0.21818003058433533,0.2416086196899414,0.17127232253551483,0.19738538563251495,0.1981438249349594,0.11607189476490021,0.2260950356721878,0.21818003058433533,0.1088164746761322,0.06836310029029846
was,0.37326499819755554,0.39896807074546814,0.4508470594882965,0.2929542362689972,0.1887621134519577,0.45514053106307983,0.48711544275283813,0.2561398148536682,0.4069072902202606,0.4508470594882965,0.13403601944446564,0.18412111699581146
corporal,0.15594659745693207,0.1756923496723175,0.1676696091890335,0.17690929770469666,0.1680610030889511,0.15530824661254883,0.22063873708248138,0.15074948966503143,0.18547691404819489,0.1676696091890335,0.1870594322681427,0.1554132103919983
punishment,0.27127915620803833,0.26540130376815796,0.1934642344713211,0.11328720301389694,0.2616361975669861,0.19258901476860046,0.2503047287464142,0.176068976521492,0.2056395560503006,0.1934642344713211,0.1490454077720642,0.23842233419418335
.,0.475719153881073,0.3200591504573822,0.50484299659729,0.225234717130661,0.2025400698184967,0.5591574311256409,0.5934505462646484,0.22067026793956757,0.5352458953857422,0.50484299659729,0.2628137767314911,0.4130953550338745
