,what,type,of,impact,does,opportunity-based,entrepreneurship,tend,to,have,on,economic,growth,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.22336715459823608,0.35928019881248474,0.313483327627182,0.20892655849456787,0.2505027651786804,0.535392165184021,0.40389683842658997,0.5107308030128479,0.282455176115036,0.2912366986274719,0.22068053483963013
economic,0.18082544207572937,0.06928404420614243,0.3030148148536682,0.3066168427467346,0.14175917208194733,0.3497948944568634,0.34573352336883545,0.2325732260942459,0.26856908202171326,0.18631099164485931,0.20757777988910675,0.9999999403953552,0.4732155203819275,0.1206481084227562
impact,0.25162962079048157,0.169027641415596,0.21139270067214966,1.0,0.2049424648284912,0.38140302896499634,0.2199619710445404,0.16840988397598267,0.2031068354845047,0.31931746006011963,0.24748864769935608,0.3066168427467346,0.29461729526519775,0.18429921567440033
of,0.33290785551071167,0.18112817406654358,1.0,0.21139270067214966,0.3119818866252899,0.2928767502307892,0.21051692962646484,0.1883462369441986,0.41548454761505127,0.3802283704280853,0.3966929316520691,0.3030148148536682,0.2679378092288971,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.22336715459823608,0.35928019881248474,0.313483327627182,0.20892655849456787,0.2505027651786804,0.535392165184021,0.40389683842658997,0.5107308030128479,0.282455176115036,0.2912366986274719,0.22068053483963013
former,0.13598288595676422,0.0516718253493309,0.30415382981300354,0.05489327758550644,0.09810520708560944,0.1957554668188095,0.2265738844871521,0.0723886713385582,0.12857267260551453,0.12418842315673828,0.18025436997413635,0.15258890390396118,0.10076939314603806,0.10570605844259262
type,0.2722663879394531,1.0000001192092896,0.18112817406654358,0.169027641415596,0.20720529556274414,0.17828994989395142,0.14684566855430603,0.19459323585033417,0.19930607080459595,0.242574080824852,0.2118636518716812,0.06928404420614243,0.1453375667333603,0.17536182701587677
of,0.33290785551071167,0.18112817406654358,1.0,0.21139270067214966,0.3119818866252899,0.2928767502307892,0.21051692962646484,0.1883462369441986,0.41548454761505127,0.3802283704280853,0.3966929316520691,0.3030148148536682,0.2679378092288971,0.1826142966747284
entrepreneurialism,0.2618720531463623,0.1622072160243988,0.2474098652601242,0.22659623622894287,0.18147678673267365,0.29654660820961,0.833063006401062,0.2037317454814911,0.23055170476436615,0.2059457004070282,0.16126826405525208,0.43988606333732605,0.361559122800827,0.24227792024612427
tends,0.250471830368042,0.19529063999652863,0.2451501041650772,0.18451151251792908,0.4357852041721344,0.25690174102783203,0.1597389280796051,0.6748827695846558,0.4030769169330597,0.25656771659851074,0.1870117038488388,0.25602319836616516,0.30378204584121704,0.1290840357542038
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.2031068354845047,0.4391997456550598,0.3915044069290161,0.2157515585422516,0.414838582277298,1.0,0.4544740617275238,0.41031414270401,0.26856908202171326,0.2701800763607025,0.29463258385658264
be,0.3929833769798279,0.25716274976730347,0.33904364705085754,0.24134670197963715,0.28696945309638977,0.301340252161026,0.1997022032737732,0.3734995722770691,0.4972836375236511,0.5760743618011475,0.37900757789611816,0.18845009803771973,0.20039916038513184,0.3324260413646698
redistributive,0.2484344244003296,0.11998218297958374,0.2665868401527405,0.20598475635051727,0.2579179108142853,0.3142753839492798,0.327118456363678,0.26067131757736206,0.2578137218952179,0.3172546923160553,0.19962568581104279,0.32285091280937195,0.31385666131973267,0.1712353676557541
while,0.35511791706085205,0.10300906002521515,0.3366928696632385,0.2263980656862259,0.3243313729763031,0.3750306963920593,0.1999662071466446,0.3117043077945709,0.43899232149124146,0.3577405512332916,0.44084006547927856,0.1713452935218811,0.19234618544578552,0.21076419949531555
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.22336715459823608,0.35928019881248474,0.313483327627182,0.20892655849456787,0.2505027651786804,0.535392165184021,0.40389683842658997,0.5107308030128479,0.282455176115036,0.2912366986274719,0.22068053483963013
latter,0.25606152415275574,0.10289988666772842,0.34553682804107666,0.1743694692850113,0.1787293255329132,0.2049410045146942,0.14732004702091217,0.12847748398780823,0.283441424369812,0.2514902949333191,0.20572464168071747,0.1596369743347168,0.15670405328273773,0.12733961641788483
is,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.18670059740543365,0.4403602182865143,0.1917826235294342,0.18708662688732147,0.23360416293144226,0.42745086550712585,0.3613572418689728,0.3635730445384979,0.21102669835090637,0.2256266176700592,0.22961433231830597
expected,0.3720298707485199,0.1837027668952942,0.26944905519485474,0.24662336707115173,0.3688105046749115,0.3637981414794922,0.1495617777109146,0.40914058685302734,0.42255479097366333,0.32810178399086,0.27832189202308655,0.26718777418136597,0.23370030522346497,0.19474582374095917
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.2031068354845047,0.4391997456550598,0.3915044069290161,0.2157515585422516,0.414838582277298,1.0,0.4544740617275238,0.41031414270401,0.26856908202171326,0.2701800763607025,0.29463258385658264
foster,0.1599615067243576,0.041716691106557846,0.1997741460800171,0.1333000659942627,0.10362818092107773,0.2527698576450348,0.2990889549255371,0.08820313960313797,0.2713456153869629,0.19066640734672546,0.18942317366600037,0.1674572229385376,0.15232330560684204,0.15768253803253174
technological,0.22749881446361542,0.10617629438638687,0.32200396060943604,0.27744826674461365,0.19678756594657898,0.2841753363609314,0.3672550916671753,0.18196755647659302,0.2818835973739624,0.2099624127149582,0.20753009617328644,0.43336835503578186,0.2505384087562561,0.1312418282032013
progress,0.2752872407436371,0.14209051430225372,0.27725252509117126,0.26839807629585266,0.2174118459224701,0.3058822751045227,0.16415080428123474,0.28056859970092773,0.25305503606796265,0.2337012141942978,0.24566367268562317,0.2779020667076111,0.30050531029701233,0.20267242193222046
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.19650109112262726,0.3461615741252899,0.2935773432254791,0.3030710518360138,0.35041332244873047,0.48971283435821533,0.4711785912513733,0.4077630043029785,0.2707010805606842,0.2731747627258301,0.20544172823429108
