,about,how,many,of,the,asian,population,was,hmong,?
the,0.37995871901512146,0.33890387415885925,0.4335206151008606,0.733189046382904,1.0,0.2710895538330078,0.32044094800949097,0.48711544275283813,0.22958515584468842,0.22068053483963013
racial,0.30328458547592163,0.17012618482112885,0.2423551231622696,0.2396208494901657,0.21064363420009613,0.22919747233390808,0.29882383346557617,0.20749056339263916,0.2396838366985321,0.13234834372997284
makeup,0.2270999550819397,0.14875441789627075,0.23125562071800232,0.24602575600147247,0.2449272722005844,0.21092192828655243,0.3355923891067505,0.19903339445590973,0.24577125906944275,0.16080723702907562
of,0.40939709544181824,0.2480744868516922,0.37253960967063904,1.0,0.733189046382904,0.24605733156204224,0.3060894012451172,0.4069072902202606,0.23823729157447815,0.1826142966747284
the,0.37995871901512146,0.33890387415885925,0.4335206151008606,0.733189046382904,1.0,0.2710895538330078,0.32044094800949097,0.48711544275283813,0.22958515584468842,0.22068053483963013
city,0.20384573936462402,0.12024712562561035,0.21416836977005005,0.32503411173820496,0.35769423842430115,0.14612016081809998,0.4607829749584198,0.3188765048980713,0.2556396722793579,0.13423943519592285
was,0.2577359974384308,0.16678167879581451,0.260356068611145,0.4069072902202606,0.48711544275283813,0.15075916051864624,0.1935066133737564,1.0000001192092896,0.16487382352352142,0.18412111699581146
50.2,0.0677274614572525,-0.1258576661348343,-0.02953621931374073,0.06913258880376816,-0.034383077174425125,0.03692172095179558,0.1637715995311737,-0.016845641657710075,0.11464022845029831,-0.05289122834801674
%,0.2035314440727234,0.1237400695681572,0.24948352575302124,0.19953428208827972,0.21490740776062012,0.22812187671661377,0.4585210084915161,0.11743833869695663,0.27722278237342834,0.21441808342933655
white,0.18497970700263977,0.22510305047035217,0.18459662795066833,0.23826628923416138,0.25492873787879944,0.27851229906082153,0.14588037133216858,0.17150278389453888,0.18469935655593872,0.124679796397686
",",0.3877100944519043,0.22659391164779663,0.40610817074775696,0.4946078956127167,0.4933079481124878,0.21664521098136902,0.2967977225780487,0.45456063747406006,0.29197949171066284,0.31091248989105225
8.4,0.018090886995196342,0.047497283667325974,0.10236465930938721,0.12367671728134155,0.18534670770168304,0.21571215987205505,0.14281179010868073,0.11635389178991318,0.3760601282119751,0.10422796756029129
%,0.2035314440727234,0.1237400695681572,0.24948352575302124,0.19953428208827972,0.21490740776062012,0.22812187671661377,0.4585210084915161,0.11743833869695663,0.27722278237342834,0.21441808342933655
black,0.19304651021957397,0.2023327350616455,0.2140243798494339,0.23966942727565765,0.28466513752937317,0.30796825885772705,0.17196610569953918,0.1419273465871811,0.16902093589305878,0.15159966051578522
or,0.3335071802139282,0.3378981947898865,0.36905089020729065,0.3792596757411957,0.4174870550632477,0.2302301824092865,0.17320232093334198,0.2330796718597412,0.25904351472854614,0.32389625906944275
african,0.22252832353115082,0.12331631779670715,0.22003071010112762,0.23470255732536316,0.23305515944957733,0.4998864531517029,0.16193781793117523,0.20509590208530426,0.2526973783969879,0.11862778663635254
american,0.20650030672550201,0.22688741981983185,0.22814549505710602,0.22180068492889404,0.24562937021255493,0.3032219409942627,0.14820514619350433,0.31632548570632935,0.20421403646469116,0.18877598643302917
",",0.3877100944519043,0.22659391164779663,0.40610817074775696,0.4946078956127167,0.4933079481124878,0.21664521098136902,0.2967977225780487,0.45456063747406006,0.29197949171066284,0.31091248989105225
1.6,0.17275941371917725,0.22746723890304565,0.19122669100761414,0.30238044261932373,0.3075796365737915,0.1861634999513626,0.22226178646087646,0.14770907163619995,0.2196822464466095,0.3414687514305115
%,0.2035314440727234,0.1237400695681572,0.24948352575302124,0.19953428208827972,0.21490740776062012,0.22812187671661377,0.4585210084915161,0.11743833869695663,0.27722278237342834,0.21441808342933655
native,0.25705695152282715,0.14082223176956177,0.28211280703544617,0.2524676024913788,0.24374492466449738,0.3235219120979309,0.3619246482849121,0.1733950972557068,0.2880508303642273,0.1457047313451767
american,0.20650030672550201,0.22688741981983185,0.22814549505710602,0.22180068492889404,0.24562937021255493,0.3032219409942627,0.14820514619350433,0.31632548570632935,0.20421403646469116,0.18877598643302917
",",0.3877100944519043,0.22659391164779663,0.40610817074775696,0.4946078956127167,0.4933079481124878,0.21664521098136902,0.2967977225780487,0.45456063747406006,0.29197949171066284,0.31091248989105225
11.2,0.13789917528629303,0.031092727556824684,0.1842440366744995,0.02072104439139366,-0.0029750922694802284,0.12000811845064163,0.04348978400230408,0.08056001365184784,0.14806540310382843,-0.02419590950012207
%,0.2035314440727234,0.1237400695681572,0.24948352575302124,0.19953428208827972,0.21490740776062012,0.22812187671661377,0.4585210084915161,0.11743833869695663,0.27722278237342834,0.21441808342933655
asian,0.16116470098495483,0.09642928838729858,0.2485659420490265,0.24605733156204224,0.2710895538330078,0.9999999403953552,0.18438513576984406,0.15075916051864624,0.4116385877132416,0.10526347905397415
(,0.27495184540748596,0.1676948219537735,0.1455259770154953,0.35032153129577637,0.33289089798927307,0.16251391172409058,0.14130665361881256,0.2980341613292694,0.19416269659996033,0.40561532974243164
about,1.0,0.44264400005340576,0.3800397515296936,0.40939709544181824,0.37995871901512146,0.16116470098495483,0.3066638112068176,0.2577359974384308,0.20890262722969055,0.302409827709198
a,0.34171196818351746,0.29312583804130554,0.2872205972671509,0.5052502155303955,0.5829201340675354,0.17434273660182953,0.2345738559961319,0.4508470594882965,0.19556820392608643,0.23916715383529663
third,0.20753440260887146,0.14508451521396637,0.12636491656303406,0.30602210760116577,0.4229298532009125,0.10340049117803574,0.18395879864692688,0.3460187017917633,0.14191265404224396,0.15394791960716248
of,0.40939709544181824,0.2480744868516922,0.37253960967063904,1.0,0.733189046382904,0.24605733156204224,0.3060894012451172,0.4069072902202606,0.23823729157447815,0.1826142966747284
