,acessing,the,amazon,rainforest,was,restricted,before,what,era,?
prior,0.2620871067047119,0.33782097697257996,0.1432313621044159,0.07838811725378036,0.29096508026123047,0.2699207067489624,0.5305277109146118,0.2537507116794586,0.198846235871315,0.16978254914283752
to,0.32870009541511536,0.535392165184021,0.17033490538597107,0.23412610590457916,0.3636345863342285,0.27904990315437317,0.4190867841243744,0.455847829580307,0.12544193863868713,0.29463258385658264
the,0.3051593601703644,1.0,0.260541707277298,0.2571161389350891,0.48711544275283813,0.26228615641593933,0.45900648832321167,0.42745697498321533,0.266272634267807,0.22068053483963013
early,0.23250031471252441,0.34442198276519775,0.140445739030838,0.14559179544448853,0.4148794412612915,0.2012900412082672,0.3959808051586151,0.2454567849636078,0.37634989619255066,0.15272949635982513
1960s,-0.07401562482118607,-0.06868536025285721,0.07246345281600952,0.17250403761863708,-0.029007330536842346,-0.09116720408201218,-0.16987447440624237,-0.17530474066734314,0.056851305067539215,-0.08257022500038147
",",0.31314852833747864,0.4933079481124878,0.2214922308921814,0.2737860679626465,0.45456063747406006,0.25637534260749817,0.3156566619873047,0.3087472915649414,0.19162635505199432,0.31091248989105225
access,0.3742552399635315,0.22827552258968353,0.2969154417514801,0.25089728832244873,0.12638358771800995,0.39741432666778564,0.17607806622982025,0.2685140371322632,0.09190242737531662,0.2482174038887024
to,0.32870009541511536,0.535392165184021,0.17033490538597107,0.23412610590457916,0.3636345863342285,0.27904990315437317,0.4190867841243744,0.455847829580307,0.12544193863868713,0.29463258385658264
the,0.3051593601703644,1.0,0.260541707277298,0.2571161389350891,0.48711544275283813,0.26228615641593933,0.45900648832321167,0.42745697498321533,0.266272634267807,0.22068053483963013
forest,0.19656836986541748,0.24134553968906403,0.26471444964408875,0.664979100227356,0.144582599401474,0.11793945729732513,0.19796279072761536,0.15328429639339447,0.11847665905952454,0.1214437186717987
's,-0.007791090756654739,-0.01540423184633255,0.062328040599823,0.06952503323554993,0.008974763564765453,0.009549235925078392,-0.01158253662288189,0.02692362666130066,-0.020187029615044594,-0.023395681753754616
interior,0.17052388191223145,0.30233609676361084,0.21928153932094574,0.19324056804180145,0.2296953946352005,0.21327583491802216,0.13451999425888062,0.15294553339481354,0.16677232086658478,0.07520901411771774
was,0.1599631905555725,0.48711544275283813,0.14616160094738007,0.13883572816848755,1.0000001192092896,0.1638563871383667,0.38607707619667053,0.22111038863658905,0.24523797631263733,0.18412111699581146
highly,0.23672030866146088,0.2051282376050949,0.22357966005802155,0.15718355774879456,0.2408236265182495,0.27279502153396606,0.13275820016860962,0.22724121809005737,0.14003874361515045,0.1542806625366211
restricted,0.3194904029369354,0.26228615641593933,0.17184607684612274,0.1773141771554947,0.1638563871383667,1.0,0.2133910357952118,0.24043217301368713,0.22119411826133728,0.16540619730949402
",",0.31314852833747864,0.4933079481124878,0.2214922308921814,0.2737860679626465,0.45456063747406006,0.25637534260749817,0.3156566619873047,0.3087472915649414,0.19162635505199432,0.31091248989105225
and,0.3068050444126129,0.5171257257461548,0.23464977741241455,0.26834338903427124,0.3740963041782379,0.2481634020805359,0.3518902659416199,0.31309178471565247,0.23158983886241913,0.20544172823429108
the,0.3051593601703644,1.0,0.260541707277298,0.2571161389350891,0.48711544275283813,0.26228615641593933,0.45900648832321167,0.42745697498321533,0.266272634267807,0.22068053483963013
forest,0.19656836986541748,0.24134553968906403,0.26471444964408875,0.664979100227356,0.144582599401474,0.11793945729732513,0.19796279072761536,0.15328429639339447,0.11847665905952454,0.1214437186717987
remained,0.14402970671653748,0.3492392301559448,0.0858696699142456,0.13933342695236206,0.49345076084136963,0.2830375134944916,0.2425638735294342,0.1733817607164383,0.176227867603302,0.08263323456048965
basically,0.2825697958469391,0.3721427917480469,0.18757645785808563,0.18450871109962463,0.27463042736053467,0.2800595760345459,0.3424771726131439,0.5044993162155151,0.156130850315094,0.3236490488052368
intact,0.23310628533363342,0.3529794216156006,0.20688661932945251,0.32277196645736694,0.1750693917274475,0.3487973213195801,0.2273610681295395,0.2567657232284546,0.19003914296627045,0.1481182724237442
.,0.302611380815506,0.5934505462646484,0.262887567281723,0.25713270902633667,0.40146201848983765,0.27013665437698364,0.36693984270095825,0.3567904531955719,0.1924184113740921,0.4130953550338745
