,how,many,doctor,who,episodes,have,been,shown,",",in,total,?
826,0.047380223870277405,0.10013940185308456,0.13131941854953766,0.15535438060760498,0.07864297181367874,-0.02471652254462242,-0.02190241403877735,0.04812663793563843,0.06924862414598465,0.08379533886909485,0.13647598028182983,-0.05733815208077431
doctor,0.2004029005765915,0.18319568037986755,0.9999999403953552,0.3504868149757385,0.2920081615447998,0.17649078369140625,0.12184444069862366,0.18401096761226654,0.20407600700855255,0.25567495822906494,0.09773927927017212,0.1462511420249939
who,0.4070430099964142,0.4149286150932312,0.3504868149757385,0.9999998807907104,0.20461446046829224,0.39246654510498047,0.3295723795890808,0.16586925089359283,0.3365725874900818,0.2792111933231354,0.16190829873085022,0.26220351457595825
instalments,0.28239840269088745,0.3304213881492615,0.2002898007631302,0.31713196635246277,0.3397328853607178,0.3599117398262024,0.3176000118255615,0.222240149974823,0.34049639105796814,0.306054025888443,0.2244909107685089,0.2969202697277069
have,0.4370637536048889,0.5841760635375977,0.17649078369140625,0.39246654510498047,0.22485783696174622,0.9999999403953552,0.6493861675262451,0.28475403785705566,0.3541618287563324,0.36843645572662354,0.2702822685241699,0.32991164922714233
been,0.26456597447395325,0.4963826537132263,0.12184444069862366,0.3295723795890808,0.23627032339572906,0.6493861675262451,0.9999998807907104,0.2853824198246002,0.34873589873313904,0.3515113592147827,0.2522866129875183,0.24354910850524902
televised,0.20968028903007507,0.2613069713115692,0.21246404945850372,0.17628686130046844,0.43385571241378784,0.22803039848804474,0.255562424659729,0.38325339555740356,0.23756082355976105,0.3423113226890564,0.2047305703163147,0.12888526916503906
since,0.2347431182861328,0.34386345744132996,0.10913390666246414,0.27765995264053345,0.21624694764614105,0.47784632444381714,0.6581953763961792,0.26734182238578796,0.3991432189941406,0.4325680434703827,0.22661477327346802,0.2876587212085724
1963,-0.09255906939506531,0.015774264931678772,0.008513279259204865,-0.045281361788511276,-0.016845019534230232,-0.06191136687994003,-0.06362605839967728,-0.10091547667980194,0.12023364007472992,0.09972909837961197,0.0614246129989624,0.03411978855729103
",",0.22659391164779663,0.40610817074775696,0.20407600700855255,0.3365725874900818,0.2131132036447525,0.3541618287563324,0.34873589873313904,0.25911012291908264,1.0000001192092896,0.5201468467712402,0.25815486907958984,0.31091248989105225
ranging,0.1890265941619873,0.3505823612213135,0.05589593946933746,0.10510164499282837,0.13651621341705322,0.30342352390289307,0.20163299143314362,0.19800260663032532,0.28140878677368164,0.23063085973262787,0.2730075418949127,0.09338733553886414
between,0.2747800648212433,0.29423660039901733,0.13923875987529755,0.20718061923980713,0.20142050087451935,0.3203330636024475,0.16697090864181519,0.25202757120132446,0.27714940905570984,0.41100412607192993,0.22594338655471802,0.12887074053287506
25-minute,0.24868223071098328,0.1663888394832611,0.24677492678165436,0.2085275501012802,0.2840491235256195,0.19545771181583405,0.1395764797925949,0.2527647018432617,0.2262691706418991,0.22456367313861847,0.22363480925559998,0.14471937716007233
episodes,0.16633862257003784,0.17309854924678802,0.2920081615447998,0.20461446046829224,0.9999999403953552,0.22485783696174622,0.23627032339572906,0.37032949924468994,0.2131132036447525,0.17357411980628967,0.22169801592826843,0.21740183234214783
(,0.1676948219537735,0.1455259770154953,0.1570640504360199,0.2443375140428543,0.17736345529556274,0.23072676360607147,0.1755061000585556,0.17931321263313293,0.6363511681556702,0.3087427020072937,0.2282908409833908,0.40561532974243164
the,0.33890387415885925,0.4335206151008606,0.2820442318916321,0.3733934462070465,0.1889590173959732,0.40389683842658997,0.3563927710056305,0.3387985825538635,0.4933079481124878,0.6662389636039734,0.27068960666656494,0.22068053483963013
most,0.311336874961853,0.6236066222190857,0.17011499404907227,0.35393568873405457,0.10079029202461243,0.44364631175994873,0.33751797676086426,0.17725767195224762,0.3636029064655304,0.41416558623313904,0.2879014015197754,0.2107497900724411
common,0.17140580713748932,0.3503221273422241,0.08306191116571426,0.12067393958568573,0.1264553964138031,0.3370055556297302,0.20298439264297485,0.165186807513237,0.2497023195028305,0.23149342834949493,0.0662190169095993,0.20434872806072235
format,0.21092310547828674,0.15255750715732574,0.05393149331212044,0.03323619067668915,0.20023253560066223,0.22291722893714905,0.19273488223552704,0.27056699991226196,0.21768099069595337,0.2023913413286209,0.09776850044727325,0.2222042977809906
),0.17939934134483337,0.16602720320224762,0.1509941965341568,0.2457384318113327,0.1691657453775406,0.22866283357143402,0.1854540854692459,0.20446927845478058,0.63033527135849,0.3326910734176636,0.2389112114906311,0.42300865054130554
",",0.22659391164779663,0.40610817074775696,0.20407600700855255,0.3365725874900818,0.2131132036447525,0.3541618287563324,0.34873589873313904,0.25911012291908264,1.0000001192092896,0.5201468467712402,0.25815486907958984,0.31091248989105225
45-minute,0.26190540194511414,0.18039558827877045,0.2654983103275299,0.23017555475234985,0.3058948218822479,0.2067480981349945,0.15498043596744537,0.26259908080101013,0.2564239799976349,0.2503625452518463,0.23900464177131653,0.16811853647232056
