,in,which,year,was,the,animal,locomotion,collection,created,?
one,0.4129433035850525,0.510688066482544,0.346388578414917,0.3752199709415436,0.5514441132545471,0.2689667344093323,0.2059331238269806,0.29259923100471497,0.30343082547187805,0.2673267424106598
of,0.5696388483047485,0.5011631846427917,0.2578314542770386,0.4069072902202606,0.733189046382904,0.2429264932870865,0.1762722134590149,0.2915455996990204,0.32043445110321045,0.1826142966747284
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.48711544275283813,1.0,0.2502762973308563,0.2234269082546234,0.25281965732574463,0.3539263904094696,0.22068053483963013
more,0.32563260197639465,0.4639437198638916,0.2547462582588196,0.21525104343891144,0.39758381247520447,0.1914156824350357,0.15320825576782227,0.19879412651062012,0.23486116528511047,0.27894994616508484
unusual,0.2632738947868347,0.4028485119342804,0.17936788499355316,0.20614691078662872,0.3101860284805298,0.260579913854599,0.2421594262123108,0.20514093339443207,0.12475524842739105,0.1398017257452011
collections,0.2719179093837738,0.319350928068161,0.15668193995952606,0.17861895263195038,0.27174001932144165,0.20182880759239197,0.18611201643943787,0.9249221086502075,0.2306104153394699,0.1873358190059662
is,0.5394441485404968,0.4457404911518097,0.2402215600013733,0.5810302495956421,0.5823672413825989,0.22882415354251862,0.18280862271785736,0.21135231852531433,0.28467464447021484,0.22961433231830597
that,0.435920387506485,0.6894589066505432,0.2826407253742218,0.33670201897621155,0.5473989248275757,0.20606283843517303,0.17920225858688354,0.22439968585968018,0.3583657741546631,0.32716336846351624
of,0.5696388483047485,0.5011631846427917,0.2578314542770386,0.4069072902202606,0.733189046382904,0.2429264932870865,0.1762722134590149,0.2915455996990204,0.32043445110321045,0.1826142966747284
eadweard,0.2045961320400238,0.07787561416625977,0.18524329364299774,0.33113977313041687,0.23059135675430298,0.20879249274730682,0.2058216631412506,0.21066449582576752,0.23091335594654083,0.2170843631029129
muybridge,0.281249076128006,0.1742202788591385,0.1711469143629074,0.3024700880050659,0.24930675327777863,0.17679926753044128,0.2279215157032013,0.1980399340391159,0.13185882568359375,0.18299800157546997
's,-0.037580832839012146,0.03856118768453598,-0.04087831452488899,0.008974763564765453,-0.01540423184633255,0.12318587303161621,0.03072351962327957,0.003388406243175268,-0.015766004100441933,-0.023395681753754616
photographs,0.1980009377002716,0.15271450579166412,0.13461712002754211,0.1272123008966446,0.16852141916751862,0.10337751358747482,0.08548130840063095,0.33201873302459717,0.14792229235172272,0.16775095462799072
of,0.5696388483047485,0.5011631846427917,0.2578314542770386,0.4069072902202606,0.733189046382904,0.2429264932870865,0.1762722134590149,0.2915455996990204,0.32043445110321045,0.1826142966747284
animal,0.21829302608966827,0.25529271364212036,0.11064043641090393,0.19975899159908295,0.2502762973308563,0.9999998807907104,0.31734785437583923,0.17460349202156067,0.08653369545936584,0.13991324603557587
locomotion,0.16244952380657196,0.26153141260147095,0.09536851197481155,0.09683025628328323,0.2234269082546234,0.31734785437583923,1.0000001192092896,0.18436157703399658,0.14122222363948822,0.15499655902385712
of,0.5696388483047485,0.5011631846427917,0.2578314542770386,0.4069072902202606,0.733189046382904,0.2429264932870865,0.1762722134590149,0.2915455996990204,0.32043445110321045,0.1826142966747284
1887,-0.07133353501558304,-0.09481876343488693,-0.0679100751876831,0.035787295550107956,-0.032284706830978394,-0.11261770874261856,-0.12590104341506958,-0.09844784438610077,-0.04512081295251846,-0.017046842724084854
",",0.5201468467712402,0.3658004403114319,0.28560417890548706,0.45456063747406006,0.4933079481124878,0.18390819430351257,0.15530134737491608,0.2277175933122635,0.2755771577358246,0.31091248989105225
this,0.45205554366111755,0.6719430088996887,0.24877788126468658,0.3638818562030792,0.6274310946464539,0.22004614770412445,0.24270853400230408,0.2634904980659485,0.31965404748916626,0.3155723512172699
consists,0.3011418879032135,0.34384235739707947,0.07824607938528061,0.2100973278284073,0.3362659811973572,0.17199622094631195,0.09897883981466293,0.24928395450115204,0.2481347769498825,-0.004641483072191477
of,0.5696388483047485,0.5011631846427917,0.2578314542770386,0.4069072902202606,0.733189046382904,0.2429264932870865,0.1762722134590149,0.2915455996990204,0.32043445110321045,0.1826142966747284
781,0.09679552912712097,-0.020720459520816803,0.1849547028541565,0.10255793482065201,0.002367998706176877,-0.03818441554903984,0.03785621002316475,0.21431276202201843,0.03664422780275345,0.04112726449966431
plates,0.17680886387825012,0.31157463788986206,0.09343961626291275,0.15388374030590057,0.2566349506378174,0.2445223331451416,0.2338036149740219,0.19584816694259644,0.14758902788162231,0.15258446335792542
.,0.5591574311256409,0.45942068099975586,0.32538118958473206,0.40146201848983765,0.5934505462646484,0.2140108346939087,0.23785719275474548,0.2516246736049652,0.3230568766593933,0.4130953550338745
