,who,is,also,known,at,the,father,of,the,hydrogen,bomb,?
a.,0.0677177682518959,-0.0016085113165900111,-0.05329884961247444,-0.014838098548352718,0.06050189957022667,-0.06011331453919411,-0.027957703918218613,-0.11198592185974121,-0.06011331453919411,0.056872621178627014,0.0022383665200322866,0.04165230318903923
michelson,0.27096688747406006,0.19604118168354034,0.21738114953041077,0.23002901673316956,0.19706332683563232,0.20293888449668884,0.2901977598667145,0.15770134329795837,0.20293888449668884,0.283542662858963,0.19871816039085388,0.1441011279821396
",",0.3365725874900818,0.4691906273365021,0.4717654287815094,0.3604377806186676,0.38314947485923767,0.4933079481124878,0.30597206950187683,0.4946078956127167,0.4933079481124878,0.20272333920001984,0.1984732747077942,0.31091248989105225
elementary,0.15313595533370972,0.22159281373023987,0.2167060822248459,0.1336284726858139,0.24481283128261566,0.1842510998249054,0.24601808190345764,0.25996655225753784,0.1842510998249054,0.3000475764274597,0.14574721455574036,0.14365358650684357
charge,0.2713773250579834,0.1743287295103073,0.2357143610715866,0.15683647990226746,0.17470499873161316,0.2730984687805176,0.1516837626695633,0.27586498856544495,0.2730984687805176,0.26088327169418335,0.2680739164352417,0.0958876758813858
calculator,0.2052597850561142,0.1926528513431549,0.29224836826324463,0.1729581207036972,0.2475069910287857,0.1913321614265442,0.10724641382694244,0.1975693553686142,0.1913321614265442,0.26841065287590027,0.10832686722278595,0.19662337005138397
robert,0.2748492956161499,0.16191203892230988,0.19656740128993988,0.1349969506263733,0.16207672655582428,0.2257954627275467,0.2554275393486023,0.2398476004600525,0.2257954627275467,0.12292936444282532,0.19564203917980194,0.11293095350265503
a.,0.0677177682518959,-0.0016085113165900111,-0.05329884961247444,-0.014838098548352718,0.06050189957022667,-0.06011331453919411,-0.027957703918218613,-0.11198592185974121,-0.06011331453919411,0.056872621178627014,0.0022383665200322866,0.04165230318903923
millikan,0.27059006690979004,0.26124653220176697,0.2378101944923401,0.2311720997095108,0.2055932581424713,0.24676664173603058,0.2527172267436981,0.2441757470369339,0.24676664173603058,0.3172920048236847,0.23578423261642456,0.1613718867301941
",",0.3365725874900818,0.4691906273365021,0.4717654287815094,0.3604377806186676,0.38314947485923767,0.4933079481124878,0.30597206950187683,0.4946078956127167,0.4933079481124878,0.20272333920001984,0.1984732747077942,0.31091248989105225
discoverer,0.21377472579479218,0.21339687705039978,0.15277795493602753,0.28643399477005005,0.15703284740447998,0.23508000373840332,0.19974550604820251,0.21151120960712433,0.23508000373840332,0.24364979565143585,0.1226692795753479,0.13923315703868866
of,0.2827862501144409,0.4854315221309662,0.4924938678741455,0.35814476013183594,0.42558613419532776,0.733189046382904,0.22142449021339417,1.0,0.733189046382904,0.2024032324552536,0.18109716475009918,0.1826142966747284
the,0.3733934462070465,0.5823672413825989,0.6021018624305725,0.3624623417854309,0.457212895154953,1.0,0.24010279774665833,0.733189046382904,1.0,0.20406323671340942,0.2533206045627594,0.22068053483963013
compton,0.15395206212997437,0.24389274418354034,0.1868370920419693,0.20776554942131042,0.23428548872470856,0.2691735029220581,0.22312074899673462,0.2335338592529297,0.2691735029220581,0.16040241718292236,0.19926875829696655,0.20586760342121124
effect,0.18047219514846802,0.17614969611167908,0.26656779646873474,0.2114962786436081,0.11583761125802994,0.2865084111690521,0.15786443650722504,0.24129827320575714,0.2865084111690521,0.2873508632183075,0.15192139148712158,0.1783771812915802
arthur,0.19130396842956543,0.15385548770427704,0.1625569462776184,0.14411672949790955,0.17670938372612,0.19352269172668457,0.22274228930473328,0.16405726969242096,0.19352269172668457,0.11600547283887863,0.08832575380802155,0.16990946233272552
h.,-0.20266836881637573,-0.12779954075813293,-0.1470571905374527,-0.0968264490365982,-0.15814003348350525,-0.10884115099906921,-0.26188936829566956,-0.09578611701726913,-0.10884115099906921,0.08639983087778091,-0.0657411515712738,-0.10847286134958267
compton,0.15395206212997437,0.24389274418354034,0.1868370920419693,0.20776554942131042,0.23428548872470856,0.2691735029220581,0.22312074899673462,0.2335338592529297,0.2691735029220581,0.16040241718292236,0.19926875829696655,0.20586760342121124
",",0.3365725874900818,0.4691906273365021,0.4717654287815094,0.3604377806186676,0.38314947485923767,0.4933079481124878,0.30597206950187683,0.4946078956127167,0.4933079481124878,0.20272333920001984,0.1984732747077942,0.31091248989105225
the,0.3733934462070465,0.5823672413825989,0.6021018624305725,0.3624623417854309,0.457212895154953,1.0,0.24010279774665833,0.733189046382904,1.0,0.20406323671340942,0.2533206045627594,0.22068053483963013
creator,0.25051745772361755,0.28384482860565186,0.2610911726951599,0.18645180761814117,0.13045428693294525,0.20919115841388702,0.2254272699356079,0.1888532191514969,0.20919115841388702,0.08967440575361252,0.09286367148160934,0.2028008997440338
of,0.2827862501144409,0.4854315221309662,0.4924938678741455,0.35814476013183594,0.42558613419532776,0.733189046382904,0.22142449021339417,1.0,0.733189046382904,0.2024032324552536,0.18109716475009918,0.1826142966747284
the,0.3733934462070465,0.5823672413825989,0.6021018624305725,0.3624623417854309,0.457212895154953,1.0,0.24010279774665833,0.733189046382904,1.0,0.20406323671340942,0.2533206045627594,0.22068053483963013
first,0.39065709710121155,0.30889374017715454,0.43768298625946045,0.274125337600708,0.3138778805732727,0.49448907375335693,0.2619543969631195,0.3536086082458496,0.49448907375335693,0.2073914110660553,0.23275087773799896,0.18701928853988647
nuclear,0.1059286817908287,0.20016400516033173,0.22778353095054626,0.15935204923152924,0.1934584230184555,0.23911187052726746,0.13547959923744202,0.2591283917427063,0.23911187052726746,0.4271642565727234,0.4511268436908722,0.1865687519311905
