,how,many,stations,did,abc,have,affiliation,agreements,with,in,2015,?
as,0.33782753348350525,0.4070141911506653,0.23359498381614685,0.3596470057964325,0.2286096066236496,0.37788212299346924,0.2250967174768448,0.224076047539711,0.40387406945228577,0.3887844979763031,0.04859122261404991,0.27043893933296204
of,0.2480744868516922,0.37253960967063904,0.20414425432682037,0.2513895630836487,0.14607268571853638,0.3802283704280853,0.27520081400871277,0.23625777661800385,0.41827285289764404,0.5696388483047485,0.21138253808021545,0.1826142966747284
march,0.16374856233596802,0.13846592605113983,0.13916397094726562,0.27992504835128784,0.15645621716976166,0.13333256542682648,0.18059304356575012,0.2031431794166565,0.1895335465669632,0.29730337858200073,0.06148998439311981,0.2802562415599823
2015,-0.161673903465271,-0.05971702188253403,-0.05039229243993759,0.02002497762441635,-0.04918218031525612,-0.09074253588914871,0.11290168017148972,0.06510821729898453,-0.05818283185362816,0.0891268327832222,1.0,-0.029954981058835983
[,0.03530287742614746,0.1508627086877823,0.3714297115802765,0.030549485236406326,0.15241694450378418,0.010582555085420609,0.14752762019634247,0.08772191405296326,0.07157395780086517,0.12324675917625427,-0.08098004013299942,0.011015460826456547
update,0.2694169878959656,0.18542030453681946,0.22324223816394806,0.21572637557983398,0.2516208291053772,0.26298636198043823,0.20258255302906036,0.1818080097436905,0.2008095681667328,0.22495365142822266,-0.11234573274850845,0.38474005460739136
],0.06738625466823578,-0.016180947422981262,-0.048841603100299835,0.024806415662169456,0.12378712743520737,0.006664168555289507,-0.03182671591639519,-0.06846345216035843,-0.05078836530447006,-0.1088862195611,0.06813231855630875,-0.0022520492784678936
",",0.22659391164779663,0.40610817074775696,0.26337406039237976,0.3015086054801941,0.2097204476594925,0.3541618287563324,0.2197432518005371,0.2693939507007599,0.4120737314224243,0.5201468467712402,0.06568983197212219,0.31091248989105225
abc,0.19232043623924255,0.18267793953418732,0.23858611285686493,0.13353709876537323,1.0000001192092896,0.1884228140115738,0.17916283011436462,0.1364191621541977,0.17432008683681488,0.1697147786617279,-0.04918218031525612,0.19065172970294952
has,0.26820555329322815,0.4266262650489807,0.2237684279680252,0.2124989777803421,0.23067910969257355,0.6353569626808167,0.14610923826694489,0.20275092124938965,0.44092974066734314,0.4173259735107422,-0.041663043200969696,0.15994466841220856
eight,0.222213014960289,0.348200261592865,0.2167072892189026,0.19307805597782135,0.2205275595188141,0.31264185905456543,0.14469143748283386,0.23291051387786865,0.21947719156742096,0.3002670109272003,0.025228945538401604,0.11634626984596252
owned-and-operated,0.18262343108654022,0.21607306599617004,0.3868453800678253,0.23825591802597046,0.31080347299575806,0.2394983321428299,0.3490956425666809,0.3703632652759552,0.25065529346466064,0.27814793586730957,0.0646086260676384,0.2376745194196701
stations,0.18198855221271515,0.2893238365650177,1.0,0.16568200290203094,0.23858611285686493,0.23396307229995728,0.2817878723144531,0.28032323718070984,0.1949257254600525,0.25864288210868835,-0.05039229243993759,0.13192185759544373
",",0.22659391164779663,0.40610817074775696,0.26337406039237976,0.3015086054801941,0.2097204476594925,0.3541618287563324,0.2197432518005371,0.2693939507007599,0.4120737314224243,0.5201468467712402,0.06568983197212219,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.2687023878097534,0.34479495882987976,0.16453155875205994,0.4711785912513733,0.22111858427524567,0.30282819271087646,0.5477725267410278,0.4954058527946472,0.015077123418450356,0.20544172823429108
current,0.17794625461101532,0.15019191801548004,0.17554925382137299,0.07635620981454849,0.17589730024337769,0.19741833209991455,0.2791210412979126,0.2041858434677124,0.1750524342060089,0.1955713927745819,0.00875970721244812,0.12074550241231918
and,0.33647966384887695,0.5296266674995422,0.2687023878097534,0.34479495882987976,0.16453155875205994,0.4711785912513733,0.22111858427524567,0.30282819271087646,0.5477725267410278,0.4954058527946472,0.015077123418450356,0.20544172823429108
pending,0.2784385681152344,0.17829248309135437,0.17428657412528992,0.24100224673748016,0.163886159658432,0.3010770380496979,0.24076145887374878,0.25636324286460876,0.23106050491333008,0.18502011895179749,0.039291877299547195,0.314214825630188
affiliation,0.11732234805822372,0.1885450780391693,0.2817878723144531,0.15887542068958282,0.17916283011436462,0.19430093467235565,1.0000001192092896,0.317630797624588,0.18034015595912933,0.23650093376636505,0.11290168017148972,0.16651040315628052
agreements,0.24282699823379517,0.2695941925048828,0.28032323718070984,0.3034338355064392,0.1364191621541977,0.31564170122146606,0.317630797624588,1.0,0.28466925024986267,0.21974602341651917,0.06510821729898453,0.14476320147514343
with,0.3525622487068176,0.35744401812553406,0.1949257254600525,0.25472134351730347,0.17432008683681488,0.48046383261680603,0.18034015595912933,0.28466925024986267,0.9999999403953552,0.4080928862094879,-0.05818283185362816,0.2433311939239502
235,0.021248407661914825,0.05832847207784653,0.009567983448505402,0.013739478774368763,0.1576855629682541,0.010345899499952793,0.07336639612913132,-0.01774616353213787,-0.044420864433050156,0.054793428629636765,0.1685180366039276,0.09134280681610107
additional,0.22369614243507385,0.24535326659679413,0.22999928891658783,0.20902137458324432,0.1623675376176834,0.3269815742969513,0.1869557499885559,0.2349412739276886,0.29758456349372864,0.21390613913536072,-0.0010281839640811086,0.24309562146663666
