,what,kind,of,climate,does,southern,california,maintain,?
southern,0.18679563701152802,0.12290651351213455,0.31933003664016724,0.21394403278827667,0.0482201874256134,1.0,0.2983402609825134,0.12376043200492859,0.11225555837154388
california,0.1811584085226059,0.14210517704486847,0.24929828941822052,0.14813069999217987,0.10136774927377701,0.2983402609825134,1.0,0.14756573736667633,0.1409905105829239
contains,0.14236655831336975,0.19523441791534424,0.34575599431991577,0.13156238198280334,0.30033645033836365,0.11648119986057281,0.10907120257616043,0.2191361039876938,0.15215006470680237
a,0.3320399522781372,0.42310917377471924,0.5052502155303955,0.1805623322725296,0.38201746344566345,0.25843560695648193,0.2426064908504486,0.23409044742584229,0.23916715383529663
mediterranean,0.18149876594543457,0.18148158490657806,0.272215873003006,0.4902261197566986,0.12274894118309021,0.384355753660202,0.24639487266540527,0.15330149233341217,0.15430885553359985
climate,0.2854173183441162,0.20011179149150848,0.25840428471565247,1.0000001192092896,0.22213737666606903,0.21394403278827667,0.14813069999217987,0.16748081147670746,0.19998492300510406
",",0.3087472915649414,0.20629581809043884,0.4946078956127167,0.224740669131279,0.28617382049560547,0.2795628309249878,0.2704589068889618,0.22615692019462585,0.31091248989105225
with,0.2464839518070221,0.2680599093437195,0.41827285289764404,0.19627727568149567,0.26186925172805786,0.18574869632720947,0.1391957849264145,0.2981918156147003,0.2433311939239502
infrequent,0.2926669418811798,0.2759599983692169,0.19330641627311707,0.37772849202156067,0.3087467551231384,0.12556377053260803,0.12707778811454773,0.27608028054237366,0.22903667390346527
rain,0.16031549870967865,0.14922691881656647,0.22789213061332703,0.37911394238471985,0.19322392344474792,0.23996098339557648,0.14428648352622986,0.10978385806083679,0.16845054924488068
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.2292918860912323,0.3461615741252899,0.24232792854309082,0.2441616654396057,0.3192116916179657,0.20544172823429108
many,0.36131182312965393,0.3219348192214966,0.37253960967063904,0.22610758244991302,0.30303922295570374,0.18025599420070648,0.24571245908737183,0.27376964688301086,0.2124512493610382
sunny,0.1652718335390091,0.11951218545436859,0.15898951888084412,0.3436572253704071,0.18973469734191895,0.23050528764724731,0.19356518983840942,0.1775684505701065,0.11983351409435272
days,0.2191895991563797,0.14919430017471313,0.23668107390403748,0.12215005606412888,0.19069090485572815,0.1230921745300293,0.16796669363975525,0.18369068205356598,0.2198754847049713
.,0.3567904531955719,0.21254374086856842,0.5352458953857422,0.22208234667778015,0.3022993505001068,0.26629969477653503,0.2870451807975769,0.2648400664329529,0.4130953550338745
