,in,what,part,of,the,city,did,residents,suffer,from,a,lack,of,city,services,?
in,1.0,0.30808621644973755,0.4499994218349457,0.5696388483047485,0.6662389636039734,0.3911624252796173,0.2593238651752472,0.27393898367881775,0.20667266845703125,0.4274188280105591,0.539380669593811,0.18643079698085785,0.5696388483047485,0.3911624252796173,0.22287973761558533,0.20430970191955566
addition,0.3033084571361542,0.20643717050552368,0.23013953864574432,0.27503931522369385,0.32955414056777954,0.14029449224472046,0.24481791257858276,0.25902092456817627,0.18107719719409943,0.1770325005054474,0.2617819607257843,0.31582605838775635,0.27503931522369385,0.14029449224472046,0.2946458160877228,0.19187232851982117
",",0.5201468467712402,0.3087472915649414,0.3376222252845764,0.4946078956127167,0.4933079481124878,0.35839709639549255,0.3015086054801941,0.2648939788341522,0.28302544355392456,0.39760664105415344,0.427140474319458,0.27166152000427246,0.4946078956127167,0.35839709639549255,0.24788528680801392,0.31091248989105225
residents,0.27393898367881775,0.21107541024684906,0.21277259290218353,0.28795862197875977,0.28274044394493103,0.41451045870780945,0.182059183716774,0.9999998807907104,0.23025330901145935,0.21263015270233154,0.2285219132900238,0.2042669653892517,0.28795862197875977,0.41451045870780945,0.29487180709838867,0.09602975845336914
in,1.0,0.30808621644973755,0.4499994218349457,0.5696388483047485,0.6662389636039734,0.3911624252796173,0.2593238651752472,0.27393898367881775,0.20667266845703125,0.4274188280105591,0.539380669593811,0.18643079698085785,0.5696388483047485,0.3911624252796173,0.22287973761558533,0.20430970191955566
unincorporated,0.28240999579429626,0.18601225316524506,0.2724491059780121,0.23779630661010742,0.22748839855194092,0.39373916387557983,0.08024517446756363,0.3420645594596863,0.09369035810232162,0.15611301362514496,0.23086310923099518,0.10875871032476425,0.23779630661010742,0.39373916387557983,0.15166442096233368,0.1861725002527237
suburbs,0.2863102853298187,0.14620864391326904,0.33708813786506653,0.2319147288799286,0.22660650312900543,0.43953922390937805,0.17927798628807068,0.444070965051651,0.12938044965267181,0.22862012684345245,0.1635449379682541,0.058486457914114,0.2319147288799286,0.43953922390937805,0.2891899347305298,0.07569191604852676
had,0.385026752948761,0.23849567770957947,0.27259039878845215,0.37755560874938965,0.3875846862792969,0.22134195268154144,0.540525496006012,0.2876463234424591,0.40337520837783813,0.3075238764286041,0.34897568821907043,0.29780641198158264,0.37755560874938965,0.22134195268154144,0.1667887270450592,0.20728366076946259
difficulty,0.1823630928993225,0.3258202373981476,0.18200165033340454,0.27728772163391113,0.28524860739707947,0.07507902383804321,0.22933673858642578,0.18487654626369476,0.3697996437549591,0.24966122210025787,0.29588451981544495,0.4126366376876831,0.27728772163391113,0.07507902383804321,0.21606695652008057,0.1517200618982315
obtaining,0.2547888457775116,0.16248588263988495,0.09207397699356079,0.29879313707351685,0.2691054046154022,0.10539586842060089,0.15173554420471191,0.11621969193220139,0.22611993551254272,0.2905164957046509,0.2825004458427429,0.3612968623638153,0.29879313707351685,0.10539586842060089,0.22219730913639069,0.14850705862045288
