,what,proportion,of,the,general,population,in,the,area,than,became,iran,did,genghis,khan,kill,?
steven,0.1722090095281601,0.14023084938526154,0.20107577741146088,0.21446210145950317,0.12736991047859192,0.15493546426296234,0.17032748460769653,0.21446210145950317,0.08057772368192673,0.11808207631111145,0.12342540919780731,0.12739117443561554,0.13406112790107727,0.23149855434894562,0.19199950993061066,0.13036511838436127,0.10277901589870453
r.,0.0634177029132843,-0.10077276080846786,-0.09954845160245895,0.007481080945581198,-0.06993430107831955,-0.11331607401371002,0.02136528491973877,0.007481080945581198,-0.07464536279439926,-0.01953774504363537,0.10599857568740845,-0.006029235664755106,0.18206633627414703,0.03646764159202576,0.06568455696105957,0.17516562342643738,0.10428094118833542
ward,0.15211644768714905,0.04854481667280197,0.18046745657920837,0.20814019441604614,0.12687084078788757,0.14692836999893188,0.19211581349372864,0.20814019441604614,0.2665860652923584,0.09592442959547043,0.12801535427570343,0.06162295863032341,0.10556820034980774,0.11444174498319626,0.17132437229156494,0.08613546937704086,0.09479375928640366
wrote,0.2664989233016968,0.07129532843828201,0.30241408944129944,0.2426944375038147,0.18018116056919098,0.09240156412124634,0.2898900806903839,0.2426944375038147,0.13007554411888123,0.17099419236183167,0.3160247802734375,0.12733697891235352,0.3485160768032074,0.20633262395858765,0.14021986722946167,0.16789090633392334,0.19322504103183746
that,0.6297725439071655,0.2982373833656311,0.41498205065727234,0.5473989248275757,0.2510950565338135,0.20048558712005615,0.435920387506485,0.5473989248275757,0.2566552460193634,0.4891277849674225,0.1675340086221695,0.23378314077854156,0.47518548369407654,0.21352417767047882,0.14077997207641602,0.28167223930358887,0.32716336846351624
``,0.008517155423760414,0.17799976468086243,0.06780257821083069,0.029072100296616554,0.09047812968492508,0.13401903212070465,0.04765888676047325,0.029072100296616554,0.1034754067659378,0.12080201506614685,0.03974717855453491,0.15837571024894714,-0.029888948425650597,0.05644606053829193,0.07293079793453217,-0.00997182261198759,0.0685480609536171
overall,0.23488298058509827,0.3368569314479828,0.2889781594276428,0.31739529967308044,0.26181963086128235,0.18420974910259247,0.26280614733695984,0.31739529967308044,0.22490622103214264,0.23449788987636566,0.15931034088134766,0.07529105246067047,0.25514766573905945,0.1738564819097519,0.14150850474834442,0.07984823733568192,0.18573027849197388
",",0.3087472915649414,0.23342293500900269,0.4946078956127167,0.4933079481124878,0.3022127151489258,0.2967977225780487,0.5201468467712402,0.4933079481124878,0.2664283812046051,0.3371901512145996,0.2798398435115814,0.21806921064853668,0.3015086054801941,0.2891939878463745,0.19700400531291962,0.30406463146209717,0.31091248989105225
the,0.42745697498321533,0.2945463955402374,0.733189046382904,1.0,0.28634732961654663,0.32044094800949097,0.6662389636039734,1.0,0.37834644317626953,0.3227543234825134,0.36325156688690186,0.2222200483083725,0.34736719727516174,0.3448939025402069,0.21067845821380615,0.1907513439655304,0.22068053483963013
mongol,0.15870186686515808,0.15658491849899292,0.22712039947509766,0.2924198508262634,0.19615526497364044,0.24838830530643463,0.16958336532115936,0.2924198508262634,0.18985781073570251,0.11690813302993774,0.13622134923934937,0.35716769099235535,0.17534953355789185,0.6244974732398987,0.5576101541519165,0.16057024896144867,0.12849251925945282
violence,0.24788525700569153,0.18886281549930573,0.21331627666950226,0.25465771555900574,0.15428932011127472,0.2621130049228668,0.2653872072696686,0.25465771555900574,0.1701953411102295,0.1764342337846756,0.16734512150287628,0.18326148390769958,0.22152221202850342,0.19309881329536438,0.07600425183773041,0.3008597195148468,0.20634515583515167
and,0.31309178471565247,0.2984730005264282,0.5116966962814331,0.5171257257461548,0.25860127806663513,0.23080337047576904,0.4954058527946472,0.5171257257461548,0.3044000566005707,0.39361441135406494,0.31226563453674316,0.21643413603305817,0.34479495882987976,0.26551535725593567,0.22885166108608246,0.2698296904563904,0.20544172823429108
depredations,0.24557319283485413,0.23271934688091278,0.2459578663110733,0.2518841624259949,0.16591086983680725,0.17352177202701569,0.2460314929485321,0.2518841624259949,0.21156452596187592,0.3011791408061981,0.17068229615688324,0.20445100963115692,0.21746879816055298,0.1804009974002838,0.18672941625118256,0.2108950912952423,0.24338014423847198
killed,0.1862335354089737,0.15704473853111267,0.2589981257915497,0.23115427792072296,0.13888944685459137,0.2443472445011139,0.1957504004240036,0.23115427792072296,0.20646809041500092,0.19388774037361145,0.2345014363527298,0.1253645420074463,0.24296797811985016,0.2986186742782593,0.15405850112438202,0.6108298897743225,0.17928971350193024
up,0.28591108322143555,0.23501455783843994,0.32945773005485535,0.38423117995262146,0.14383499324321747,0.17500633001327515,0.3120773434638977,0.38423117995262146,0.18057122826576233,0.2813877463340759,0.08214906603097916,0.07372286915779114,0.21613863110542297,0.14124886691570282,0.10817289352416992,0.2502857744693756,0.1819818764925003
to,0.455847829580307,0.27622002363204956,0.41548454761505127,0.535392165184021,0.24755197763442993,0.19776633381843567,0.45010748505592346,0.535392165184021,0.2797197997570038,0.3192550539970398,0.20401327311992645,0.17292407155036926,0.4452643394470215,0.2294713407754898,0.18221943080425262,0.328944593667984,0.29463258385658264
three-fourths,0.3078414499759674,0.33616480231285095,0.3955824077129364,0.45838502049446106,0.21923433244228363,0.28788846731185913,0.3309679627418518,0.45838502049446106,0.2898211181163788,0.3716452419757843,0.21062973141670227,0.23065942525863647,0.25908952951431274,0.1910068392753601,0.11095062643289566,0.17772839963436127,0.27135199308395386
of,0.33290785551071167,0.326309472322464,1.0,0.733189046382904,0.28352999687194824,0.3060894012451172,0.5696388483047485,0.733189046382904,0.3409860134124756,0.33036211133003235,0.3638904094696045,0.23381876945495605,0.2513895630836487,0.2938849925994873,0.17124508321285248,0.19896888732910156,0.1826142966747284
the,0.42745697498321533,0.2945463955402374,0.733189046382904,1.0,0.28634732961654663,0.32044094800949097,0.6662389636039734,1.0,0.37834644317626953,0.3227543234825134,0.36325156688690186,0.2222200483083725,0.34736719727516174,0.3448939025402069,0.21067845821380615,0.1907513439655304,0.22068053483963013
population,0.2000674307346344,0.38620585203170776,0.3060894012451172,0.32044094800949097,0.21244606375694275,1.0,0.3268454372882843,0.32044094800949097,0.49808502197265625,0.21814648807048798,0.2084570825099945,0.17272457480430603,0.0652005523443222,0.21193720400333405,0.1049165427684784,0.14702121913433075,0.14449454843997955
of,0.33290785551071167,0.326309472322464,1.0,0.733189046382904,0.28352999687194824,0.3060894012451172,0.5696388483047485,0.733189046382904,0.3409860134124756,0.33036211133003235,0.3638904094696045,0.23381876945495605,0.2513895630836487,0.2938849925994873,0.17124508321285248,0.19896888732910156,0.1826142966747284
the,0.42745697498321533,0.2945463955402374,0.733189046382904,1.0,0.28634732961654663,0.32044094800949097,0.6662389636039734,1.0,0.37834644317626953,0.3227543234825134,0.36325156688690186,0.2222200483083725,0.34736719727516174,0.3448939025402069,0.21067845821380615,0.1907513439655304,0.22068053483963013
