,what,is,the,other,country,the,rhine,separates,switzerland,to,?
the,0.42745697498321533,0.5823672413825989,1.0,0.44152235984802246,0.30432501435279846,1.0,0.30735138058662415,0.3609418272972107,0.25689372420310974,0.535392165184021,0.22068053483963013
alpine,0.08638320118188858,0.1825626790523529,0.25914666056632996,0.16035069525241852,0.21290738880634308,0.25914666056632996,0.18429382145404816,0.14869582653045654,0.2875453531742096,0.19123923778533936,0.08546924591064453
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.19601790606975555,0.23905308544635773,0.30735138058662415,1.0,0.13455012440681458,0.32351648807525635,0.1736302673816681,0.13754533231258392
begins,0.1788426637649536,0.25563162565231323,0.3446018099784851,0.1409941464662552,0.1446983814239502,0.3446018099784851,0.1869913935661316,0.19827823340892792,0.14294663071632385,0.2261325567960739,0.09518900513648987
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.39989137649536133,0.3040012717247009,0.6662389636039734,0.24648422002792358,0.29497718811035156,0.35930100083351135,0.45010748505592346,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.44152235984802246,0.30432501435279846,1.0,0.30735138058662415,0.3609418272972107,0.25689372420310974,0.535392165184021,0.22068053483963013
most,0.3219912350177765,0.41165053844451904,0.47635307908058167,0.4585079252719879,0.2174985557794571,0.47635307908058167,0.11507835239171982,0.17345209419727325,0.24754071235656738,0.321603000164032,0.2107497900724411
western,0.2454150915145874,0.2572968304157257,0.37920868396759033,0.25917482376098633,0.18683478236198425,0.37920868396759033,0.23680023849010468,0.27814382314682007,0.19119347631931305,0.18838192522525787,0.17439141869544983
part,0.3476244807243347,0.4582172930240631,0.527681291103363,0.25873222947120667,0.2499297857284546,0.527681291103363,0.23044916987419128,0.4571300446987152,0.2012118101119995,0.2875264883041382,0.08557961881160736
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.38583824038505554,0.28866857290267944,0.733189046382904,0.2548927664756775,0.3228248953819275,0.22564564645290375,0.41548454761505127,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.44152235984802246,0.30432501435279846,1.0,0.30735138058662415,0.3609418272972107,0.25689372420310974,0.535392165184021,0.22068053483963013
swiss,0.06743662059307098,0.1405409723520279,0.17452241480350494,0.12492024153470993,0.1835523247718811,0.17452241480350494,0.29746899008750916,0.0832454115152359,0.6022576093673706,0.0861743912100792,0.11023817211389542
canton,0.11461501568555832,0.25513654947280884,0.28469693660736084,0.16164006292819977,0.28834155201911926,0.28469693660736084,0.3045586347579956,0.18244172632694244,0.6581365466117859,0.1651182621717453,0.09711585193872452
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.38583824038505554,0.28866857290267944,0.733189046382904,0.2548927664756775,0.3228248953819275,0.22564564645290375,0.41548454761505127,0.1826142966747284
graubünden,0.15425904095172882,0.283337265253067,0.32258641719818115,0.23580852150917053,0.3349372446537018,0.32258641719818115,0.48978495597839355,0.2519795298576355,0.6671047806739807,0.14566433429718018,0.1337408721446991
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.4446498453617096,0.27878350019454956,0.4933079481124878,0.167837992310524,0.2734232246875763,0.23812422156333923,0.44245919585227966,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.5504306554794312,0.30884742736816406,0.5171257257461548,0.22029656171798706,0.31766200065612793,0.20231366157531738,0.48971283435821533,0.20544172823429108
later,0.2517229914665222,0.21527644991874695,0.4060266613960266,0.3026232421398163,0.15766936540603638,0.4060266613960266,0.21003103256225586,0.18132458627223969,0.12461018562316895,0.393297016620636,0.1417175978422165
forms,0.16334041953086853,0.35419854521751404,0.2950737178325653,0.30812856554985046,0.14922814071178436,0.2950737178325653,0.20136399567127228,0.3036540448665619,0.13730183243751526,0.2363802045583725,0.1196754202246666
the,0.42745697498321533,0.5823672413825989,1.0,0.44152235984802246,0.30432501435279846,1.0,0.30735138058662415,0.3609418272972107,0.25689372420310974,0.535392165184021,0.22068053483963013
border,0.26696228981018066,0.22676031291484833,0.2856229841709137,0.22773391008377075,0.2196434885263443,0.2856229841709137,0.32308438420295715,0.31093743443489075,0.1974421739578247,0.20692045986652374,0.1706928312778473
between,0.2462156116962433,0.26809602975845337,0.39067012071609497,0.30660146474838257,0.17594438791275024,0.39067012071609497,0.17755062878131866,0.4369119703769684,0.1285870373249054,0.3639189600944519,0.12887074053287506
switzerland,0.10552600771188736,0.22848938405513763,0.25689372420310974,0.17792023718357086,0.32163169980049133,0.25689372420310974,0.32351648807525635,0.12661278247833252,1.0,0.18967147171497345,0.13347817957401276
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.4193183183670044,0.31281599402427673,0.535392165184021,0.1736302673816681,0.23968058824539185,0.18967147171497345,1.0,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,1.0,0.44152235984802246,0.30432501435279846,1.0,0.30735138058662415,0.3609418272972107,0.25689372420310974,0.535392165184021,0.22068053483963013
west,0.1946573108434677,0.25201764702796936,0.32918402552604675,0.2109699845314026,0.201873317360878,0.32918402552604675,0.3360097110271454,0.3034174144268036,0.14208437502384186,0.24611181020736694,0.12088293582201004
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.5504306554794312,0.30884742736816406,0.5171257257461548,0.22029656171798706,0.31766200065612793,0.20231366157531738,0.48971283435821533,0.20544172823429108
liechtenstein,0.12508751451969147,0.18358348309993744,0.2286560833454132,0.13856758177280426,0.3108857274055481,0.2286560833454132,0.4357973039150238,0.13710887730121613,0.48436248302459717,0.12908561527729034,0.1308484673500061
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.5504306554794312,0.30884742736816406,0.5171257257461548,0.22029656171798706,0.31766200065612793,0.20231366157531738,0.48971283435821533,0.20544172823429108
later,0.2517229914665222,0.21527644991874695,0.4060266613960266,0.3026232421398163,0.15766936540603638,0.4060266613960266,0.21003103256225586,0.18132458627223969,0.12461018562316895,0.393297016620636,0.1417175978422165
austria,0.15969835221767426,0.11112981289625168,0.24396029114723206,0.12941902875900269,0.2989894151687622,0.24396029114723206,0.4033704996109009,0.09049037843942642,0.44961825013160706,0.1887667030096054,0.16068434715270996
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.4193183183670044,0.31281599402427673,0.535392165184021,0.1736302673816681,0.23968058824539185,0.18967147171497345,1.0,0.29463258385658264
the,0.42745697498321533,0.5823672413825989,1.0,0.44152235984802246,0.30432501435279846,1.0,0.30735138058662415,0.3609418272972107,0.25689372420310974,0.535392165184021,0.22068053483963013
east,0.19840149581432343,0.2596127688884735,0.3383176326751709,0.20145228505134583,0.2239755243062973,0.3383176326751709,0.35140636563301086,0.3524802327156067,0.15058057010173798,0.24717837572097778,0.10070597380399704
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.41511186957359314,0.26130348443984985,0.5934505462646484,0.2089352011680603,0.22198770940303802,0.24959003925323486,0.4645031690597534,0.4130953550338745
