,what,gave,its,name,to,the,1980s,music,television,program,``,the,tube,'',?
in,0.30808621644973755,0.24152803421020508,0.3793783485889435,0.2459065467119217,0.45010748505592346,0.6662389636039734,0.03401865437626839,0.22969312965869904,0.2689782977104187,0.1994907110929489,0.04765888676047325,0.6662389636039734,0.16100940108299255,0.07432962208986282,0.20430970191955566
2005,0.0704459398984909,0.09246300905942917,-0.1014544665813446,0.0863918587565422,0.018235651776194572,0.037273142486810684,-0.15131665766239166,0.15552549064159393,0.07817749679088593,-0.054890573024749756,0.1478952169418335,0.037273142486810684,-0.13816618919372559,0.0050271013751626015,0.10709824413061142
it,0.45803478360176086,0.2046516388654709,0.5786119699478149,0.2910972535610199,0.513711154460907,0.6251175999641418,0.08704858273267746,0.26726582646369934,0.17099279165267944,0.25667765736579895,0.035206809639930725,0.6251175999641418,0.23574525117874146,-0.016964951530098915,0.25732165575027466
moved,0.20601840317249298,0.2488698959350586,0.22440315783023834,0.20794890820980072,0.2918468713760376,0.32031023502349854,0.058604683727025986,0.15125836431980133,0.15183815360069275,0.10609995573759079,-0.027146652340888977,0.32031023502349854,0.0683969035744667,0.02362472005188465,0.15112607181072235
to,0.455847829580307,0.27167177200317383,0.3691340684890747,0.27806994318962097,1.0,0.535392165184021,-0.014551017433404922,0.24181292951107025,0.1933557242155075,0.23681028187274933,0.06720756739377975,0.535392165184021,0.25624245405197144,-0.009905828163027763,0.29463258385658264
a,0.3320399522781372,0.26239895820617676,0.4424409866333008,0.26421117782592773,0.45503583550453186,0.5829201340675354,0.1030743196606636,0.2234005630016327,0.22552843391895294,0.2779408395290375,0.07272057235240936,0.5829201340675354,0.26573309302330017,0.04890415817499161,0.23916715383529663
new,0.2130378633737564,0.17813219130039215,0.2215755134820938,0.19623230397701263,0.33159172534942627,0.3845241069793701,0.009752736426889896,0.23714691400527954,0.25368571281433105,0.19244569540023804,-0.03575563058257103,0.3845241069793701,0.12768325209617615,-0.021915066987276077,0.14782847464084625
facility,0.13735945522785187,0.10806971788406372,0.23038886487483978,0.09336517006158829,0.22308982908725739,0.19252020120620728,0.20888136327266693,0.10471373796463013,0.1513487547636032,0.2495490312576294,-0.14069755375385284,0.19252020120620728,0.21866823732852936,-0.02097276784479618,0.12783357501029968
on,0.34226128458976746,0.2442021518945694,0.34331920742988586,0.17627742886543274,0.41031414270401,0.5107308030128479,-0.018106091767549515,0.2173950970172882,0.2825660705566406,0.23327119648456573,-0.03274054825305939,0.5107308030128479,0.22943490743637085,0.04238596186041832,0.2714994251728058
the,0.42745697498321533,0.32555076479911804,0.559237003326416,0.3171212375164032,0.535392165184021,1.0,0.07890266180038452,0.2714049816131592,0.24569597840309143,0.22986935079097748,0.029072100296616554,1.0,0.222691148519516,0.041273195296525955,0.22068053483963013
