,in,which,direction,does,most,of,the,wind,in,fresno,originate,from,?
most,0.41416558623313904,0.4637843072414398,0.130137637257576,0.30044323205947876,1.0,0.4178851246833801,0.47635307908058167,0.14304250478744507,0.41416558623313904,0.1402399241924286,0.2814757227897644,0.28580769896507263,0.2107497900724411
of,0.5696388483047485,0.5011631846427917,0.18922415375709534,0.3119818866252899,0.4178851246833801,1.0,0.733189046382904,0.22346341609954834,0.5696388483047485,0.1875009983778,0.2774103581905365,0.4249346852302551,0.1826142966747284
the,0.6662389636039734,0.6521818041801453,0.28851455450057983,0.35928019881248474,0.47635307908058167,0.733189046382904,1.0,0.2338196188211441,0.6662389636039734,0.22571885585784912,0.2916457951068878,0.40150508284568787,0.22068053483963013
wind,0.2197054922580719,0.2282751500606537,0.3449490964412689,0.1671968549489975,0.14304250478744507,0.22346341609954834,0.2338196188211441,1.0,0.2197054922580719,0.16878511011600494,0.10664815455675125,0.1916961371898651,0.17669273912906647
rose,0.24995949864387512,0.15265808999538422,0.055417172610759735,0.04064973071217537,0.10361509770154953,0.2557028830051422,0.28326278924942017,0.25159257650375366,0.24995949864387512,0.22014708817005157,0.06046748906373978,0.14656709134578705,0.11847885698080063
direction,0.17485231161117554,0.2687985599040985,1.0000001192092896,0.19005346298217773,0.130137637257576,0.18922415375709534,0.28851455450057983,0.3449490964412689,0.17485231161117554,0.15566061437129974,0.2013338804244995,0.19012711942195892,0.10739318281412125
occurrences,0.280778169631958,0.329397588968277,0.17787370085716248,0.2707172930240631,0.2808738946914673,0.24509118497371674,0.2923252284526825,0.17049001157283783,0.280778169631958,0.11040017753839493,0.18450282514095306,0.18791066110134125,0.2659699320793152
derive,0.17943882942199707,0.36926689743995667,0.21234366297721863,0.2551862895488739,0.26881566643714905,0.28225037455558777,0.28650766611099243,0.14664998650550842,0.17943882942199707,0.02488255500793457,0.5500668287277222,0.2942720353603363,0.138357475399971
from,0.4274188280105591,0.38755592703819275,0.19012711942195892,0.1777622550725937,0.28580769896507263,0.4249346852302551,0.40150508284568787,0.1916961371898651,0.4274188280105591,0.26358702778816223,0.33798637986183167,1.0,0.19969791173934937
the,0.6662389636039734,0.6521818041801453,0.28851455450057983,0.35928019881248474,0.47635307908058167,0.733189046382904,1.0,0.2338196188211441,0.6662389636039734,0.22571885585784912,0.2916457951068878,0.40150508284568787,0.22068053483963013
northwest,0.34818974137306213,0.2208116352558136,0.23292949795722961,0.10656528919935226,0.14307917654514313,0.25031307339668274,0.3162118196487427,0.2000286877155304,0.34818974137306213,0.22340402007102966,0.1836618036031723,0.19979038834571838,0.15228797495365143
",",0.5201468467712402,0.3658004403114319,0.23287029564380646,0.28617382049560547,0.3636029064655304,0.4946078956127167,0.4933079481124878,0.21286936104297638,0.5201468467712402,0.2561432421207428,0.21421478688716888,0.39760664105415344,0.31091248989105225
as,0.3887844979763031,0.41006597876548767,0.24169524013996124,0.31202155351638794,0.3548237979412079,0.3886612355709076,0.48381632566452026,0.17696180939674377,0.3887844979763031,0.13437435030937195,0.21823285520076752,0.3251767158508301,0.27043893933296204
winds,0.21784955263137817,0.2436957210302353,0.31337493658065796,0.18858392536640167,0.17166182398796082,0.21783238649368286,0.2427695244550705,0.6464846730232239,0.21784955263137817,0.22322066128253937,0.13128463923931122,0.21155263483524323,0.1398162990808487
