,what,can,amyloplasts,become,?
starch,0.23971526324748993,0.3553079664707184,0.5777121782302856,0.19721917808055878,0.1948019117116928
storing,0.2792522609233856,0.3307383954524994,0.3833218514919281,0.053716354072093964,0.1480158567428589
amyloplasts,0.24341359734535217,0.3509981632232666,1.0000001192092896,0.20281827449798584,0.19426067173480988
can,0.34502777457237244,1.0,0.3509981632232666,0.252936452627182,0.3226337134838104
also,0.42747777700424194,0.4861826002597809,0.3133804202079773,0.3522845208644867,0.21848613023757935
be,0.3929833769798279,0.5791122913360596,0.31512850522994995,0.4037199020385742,0.3324260413646698
converted,0.1663769781589508,0.16306252777576447,0.15598997473716736,0.14871133863925934,0.12743066251277924
to,0.455847829580307,0.4979398250579834,0.25874921679496765,0.36996012926101685,0.29463258385658264
chromoplasts,0.23792773485183716,0.3565025329589844,0.8262544870376587,0.1818798929452896,0.17462116479873657
",",0.3087472915649414,0.3139454126358032,0.25391820073127747,0.29676204919815063,0.31091248989105225
and,0.31309178471565247,0.3675691485404968,0.2605018615722656,0.3416603207588196,0.20544172823429108
it,0.45803478360176086,0.3819273114204407,0.2631695866584778,0.2850925028324127,0.25732165575027466
is,0.28837618231773376,0.44256699085235596,0.28218114376068115,0.2983444035053253,0.22961433231830597
possible,0.3281886577606201,0.49371016025543213,0.2700052857398987,0.19487570226192474,0.3059970438480377
for,0.3017193675041199,0.35690054297447205,0.19491776823997498,0.3047906458377838,0.264628142118454
proplastids,0.25782695412635803,0.3748728632926941,0.8103415966033936,0.19329720735549927,0.20560644567012787
to,0.455847829580307,0.4979398250579834,0.25874921679496765,0.36996012926101685,0.29463258385658264
develop,0.20962175726890564,0.30385491251945496,0.30279403924942017,0.4187924265861511,0.15784582495689392
straight,0.21296165883541107,0.25040775537490845,0.24810029566287994,0.16711339354515076,0.1838495284318924
into,0.2180619090795517,0.301788330078125,0.2549038231372833,0.25905951857566833,0.15662476420402527
chromoplasts,0.23792773485183716,0.3565025329589844,0.8262544870376587,0.1818798929452896,0.17462116479873657
.,0.3567904531955719,0.35783761739730835,0.26396894454956055,0.32859939336776733,0.4130953550338745
