,what,did,the,lmp,acronym,stand,for,regarding,the,block,ii,launch,positions,?
the,0.42745697498321533,0.34736719727516174,1.0,0.3120695948600769,0.22906145453453064,0.2531624138355255,0.4739971458911896,0.29280903935432434,1.0,0.20056472718715668,0.2631464898586273,0.2628649175167084,0.3398493230342865,0.22068053483963013
block,0.33229514956474304,0.17439137399196625,0.20056472718715668,0.2435375154018402,0.13088059425354004,0.240286722779274,0.2480357587337494,0.2298416942358017,0.20056472718715668,1.0,0.09797373414039612,0.17220166325569153,0.16863560676574707,0.27211859822273254
ii,0.13866674900054932,0.17836059629917145,0.2631464898586273,0.20940065383911133,0.10572859644889832,0.07994849979877472,0.11304846405982971,0.10671086609363556,0.2631464898586273,0.09797373414039612,0.9999999403953552,0.19508713483810425,0.16669587790966034,0.11928234249353409
crew,0.17533187568187714,0.16688382625579834,0.25329816341400146,0.26012885570526123,0.10988754034042358,0.17472010850906372,0.22704027593135834,0.053003761917352676,0.25329816341400146,0.1343916654586792,0.15660187602043152,0.2634669244289398,0.2063777893781662,0.16586194932460785
positions,0.19736577570438385,0.2567448318004608,0.3398493230342865,0.25488585233688354,0.16354238986968994,0.2187882959842682,0.30627691745758057,0.2915966808795929,0.3398493230342865,0.16863560676574707,0.16669587790966034,0.15852095186710358,0.9999998807907104,0.126787006855011
were,0.22298263013362885,0.4162326455116272,0.3906462490558624,0.195445254445076,0.07841703295707703,0.1850128471851349,0.33592689037323,0.26288607716560364,0.3906462490558624,0.09141441434621811,0.20646095275878906,0.1543220579624176,0.24834764003753662,0.17890112102031708
titled,0.21236079931259155,0.2438371479511261,0.267250657081604,0.25746679306030273,0.09169828146696091,0.08013849705457687,0.19508877396583557,0.23203453421592712,0.267250657081604,0.059116870164871216,0.14962877333164215,0.29773586988449097,0.09995470941066742,0.23354937136173248
commander,0.23316337168216705,0.19872410595417023,0.24218903481960297,0.16354277729988098,0.1561262160539627,0.1534605175256729,0.13348925113677979,0.18595720827579498,0.24218903481960297,0.17632070183753967,0.20840731263160706,0.2439035326242447,0.23964005708694458,0.2315494865179062
(,0.2411840260028839,0.18979617953300476,0.33289089798927307,0.21448402106761932,0.23940598964691162,0.15827840566635132,0.3357032239437103,0.22490347921848297,0.33289089798927307,0.19340020418167114,0.2315233051776886,0.1447298526763916,0.16572552919387817,0.40561532974243164
cdr,0.18642817437648773,0.15960220992565155,0.2272862195968628,0.45596522092819214,0.2836020886898041,0.1987646222114563,0.2738613188266754,0.20363609492778778,0.2272862195968628,0.24820825457572937,0.2536199390888214,0.29051485657691956,0.24220868945121765,0.25238677859306335
),0.26259949803352356,0.18584993481636047,0.3456730246543884,0.2310769408941269,0.2410539984703064,0.14393578469753265,0.3639558255672455,0.21828092634677887,0.3456730246543884,0.20438170433044434,0.22346186637878418,0.16144290566444397,0.1797175258398056,0.42300865054130554
command,0.22732043266296387,0.18186943233013153,0.27488255500793457,0.252359539270401,0.2171543836593628,0.16769224405288696,0.18338429927825928,0.20303525030612946,0.27488255500793457,0.20748035609722137,0.2078704833984375,0.29421332478523254,0.3015787899494171,0.13402260839939117
module,0.2071267068386078,0.18875618278980255,0.15147453546524048,0.35622653365135193,0.15073177218437195,0.08759357035160065,0.20810315012931824,0.1862819790840149,0.15147453546524048,0.12991057336330414,0.09244275838136673,0.2918342053890228,0.2187231332063675,0.2131270468235016
pilot,0.1066926121711731,0.0870518833398819,0.17881006002426147,0.21453940868377686,0.12905694544315338,0.08215057104825974,0.14753924310207367,0.05355104058980942,0.17881006002426147,0.12943001091480255,0.25384417176246643,0.25053632259368896,0.06613729149103165,0.08986082673072815
