,the,population,of,newcastle,was,"189,863",according,to,what,year,'s,census,?
according,0.3202974498271942,0.3151155114173889,0.3307822346687317,0.07468248158693314,0.31116798520088196,-0.056973543018102646,1.0,0.28520727157592773,0.2776208221912384,0.22832731902599335,-0.0037221983075141907,0.4436514675617218,0.21173474192619324
to,0.535392165184021,0.19776633381843567,0.41548454761505127,0.23559264838695526,0.3636345863342285,0.1497654765844345,0.28520727157592773,1.0,0.455847829580307,0.23523004353046417,0.03782717138528824,0.16890135407447815,0.29463258385658264
the,1.0,0.32044094800949097,0.733189046382904,0.2253497689962387,0.48711544275283813,0.21879740059375763,0.3202974498271942,0.535392165184021,0.42745697498321533,0.3609684407711029,-0.01540423184633255,0.2524987757205963,0.22068053483963013
uk,0.2143084555864334,0.14716313779354095,0.21513383090496063,0.23818176984786987,0.206756129860878,-0.039860278367996216,0.23322148621082306,0.18409153819084167,0.17163191735744476,0.179987832903862,-0.0013451746199280024,0.21044883131980896,0.20222434401512146
government,0.31798112392425537,0.3017103970050812,0.3475167155265808,0.19805875420570374,0.2995857298374176,0.020931780338287354,0.2511996626853943,0.28343796730041504,0.28074538707733154,0.181336909532547,0.00033092309604398906,0.3128610849380493,0.18851417303085327
's,-0.01540423184633255,0.012951160781085491,-0.03817026689648628,-0.017262522131204605,0.008974763564765453,-0.041360292583703995,-0.0037221983075141907,0.03782717138528824,0.02692362666130066,-0.04087831452488899,0.9999999403953552,-0.02488090842962265,-0.023395681753754616
returned,0.32857778668403625,0.10487539321184158,0.28002414107322693,0.21029648184776306,0.4257400631904602,0.009391263127326965,0.19363415241241455,0.30012887716293335,0.15085899829864502,0.2697434723377228,-0.04012485593557358,0.15858863294124603,0.07695316523313522
2001,-0.07246288657188416,-0.14656057953834534,-0.08535187691450119,-0.19458232820034027,-0.1705034077167511,-0.009625409729778767,-0.1508028358221054,-0.1482970118522644,-0.11417052894830704,-0.03995949774980545,-0.11581677943468094,-0.14321307837963104,-0.08740651607513428
census,0.2524987757205963,0.6778454184532166,0.19615516066551208,0.18275249004364014,0.1721275895833969,-0.08751451224088669,0.4436514675617218,0.16890135407447815,0.2061002552509308,0.18410784006118774,-0.02488090842962265,1.0,0.12548218667507172
information,0.3143121302127838,0.22374364733695984,0.2860049605369568,0.11109334230422974,0.15183912217617035,0.15435592830181122,0.21628603339195251,0.3299184739589691,0.35283446311950684,0.20985102653503418,0.00878301914781332,0.19295895099639893,0.24875912070274353
