,what,was,the,nickname,given,to,the,team,samuel,phillips,was,appointed,to,?
the,0.42745697498321533,0.48711544275283813,1.0,0.20167101919651031,0.37508252263069153,0.535392165184021,1.0,0.22564226388931274,0.15008985996246338,0.1886449009180069,0.48711544275283813,0.2626524269580841,0.535392165184021,0.22068053483963013
problems,0.3306994140148163,0.1851695030927658,0.2659202516078949,0.08250139653682709,0.20150630176067352,0.28989166021347046,0.2659202516078949,0.098353810608387,0.07563076913356781,0.14544960856437683,0.1851695030927658,0.18222874402999878,0.28989166021347046,0.2638136148452759
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.11881068348884583,0.29518163204193115,0.4239959120750427,0.4223487675189972,0.21111343801021576,0.13008104264736176,0.22208432853221893,0.27411898970603943,0.13655053079128265,0.4239959120750427,0.2433311939239502
north,0.18673177063465118,0.29020047187805176,0.36298373341560364,0.1698571741580963,0.13917739689350128,0.2743184268474579,0.36298373341560364,0.13787305355072021,0.12333853542804718,0.20063628256320953,0.29020047187805176,0.1401587575674057,0.2743184268474579,0.11829731613397598
american,0.1909721940755844,0.31632548570632935,0.24562937021255493,0.23794402182102203,0.17838339507579803,0.16338081657886505,0.24562937021255493,0.11424583196640015,0.24069947004318237,0.3670904040336609,0.31632548570632935,0.22847925126552582,0.16338081657886505,0.18877598643302917
were,0.22298263013362885,0.590133786201477,0.3906462490558624,0.14584800601005554,0.25531911849975586,0.31913647055625916,0.3906462490558624,0.16634012758731842,0.16101916134357452,0.17463447153568268,0.590133786201477,0.19441884756088257,0.31913647055625916,0.17890112102031708
severe,0.19308151304721832,0.1709052473306656,0.2465558648109436,0.09825532138347626,0.1444113552570343,0.24130137264728546,0.2465558648109436,0.08233492076396942,0.07632219046354294,0.16410766541957855,0.1709052473306656,0.1289706975221634,0.24130137264728546,0.19589418172836304
enough,0.3944990336894989,0.18723952770233154,0.304282009601593,0.150692880153656,0.3257303833961487,0.43150144815444946,0.304282009601593,0.10586954653263092,0.11685620993375778,0.10895568132400513,0.18723952770233154,0.10280530154705048,0.43150144815444946,0.3526461720466614
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.14081448316574097,0.2528568208217621,0.45010748505592346,0.6662389636039734,0.18841172754764557,0.20420196652412415,0.21452437341213226,0.45514053106307983,0.23088723421096802,0.45010748505592346,0.20430970191955566
late,0.1576872020959854,0.4393066465854645,0.31481194496154785,0.18787816166877747,0.13096106052398682,0.25809016823768616,0.31481194496154785,0.151384636759758,0.13966631889343262,0.1957540065050125,0.4393066465854645,0.15920594334602356,0.25809016823768616,0.11339222639799118
