,how,did,the,better,jacksonville,plan,generate,money,?
the,0.33890387415885925,0.34736719727516174,1.0,0.2113795131444931,0.2176690250635147,0.2852855324745178,0.264517217874527,0.2699695825576782,0.22068053483963013
better,0.37810611724853516,0.30515921115875244,0.2113795131444931,1.0000001192092896,0.20280951261520386,0.24608218669891357,0.19188150763511658,0.23175272345542908,0.32159438729286194
jacksonville,0.165566086769104,0.22992172837257385,0.2176690250635147,0.20280951261520386,1.0000001192092896,0.20480400323867798,0.1178978681564331,0.11549030989408493,0.1359667330980301
plan,0.31514599919319153,0.3030991554260254,0.2852855324745178,0.24608218669891357,0.20480400323867798,1.0,0.13853232562541962,0.2500225007534027,0.1961054503917694
",",0.22659391164779663,0.3015086054801941,0.4933079481124878,0.331943541765213,0.2837527096271515,0.21265573799610138,0.18701888620853424,0.24156853556632996,0.31091248989105225
promoted,0.1667862832546234,0.23407593369483948,0.2648380994796753,0.20226973295211792,0.11656936258077621,0.18769550323486328,0.1278073936700821,0.17740266025066376,0.2079106867313385
as,0.33782753348350525,0.3596470057964325,0.48381632566452026,0.35478752851486206,0.20988665521144867,0.22160357236862183,0.24461297690868378,0.17608045041561127,0.27043893933296204
a,0.29312583804130554,0.2552328109741211,0.5829201340675354,0.2532222270965576,0.28008249402046204,0.27156999707221985,0.24484781920909882,0.2777978479862213,0.23916715383529663
blueprint,0.33030804991722107,0.2004726231098175,0.2958637773990631,0.25966882705688477,0.17075781524181366,0.19538664817810059,0.34116968512535095,0.2668270766735077,0.2517049014568329
for,0.3308170735836029,0.318512886762619,0.4739971458911896,0.3385646641254425,0.28549739718437195,0.22760893404483795,0.26533806324005127,0.3105318546295166,0.264628142118454
jacksonville,0.165566086769104,0.22992172837257385,0.2176690250635147,0.20280951261520386,1.0000001192092896,0.20480400323867798,0.1178978681564331,0.11549030989408493,0.1359667330980301
's,-0.026164190843701363,0.05069678649306297,-0.01540423184633255,0.06539846956729889,0.02280956320464611,0.014385199174284935,-0.06674478203058243,0.11903500556945801,-0.023395681753754616
future,0.3566674292087555,0.23607341945171356,0.2337762415409088,0.25635725259780884,0.1625320464372635,0.2907547652721405,0.20383624732494354,0.22649236023426056,0.3367180824279785
and,0.33647966384887695,0.34479495882987976,0.5171257257461548,0.3038354516029358,0.2603762745857239,0.26844465732574463,0.22549274563789368,0.3070235550403595,0.20544172823429108
approved,0.2169949859380722,0.2830694019794464,0.30207422375679016,0.16849027574062347,0.13521422445774078,0.31602561473846436,0.2113417685031891,0.231485515832901,0.25914356112480164
by,0.34370526671409607,0.18574509024620056,0.4408751428127289,0.21719415485858917,0.15927588939666748,0.22663648426532745,0.2439229041337967,0.2333964854478836,0.17966607213020325
jacksonville,0.165566086769104,0.22992172837257385,0.2176690250635147,0.20280951261520386,1.0000001192092896,0.20480400323867798,0.1178978681564331,0.11549030989408493,0.1359667330980301
voters,0.20967698097229004,0.22084318101406097,0.2605440318584442,0.15069974958896637,0.21975909173488617,0.213435560464859,0.15564607083797455,0.22412042319774628,0.21165518462657928
in,0.2601168751716614,0.2593238651752472,0.6662389636039734,0.20443932712078094,0.22147351503372192,0.23924663662910461,0.20683743059635162,0.2393328845500946,0.20430970191955566
2000,-0.07386910915374756,0.028451859951019287,-0.015081177465617657,-0.010012109763920307,0.04041608050465584,-0.03609633818268776,-0.16106905043125153,0.029398558661341667,-0.0824366956949234
",",0.22659391164779663,0.3015086054801941,0.4933079481124878,0.331943541765213,0.2837527096271515,0.21265573799610138,0.18701888620853424,0.24156853556632996,0.31091248989105225
authorized,0.15486855804920197,0.32163918018341064,0.29675373435020447,0.1893305778503418,0.13249729573726654,0.28260087966918945,0.20008477568626404,0.29690977931022644,0.19555750489234924
a,0.29312583804130554,0.2552328109741211,0.5829201340675354,0.2532222270965576,0.28008249402046204,0.27156999707221985,0.24484781920909882,0.2777978479862213,0.23916715383529663
half-penny,0.3103986084461212,0.23263445496559143,0.2752686142921448,0.26787182688713074,0.30909180641174316,0.1980530023574829,0.17460615932941437,0.3067770004272461,0.23125851154327393
sales,0.21070443093776703,0.20267213881015778,0.18809081614017487,0.17841693758964539,0.168781578540802,0.13878056406974792,0.21768896281719208,0.35386449098587036,0.12966734170913696
tax,0.24537210166454315,0.22152264416217804,0.19507044553756714,0.1124250516295433,0.18079054355621338,0.29386696219444275,0.25551238656044006,0.47746047377586365,0.2097984105348587
.,0.3287222981452942,0.35288307070732117,0.5934505462646484,0.2761487066745758,0.2843366861343384,0.2966235876083374,0.2895053029060364,0.2570818066596985,0.4130953550338745
