,complement,proteins,bind,to,what,kind,of,molecules,on,the,surface,of,microbes,in,order,to,elicit,an,immune,response,?
in,0.2742482125759125,0.23363234102725983,0.1995374858379364,0.45010748505592346,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.2197362184524536,0.46853652596473694,0.6662389636039734,0.20246390998363495,0.5696388483047485,0.24706831574440002,1.0,0.24184700846672058,0.45010748505592346,0.20265628397464752,0.2605783939361572,0.14682820439338684,0.20744606852531433,0.20430970191955566
humans,0.2228013277053833,0.3881816864013672,0.2489929050207138,0.3031579256057739,0.28355827927589417,0.27182963490486145,0.24560637772083282,0.3498714864253998,0.16332349181175232,0.29565489292144775,0.3228835165500641,0.24560637772083282,0.5105761289596558,0.23748517036437988,0.1734779328107834,0.3031579256057739,0.14108072221279144,0.14953799545764923,0.3791846036911011,0.170048326253891,0.20141740143299103
",",0.29179954528808594,0.1900382786989212,0.20758631825447083,0.44245919585227966,0.3087472915649414,0.20629581809043884,0.4946078956127167,0.18639802932739258,0.49057599902153015,0.4933079481124878,0.23000483214855194,0.4946078956127167,0.25792837142944336,0.5201468467712402,0.22478096187114716,0.44245919585227966,0.23878136277198792,0.3581022024154663,0.15102852880954742,0.24039098620414734,0.31091248989105225
this,0.39615291357040405,0.30748558044433594,0.28310081362724304,0.5759071707725525,0.5489566326141357,0.4221852123737335,0.45148900151252747,0.3069427013397217,0.4193967580795288,0.6274310946464539,0.28005295991897583,0.45148900151252747,0.36519914865493774,0.45205554366111755,0.28142353892326355,0.5759071707725525,0.23874081671237946,0.41881775856018066,0.2550543546676636,0.37390729784965515,0.3155723512172699
response,0.2858979105949402,0.2672218680381775,0.1903853863477707,0.277526319026947,0.3532308340072632,0.22298553586006165,0.21864040195941925,0.20722168684005737,0.20197884738445282,0.28909924626350403,0.14822585880756378,0.21864040195941925,0.24567924439907074,0.20744606852531433,0.19659452140331268,0.277526319026947,0.4029897153377533,0.2884137034416199,0.43541768193244934,1.0000001192092896,0.2007838636636734
is,0.3472212851047516,0.2132607400417328,0.20363958179950714,0.42745086550712585,0.28837618231773376,0.3292753994464874,0.4854315221309662,0.20481984317302704,0.3635730445384979,0.5823672413825989,0.29345643520355225,0.4854315221309662,0.2511790692806244,0.5394441485404968,0.19403748214244843,0.42745086550712585,0.1705905944108963,0.4654068350791931,0.2092347890138626,0.21022158861160278,0.22961433231830597
activated,0.3432985842227936,0.4309006631374359,0.43469810485839844,0.27244922518730164,0.21431195735931396,0.1980248987674713,0.18893249332904816,0.367192804813385,0.24267138540744781,0.2966001629829407,0.24478764832019806,0.18893249332904816,0.3069741725921631,0.24304188787937164,0.17811547219753265,0.27244922518730164,0.32651153206825256,0.22015094757080078,0.43118107318878174,0.3819968104362488,0.23727594316005707
by,0.20635931193828583,0.2186184525489807,0.18999722599983215,0.33534231781959534,0.2455483376979828,0.13289578258991241,0.3646814823150635,0.22475433349609375,0.33887791633605957,0.4408751428127289,0.2144230455160141,0.3646814823150635,0.2095867097377777,0.370934396982193,0.17732734978199005,0.33534231781959534,0.18644440174102783,0.2719563841819763,0.17260463535785675,0.2863168716430664,0.17966607213020325
complement,1.0,0.37465912103652954,0.35972586274147034,0.3486989736557007,0.2655338943004608,0.2700047194957733,0.30478957295417786,0.35410961508750916,0.30240777134895325,0.3089122176170349,0.2406996339559555,0.30478957295417786,0.3188532888889313,0.2742482125759125,0.3061353266239166,0.3486989736557007,0.2808278799057007,0.24795658886432648,0.3349134624004364,0.2858979105949402,0.11208028346300125
binding,0.37699198722839355,0.4987618029117584,0.7536251544952393,0.29100102186203003,0.2527271509170532,0.29018282890319824,0.26333409547805786,0.44729697704315186,0.21536609530448914,0.26792919635772705,0.27808114886283875,0.26333409547805786,0.2964314818382263,0.18967576324939728,0.20440411567687988,0.29100102186203003,0.3256412446498871,0.23064970970153809,0.35923153162002563,0.28543031215667725,0.11761247366666794
to,0.3486989736557007,0.24676139652729034,0.27997180819511414,1.0,0.455847829580307,0.28460726141929626,0.41548454761505127,0.2749134600162506,0.41031414270401,0.535392165184021,0.23727688193321228,0.41548454761505127,0.28390011191368103,0.45010748505592346,0.35544881224632263,1.0,0.34688007831573486,0.3138085603713989,0.2541976273059845,0.277526319026947,0.29463258385658264
antibodies,0.3513021171092987,0.6764805316925049,0.4846001863479614,0.2543680965900421,0.2190079689025879,0.22331783175468445,0.24495436251163483,0.5521124601364136,0.13692931830883026,0.25005820393562317,0.33485499024391174,0.24495436251163483,0.5139874815940857,0.1909862607717514,0.2264513522386551,0.2543680965900421,0.2538916766643524,0.17949451506137848,0.6355376839637756,0.3565814793109894,0.2315049171447754
that,0.33171409368515015,0.2839849293231964,0.28867918252944946,0.5436353087425232,0.6297725439071655,0.38161981105804443,0.41498205065727234,0.29100579023361206,0.42569106817245483,0.5473989248275757,0.30130770802497864,0.41498205065727234,0.37741872668266296,0.435920387506485,0.2761181890964508,0.5436353087425232,0.28259795904159546,0.365763783454895,0.30237793922424316,0.3606419265270233,0.32716336846351624
have,0.3266906142234802,0.31459400057792664,0.2745710015296936,0.4544740617275238,0.39808809757232666,0.31829583644866943,0.3802283704280853,0.2827518880367279,0.36494916677474976,0.40389683842658997,0.24156825244426727,0.3802283704280853,0.35022369027137756,0.36843645572662354,0.2561849355697632,0.4544740617275238,0.22713707387447357,0.22897054255008698,0.2992585301399231,0.29600051045417786,0.32991164922714233
