,what,was,the,largest,pottery,company,in,the,world,in,1817,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.3017216920852661,0.23815076053142548,0.22141718864440918,1.0,0.6662389636039734,0.3038199245929718,1.0,0.12579861283302307,0.20430970191955566
1817,0.010381118394434452,0.008021552115678787,0.0617048516869545,0.06048165261745453,0.003066054778173566,0.018390608951449394,0.12579861283302307,0.0617048516869545,0.07400160282850266,0.12579861283302307,1.0000001192092896,0.026473285630345345
the,0.42745697498321533,0.48711544275283813,1.0,0.3757036626338959,0.2263321727514267,0.26591673493385315,0.6662389636039734,1.0,0.33604270219802856,0.6662389636039734,0.0617048516869545,0.22068053483963013
maling,0.3036913275718689,0.16683444380760193,0.30597394704818726,0.16400760412216187,0.25076261162757874,0.15379199385643005,0.2656234800815582,0.30597394704818726,0.17291253805160522,0.2656234800815582,0.01456946786493063,0.22656488418579102
company,0.2333769053220749,0.2293137013912201,0.26591673493385315,0.1974945217370987,0.22550833225250244,1.0,0.22141718864440918,0.26591673493385315,0.2612578570842743,0.22141718864440918,0.018390608951449394,0.12195809185504913
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.26626327633857727,0.2752205431461334,0.2697763442993164,0.5201468467712402,0.4933079481124878,0.26091980934143066,0.5201468467712402,0.10817337781190872,0.31091248989105225
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.17044749855995178,0.10237947851419449,0.17487694323062897,0.4374977946281433,0.457212895154953,0.22825311124324799,0.4374977946281433,0.022520726546645164,0.21978627145290375
one,0.376489520072937,0.3752199709415436,0.5514441132545471,0.3001094460487366,0.14825835824012756,0.192721888422966,0.4129433035850525,0.5514441132545471,0.36872437596321106,0.4129433035850525,0.016738150268793106,0.2673267424106598
time,0.36319252848625183,0.3641340136528015,0.43061500787734985,0.11708168685436249,0.12013663351535797,0.18971289694309235,0.3431483507156372,0.43061500787734985,0.36250725388526917,0.3431483507156372,0.02561362087726593,0.27391523122787476
the,0.42745697498321533,0.48711544275283813,1.0,0.3757036626338959,0.2263321727514267,0.26591673493385315,0.6662389636039734,1.0,0.33604270219802856,0.6662389636039734,0.0617048516869545,0.22068053483963013
largest,0.13463157415390015,0.2198711782693863,0.3757036626338959,0.9999999403953552,0.22794146835803986,0.1974945217370987,0.3017216920852661,0.3757036626338959,0.344524085521698,0.3017216920852661,0.06048165261745453,0.12401245534420013
pottery,0.1886880248785019,0.1861930787563324,0.2263321727514267,0.22794146835803986,1.0000001192092896,0.22550833225250244,0.23815076053142548,0.2263321727514267,0.14026984572410583,0.23815076053142548,0.003066054778173566,0.133188858628273
company,0.2333769053220749,0.2293137013912201,0.26591673493385315,0.1974945217370987,0.22550833225250244,1.0,0.22141718864440918,0.26591673493385315,0.2612578570842743,0.22141718864440918,0.018390608951449394,0.12195809185504913
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.3017216920852661,0.23815076053142548,0.22141718864440918,1.0,0.6662389636039734,0.3038199245929718,1.0,0.12579861283302307,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.3757036626338959,0.2263321727514267,0.26591673493385315,0.6662389636039734,1.0,0.33604270219802856,0.6662389636039734,0.0617048516869545,0.22068053483963013
world,0.21669597923755646,0.3097524344921112,0.33604270219802856,0.344524085521698,0.14026984572410583,0.2612578570842743,0.3038199245929718,0.33604270219802856,1.0000001192092896,0.3038199245929718,0.07400160282850266,0.17579582333564758
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.26626327633857727,0.2752205431461334,0.2697763442993164,0.5201468467712402,0.4933079481124878,0.26091980934143066,0.5201468467712402,0.10817337781190872,0.31091248989105225
moved,0.20601840317249298,0.3804442584514618,0.32031023502349854,0.13560771942138672,0.1358916312456131,0.19519402086734772,0.3323737680912018,0.32031023502349854,0.13249483704566956,0.3323737680912018,0.000843648100271821,0.15112607181072235
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.18687231838703156,0.19958171248435974,0.24903783202171326,0.45010748505592346,0.535392165184021,0.26213452219963074,0.45010748505592346,-0.047625649720430374,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,1.0,0.3757036626338959,0.2263321727514267,0.26591673493385315,0.6662389636039734,1.0,0.33604270219802856,0.6662389636039734,0.0617048516869545,0.22068053483963013
city,0.17493832111358643,0.3188765048980713,0.35769423842430115,0.3647192716598511,0.23748661577701569,0.25891005992889404,0.3911624252796173,0.35769423842430115,0.2572607696056366,0.3911624252796173,0.07114522904157639,0.13423943519592285
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.18871670961380005,0.2509978115558624,0.266353577375412,0.5591574311256409,0.5934505462646484,0.3177160322666168,0.5591574311256409,0.07036123424768448,0.4130953550338745
