,cytokine,tbf-b,suppresses,the,activity,of,what,cell,types,?
some,0.2557722330093384,-0.011782697401940823,0.29095131158828735,0.4566698372364044,0.27115198969841003,0.4300730526447296,0.4491020441055298,0.19124972820281982,0.4819977581501007,0.2562315762042999
tumor,0.4568558633327484,0.05844259262084961,0.17212630808353424,0.19744063913822174,0.16964879631996155,0.22209933400154114,0.245636448264122,0.4006419777870178,0.1139221340417862,0.18998058140277863
cells,0.6488993763923645,0.019493578001856804,0.2963521182537079,0.19095487892627716,0.27404090762138367,0.21305565536022186,0.1758001297712326,0.7729857563972473,0.30914390087127686,0.1898086667060852
also,0.24843958020210266,0.040647007524967194,0.24688537418842316,0.6021018624305725,0.2726273536682129,0.4924938678741455,0.42747777700424194,0.1868675798177719,0.36062872409820557,0.21848613023757935
release,0.29013243317604065,0.0006948154768906534,0.239402174949646,0.2814774513244629,0.24449773132801056,0.1866096556186676,0.19122223556041718,0.16546912491321564,0.16200801730155945,0.14489315450191498
products,0.28546038269996643,0.013588431291282177,0.23228766024112701,0.2547704577445984,0.3246588110923767,0.21450084447860718,0.2088814079761505,0.17766039073467255,0.3223922550678253,0.20429900288581848
that,0.29832693934440613,-0.03405362367630005,0.35235893726348877,0.5473989248275757,0.3449932038784027,0.41498205065727234,0.6297725439071655,0.24500271677970886,0.3146487772464752,0.32716336846351624
inhibit,0.6373216509819031,0.09847570955753326,0.4336143434047699,0.18193893134593964,0.357069194316864,0.19862201809883118,0.20816293358802795,0.442596971988678,0.2855210304260254,0.17966219782829285
the,0.27381086349487305,-0.05877591297030449,0.3360081911087036,1.0,0.28331097960472107,0.733189046382904,0.42745697498321533,0.15822452306747437,0.23509301245212555,0.22068053483963013
immune,0.5294531583786011,0.06859113276004791,0.3420988619327545,0.21364226937294006,0.2832125723361969,0.16620753705501556,0.2410416603088379,0.39050236344337463,0.2538298964500427,0.16080476343631744
response,0.37586867809295654,0.009690191596746445,0.41567304730415344,0.28909924626350403,0.3710152208805084,0.21864040195941925,0.3532308340072632,0.2762874662876129,0.19293251633644104,0.2007838636636734
;,-0.044091202318668365,-0.030541367828845978,-0.017656391486525536,0.09152708947658539,0.0645126923918724,0.054534342139959335,0.10986888408660889,0.03421865403652191,0.016444861888885498,0.10349778085947037
for,0.19448061287403107,0.07614193111658096,0.26113227009773254,0.4739971458911896,0.30660444498062134,0.4185989499092102,0.3017193675041199,0.1766597181558609,0.29793059825897217,0.264628142118454
example,0.2460218071937561,-0.00045434129424393177,0.34303387999534607,0.3755223751068115,0.24686948955059052,0.3570667505264282,0.3456268310546875,0.2104582041501999,0.37960749864578247,0.30374911427497864
by,0.2603253424167633,-0.13807909190654755,0.2583663761615753,0.4408751428127289,0.14420075714588165,0.3646814823150635,0.2455483376979828,0.1892392784357071,0.15044783055782318,0.17966607213020325
secreting,0.5103224515914917,-0.03153521567583084,0.4024288058280945,0.2740831971168518,0.30995991826057434,0.2615695893764496,0.2810404300689697,0.34559643268585205,0.33556172251701355,0.16538850963115692
the,0.27381086349487305,-0.05877591297030449,0.3360081911087036,1.0,0.28331097960472107,0.733189046382904,0.42745697498321533,0.15822452306747437,0.23509301245212555,0.22068053483963013
cytokine,1.0,-0.006530823651701212,0.39006420969963074,0.27381086349487305,0.37237444519996643,0.22686471045017242,0.2301555573940277,0.5623936057090759,0.27592769265174866,0.1463787853717804
tgf-β,0.10209503024816513,0.1772380918264389,0.15420717000961304,0.2460089772939682,0.148511603474617,0.21063295006752014,0.22400598227977753,0.149636372923851,0.07498367875814438,0.3318462371826172
",",0.18891043961048126,0.1405196338891983,0.15866263210773468,0.4933079481124878,0.21559643745422363,0.4946078956127167,0.3087472915649414,0.17534321546554565,0.24108222126960754,0.31091248989105225
which,0.40616849064826965,-0.009130418300628662,0.3615369200706482,0.6521818041801453,0.34858861565589905,0.5011631846427917,0.5261979103088379,0.26335951685905457,0.4006623923778534,0.25814583897590637
suppresses,0.39006420969963074,-0.05570623278617859,1.0000001192092896,0.3360081911087036,0.32557883858680725,0.25775736570358276,0.2772829234600067,0.26985108852386475,0.2707090675830841,0.20630566775798798
the,0.27381086349487305,-0.05877591297030449,0.3360081911087036,1.0,0.28331097960472107,0.733189046382904,0.42745697498321533,0.15822452306747437,0.23509301245212555,0.22068053483963013
activity,0.37237444519996643,0.04807274788618088,0.32557883858680725,0.28331097960472107,1.0,0.23575159907341003,0.28365153074264526,0.21368494629859924,0.27023184299468994,0.19043973088264465
of,0.22686471045017242,-0.12780936062335968,0.25775736570358276,0.733189046382904,0.23575159907341003,1.0,0.33290785551071167,0.18332023918628693,0.2447618544101715,0.1826142966747284
macrophages,0.6420392394065857,0.0007764426409266889,0.30519095063209534,0.2027338147163391,0.22274261713027954,0.20691213011741638,0.19924452900886536,0.5310046672821045,0.3373939096927643,0.1323275864124298
and,0.22723272442817688,0.017082486301660538,0.22384363412857056,0.5171257257461548,0.21878264844417572,0.5116966962814331,0.31309178471565247,0.2013455629348755,0.3014242649078369,0.20544172823429108
lymphocytes,0.6915386915206909,0.07401598244905472,0.35781559348106384,0.22336585819721222,0.2822485566139221,0.23419450223445892,0.1919625699520111,0.5462966561317444,0.3330727219581604,0.18689562380313873
.,0.2158391773700714,0.12665128707885742,0.2055269479751587,0.5934505462646484,0.23696304857730865,0.5352458953857422,0.3567904531955719,0.2801848351955414,0.2097296416759491,0.4130953550338745
