,what,do,later,versions,of,the,lord,'s,prayer,hymn,still,use,?
other,0.341873437166214,0.34946969151496887,0.3026232421398163,0.3286779820919037,0.38583824038505554,0.44152235984802246,0.13230441510677338,0.04445967823266983,0.1826731413602829,0.13218364119529724,0.3742256164550781,0.389494389295578,0.24682199954986572
16th-,-0.2593032717704773,-0.27792125940322876,-0.07623574882745743,-0.11067813634872437,-0.23556774854660034,-0.21284186840057373,-0.08103273063898087,0.038048259913921356,-0.10418123751878738,-0.027651730924844742,-0.2729138135910034,-0.3248938024044037,-0.173178032040596
and,0.31309178471565247,0.276123583316803,0.4216292202472687,0.2880791425704956,0.5116966962814331,0.5171257257461548,0.22902889549732208,0.06895173341035843,0.17425645887851715,0.1816401183605194,0.37647393345832825,0.34145063161849976,0.20544172823429108
20th-century,0.20272141695022583,0.12639345228672028,0.30290505290031433,0.21832016110420227,0.25789782404899597,0.31295427680015564,0.16217143833637238,0.011392449960112572,0.1388694941997528,0.22048847377300262,0.24730704724788666,0.17029105126857758,0.09023914486169815
versifications,0.19784295558929443,0.18036948144435883,0.30356836318969727,0.47568565607070923,0.2544495463371277,0.28784888982772827,0.02806233987212181,0.015175077132880688,0.1956206113100052,0.14419960975646973,0.34112146496772766,0.2928803265094757,0.19622887670993805
of,0.33290785551071167,0.26150479912757874,0.3458743393421173,0.17600277066230774,1.0,0.733189046382904,0.20127125084400177,-0.03817026689648628,0.18775463104248047,0.27317509055137634,0.3288819193840027,0.2750902473926544,0.1826142966747284
the,0.42745697498321533,0.30239659547805786,0.4060266613960266,0.2621293067932129,0.733189046382904,1.0,0.2489406019449234,-0.01540423184633255,0.2471906840801239,0.22713270783424377,0.40142056345939636,0.34342584013938904,0.22068053483963013
lord,0.15077504515647888,0.15117111802101135,0.15733522176742554,0.05561887100338936,0.20127125084400177,0.2489406019449234,1.0000001192092896,-0.00021723240206483752,0.27337387204170227,0.23972555994987488,0.16564685106277466,0.17563496530056,0.09544310718774796
's,0.02692362666130066,-0.01994597539305687,0.05591587722301483,-0.03027944453060627,-0.03817026689648628,-0.01540423184633255,-0.00021723240206483752,0.9999999403953552,0.06618055701255798,0.01253789383918047,0.033143531531095505,0.004619393963366747,-0.023395681753754616
prayer,0.1971559077501297,0.1789875030517578,0.20301221311092377,0.17824964225292206,0.18775463104248047,0.2471906840801239,0.27337387204170227,0.06618055701255798,1.0000001192092896,0.35265955328941345,0.23732256889343262,0.16388645768165588,0.2122897058725357
have,0.39808809757232666,0.49831271171569824,0.3055685758590698,0.3128700256347656,0.3802283704280853,0.40389683842658997,0.16529202461242676,-0.02807004563510418,0.20062221586704254,0.12368997186422348,0.42502015829086304,0.4805850088596344,0.32991164922714233
