,where,does,the,largest,part,of,kenya,'s,power,come,from,?
the,0.5003893971443176,0.35928019881248474,1.0,0.3757036626338959,0.527681291103363,0.733189046382904,0.21657514572143555,-0.01540423184633255,0.2647338807582855,0.36020293831825256,0.40150508284568787,0.22068053483963013
largest,0.2018657773733139,0.18477381765842438,0.3757036626338959,0.9999999403953552,0.3383965790271759,0.36650770902633667,0.20862577855587006,-0.02050611935555935,0.13597434759140015,0.17365193367004395,0.20374812185764313,0.12401245534420013
share,0.13674965500831604,0.2503064274787903,0.249948650598526,0.23037883639335632,0.22434629499912262,0.2850857973098755,0.17196089029312134,0.10465416312217712,0.1688442975282669,0.3180198669433594,0.23348109424114227,0.1754547506570816
of,0.38066378235816956,0.3119818866252899,0.733189046382904,0.36650770902633667,0.452393114566803,1.0,0.22226637601852417,-0.03817026689648628,0.25273123383522034,0.3194141983985901,0.4249346852302551,0.1826142966747284
kenya,0.20705291628837585,0.15162554383277893,0.21657514572143555,0.20862577855587006,0.13610488176345825,0.22226637601852417,1.0,-0.02908705547451973,0.1037459671497345,0.1500818133354187,0.15824314951896667,0.17197901010513306
's,0.0007701900321990252,-0.02895052544772625,-0.01540423184633255,-0.02050611935555935,0.007562864106148481,-0.03817026689648628,-0.02908705547451973,0.9999999403953552,0.05344679579138756,0.017146922647953033,-0.01936490088701248,-0.023395681753754616
electricity,0.28470563888549805,0.28060615062713623,0.274786114692688,0.19538165628910065,0.177683487534523,0.22897469997406006,0.12499098479747772,0.04452890530228615,0.5319902896881104,0.19656608998775482,0.22217446565628052,0.17856204509735107
supply,0.2809525430202484,0.2317395657300949,0.31942567229270935,0.2549136281013489,0.19190695881843567,0.23476092517375946,0.08032095432281494,0.0580599308013916,0.40745729207992554,0.18593981862068176,0.21366941928863525,0.14298182725906372
comes,0.24599599838256836,0.36135387420654297,0.32399529218673706,0.16742008924484253,0.19672788679599762,0.2978210747241974,0.12332938611507416,0.05210118368268013,0.20029936730861664,0.578032374382019,0.31963786482810974,0.15980161726474762
from,0.3713873624801636,0.1777622550725937,0.40150508284568787,0.20374812185764313,0.31841611862182617,0.4249346852302551,0.15824314951896667,-0.01936490088701248,0.21385204792022705,0.32651904225349426,1.0,0.19969791173934937
hydroelectric,0.22451792657375336,0.21804234385490417,0.32417628169059753,0.3320472836494446,0.23232154548168182,0.26757246255874634,0.2321016788482666,0.011374108493328094,0.4683966338634491,0.15672458708286285,0.21073520183563232,0.1409498006105423
stations,0.23675303161144257,0.2039099484682083,0.24762700498104095,0.22964605689048767,0.21649853885173798,0.20414425432682037,0.1541571468114853,0.029389679431915283,0.27487730979919434,0.1762320101261139,0.2408953756093979,0.13192185759544373
at,0.4402937591075897,0.17465277016162872,0.457212895154953,0.17044749855995178,0.27486899495124817,0.42558613419532776,0.21434974670410156,-0.08481216430664062,0.06751500070095062,0.17376890778541565,0.3447161316871643,0.21978627145290375
dams,0.20037931203842163,0.1896977424621582,0.29891788959503174,0.3429769277572632,0.1741359829902649,0.2651751637458801,0.2596224546432495,0.05226697400212288,0.3183203637599945,0.1742088794708252,0.20334741473197937,0.09989771246910095
along,0.3530636131763458,0.18451251089572906,0.39495137333869934,0.14241459965705872,0.3091850280761719,0.34889817237854004,0.1457335501909256,-0.05784126743674278,0.19456323981285095,0.17204470932483673,0.279703289270401,0.17134909331798553
the,0.5003893971443176,0.35928019881248474,1.0,0.3757036626338959,0.527681291103363,0.733189046382904,0.21657514572143555,-0.01540423184633255,0.2647338807582855,0.36020293831825256,0.40150508284568787,0.22068053483963013
