,why,is,warsaw,'s,flora,very,rich,in,species,?
the,0.30742117762565613,0.5823672413825989,0.23137180507183075,-0.01540423184633255,0.20268896222114563,0.34171217679977417,0.2007024586200714,0.6662389636039734,0.2522439956665039,0.22068053483963013
species,0.19561885297298431,0.2673557698726654,0.09770122170448303,0.050785817205905914,0.3825920522212982,0.21647153794765472,0.15316329896450043,0.2179255336523056,0.9999999403953552,0.1957087516784668
richness,0.23511022329330444,0.26555347442626953,0.10858629643917084,0.008948463946580887,0.24893943965435028,0.3385063409805298,0.4916646182537079,0.23565253615379333,0.3587700426578522,0.1582779884338379
is,0.26410171389579773,1.0,0.09741193056106567,0.02396530658006668,0.1863151341676712,0.3671363294124603,0.2125770002603531,0.5394441485404968,0.2673557698726654,0.22961433231830597
mainly,0.2626163959503174,0.3799574673175812,0.1021302342414856,0.08966390043497086,0.1397794932126999,0.39948219060897827,0.21685484051704407,0.353954017162323,0.24303947389125824,0.07608037441968918
due,0.24495384097099304,0.24065633118152618,0.17273680865764618,0.03925589844584465,0.09635697305202484,0.3168576657772064,0.14897340536117554,0.2516716718673706,0.1287691444158554,0.10954997688531876
to,0.4100138247013092,0.42745086550712585,0.1953994333744049,0.03782717138528824,0.17716512084007263,0.3902553617954254,0.2667584717273712,0.45010748505592346,0.2193736732006073,0.29463258385658264
the,0.30742117762565613,0.5823672413825989,0.23137180507183075,-0.01540423184633255,0.20268896222114563,0.34171217679977417,0.2007024586200714,0.6662389636039734,0.2522439956665039,0.22068053483963013
location,0.12234728783369064,0.25880151987075806,0.08546178042888641,-0.0234982892870903,0.17612776160240173,0.1877945214509964,0.06689070165157318,0.3397608697414398,0.16192390024662018,0.15759775042533875
of,0.28464117646217346,0.4854315221309662,0.19253842532634735,-0.03817026689648628,0.21338418126106262,0.34437474608421326,0.23752830922603607,0.5696388483047485,0.23307405412197113,0.1826142966747284
warsaw,0.12199772894382477,0.09741193056106567,1.0,0.02839025668799877,0.11964281648397446,0.11996043473482132,0.09715257585048676,0.22642600536346436,0.09770122170448303,0.09769917279481888
within,0.19835862517356873,0.30135563015937805,0.14228931069374084,-0.01527355331927538,0.14193876087665558,0.21934379637241364,0.1467735767364502,0.40576374530792236,0.23945899307727814,0.1870293766260147
the,0.30742117762565613,0.5823672413825989,0.23137180507183075,-0.01540423184633255,0.20268896222114563,0.34171217679977417,0.2007024586200714,0.6662389636039734,0.2522439956665039,0.22068053483963013
border,0.19157110154628754,0.22676031291484833,0.16393494606018066,-0.0324530154466629,0.12177567183971405,0.1724650263786316,0.1303371638059616,0.28533756732940674,0.18178340792655945,0.1706928312778473
region,0.18194128572940826,0.3317503035068512,0.09626767784357071,-0.058744437992572784,0.20287641882896423,0.1753539741039276,0.24598480761051178,0.3524819314479828,0.22915275394916534,0.13441751897335052
of,0.28464117646217346,0.4854315221309662,0.19253842532634735,-0.03817026689648628,0.21338418126106262,0.34437474608421326,0.23752830922603607,0.5696388483047485,0.23307405412197113,0.1826142966747284
several,0.22216977179050446,0.20361857116222382,0.12796232104301453,-0.012985157780349255,0.1621871292591095,0.3615834414958954,0.18404757976531982,0.39405709505081177,0.2150747925043106,0.15595775842666626
big,0.2516357898712158,0.22924260795116425,0.148477241396904,0.08747415989637375,0.09231890738010406,0.30815890431404114,0.160959854722023,0.2359251081943512,0.12996909022331238,0.20497842133045197
floral,0.18005502223968506,0.20733542740345,0.13158243894577026,0.01743394508957863,0.6890792846679688,0.17021945118904114,0.3149793744087219,0.21298690140247345,0.3929266929626465,0.15459731221199036
regions,0.18376411497592926,0.28507089614868164,0.1168711930513382,-0.04780859872698784,0.24968086183071136,0.18980781733989716,0.20275314152240753,0.3232547640800476,0.3530384600162506,0.11608363687992096
