,which,woman,took,a,leadership,role,in,the,mongol,empire,while,succession,was,being,determined,?
women,0.1888044774532318,0.5619240403175354,0.18951000273227692,0.20322243869304657,0.26138216257095337,0.15137732028961182,0.3171939551830292,0.279754102230072,0.09857901185750961,0.11704805493354797,0.1950264722108841,0.11914441734552383,0.2088247686624527,0.24526000022888184,0.14026598632335663,0.1616753786802292
played,0.17687860131263733,0.20834383368492126,0.27391278743743896,0.2472371906042099,0.15286092460155487,0.3676716685295105,0.27605336904525757,0.2603478729724884,0.05402115732431412,0.18669326603412628,0.20544704794883728,0.13515475392341614,0.3139837682247162,0.21356894075870514,0.15059976279735565,0.14096300303936005
a,0.56894451379776,0.31183090806007385,0.18697012960910797,1.0,0.17936734855175018,0.22880133986473083,0.539380669593811,0.5829201340675354,0.15921570360660553,0.1900206059217453,0.3733035624027252,0.22721372544765472,0.4508470594882965,0.3727131485939026,0.3001842796802521,0.23916715383529663
relatively,0.45062434673309326,0.060749392956495285,0.10396148264408112,0.3819689452648163,0.1458314061164856,0.1865028589963913,0.2696114182472229,0.33481109142303467,0.19709768891334534,0.13526655733585358,0.3686056137084961,0.23815761506557465,0.21360629796981812,0.36155280470848083,0.2934964895248413,0.1281091868877411
important,0.37798872590065,0.17647185921669006,0.2490328997373581,0.2963852882385254,0.14303267002105713,0.3086093068122864,0.3796374499797821,0.39348116517066956,0.13405485451221466,0.22482715547084808,0.1860255002975464,0.14559240639209747,0.24924467504024506,0.26048415899276733,0.20577602088451385,0.17812499403953552
role,0.18845273554325104,0.22353799641132355,0.22400952875614166,0.22880133986473083,0.2698102593421936,0.9999998807907104,0.243671715259552,0.26607486605644226,0.11682261526584625,0.21089273691177368,0.19695833325386047,0.16892345249652863,0.2561398148536682,0.2269134372472763,0.19905592501163483,0.18676944077014923
in,0.4840516746044159,0.2614135444164276,0.2818296551704407,0.539380669593811,0.2307659387588501,0.243671715259552,1.0,0.6662389636039734,0.16958336532115936,0.24110576510429382,0.3399278521537781,0.2511105239391327,0.45514053106307983,0.33162933588027954,0.2656884789466858,0.20430970191955566
mongol,0.22227831184864044,0.08061147481203079,0.1795438528060913,0.15921570360660553,0.3076898157596588,0.11682261526584625,0.16958336532115936,0.2924198508262634,1.0000001192092896,0.45230501890182495,0.2199031561613083,0.1965118795633316,0.17204789817333221,0.15899883210659027,0.0899932011961937,0.12849251925945282
empire,0.1975056380033493,0.21507570147514343,0.23297956585884094,0.1900206059217453,0.2805441617965698,0.21089273691177368,0.24110576510429382,0.32532164454460144,0.45230501890182495,1.0000001192092896,0.15685497224330902,0.35209542512893677,0.30602675676345825,0.20464713871479034,0.13715781271457672,0.14909450709819794
and,0.506277859210968,0.18828067183494568,0.25750628113746643,0.3739250600337982,0.24201266467571259,0.2629789710044861,0.4954058527946472,0.5171257257461548,0.21553155779838562,0.27479609847068787,0.45699796080589294,0.2330181747674942,0.3740963041782379,0.4286794066429138,0.2569243013858795,0.20544172823429108
in,0.4840516746044159,0.2614135444164276,0.2818296551704407,0.539380669593811,0.2307659387588501,0.243671715259552,1.0,0.6662389636039734,0.16958336532115936,0.24110576510429382,0.3399278521537781,0.2511105239391327,0.45514053106307983,0.33162933588027954,0.2656884789466858,0.20430970191955566
family,0.2529175877571106,0.18757179379463196,0.15849700570106506,0.24362227320671082,0.10961765795946121,0.1271856278181076,0.2165997177362442,0.2394849956035614,0.15453436970710754,0.15316574275493622,0.20538771152496338,0.2119026482105255,0.21917963027954102,0.1649332493543625,0.10263396799564362,0.15222905576229095
