,on,what,day,does,a,general,question,time,take,place,?
a,0.3848365545272827,0.3320399522781372,0.18630309402942657,0.38201746344566345,1.0,0.2157215178012848,0.3184618055820465,0.3292340338230133,0.2789212465286255,0.3079278767108917,0.23916715383529663
``,-0.03274054825305939,0.008517155423760414,0.055084168910980225,0.06539655476808548,0.07272057235240936,0.09047812968492508,0.1262909322977066,0.041467953473329544,0.010215016081929207,0.013967473059892654,0.0685480609536171
general,0.18019753694534302,0.24928055703639984,0.12495479732751846,0.15178900957107544,0.2157215178012848,1.0000001192092896,0.22221729159355164,0.2027285099029541,0.16440629959106445,0.16754250228405,0.1972234547138214
question,0.19436295330524445,0.5285786390304565,0.21668741106987,0.29784631729125977,0.3184618055820465,0.22221729159355164,1.0,0.28554263710975647,0.23069579899311066,0.23186343908309937,0.48000848293304443
time,0.30044233798980713,0.36319252848625183,0.32810065150260925,0.2519678771495819,0.3292340338230133,0.2027285099029541,0.28554263710975647,0.9999998807907104,0.30334821343421936,0.379790335893631,0.27391523122787476
'',0.04238596186041832,0.08143015950918198,-0.024457471445202827,-0.004023602232336998,0.04890415817499161,0.022419413551688194,-0.01199275441467762,-0.01899585872888565,-0.0276133231818676,0.0002055529475910589,0.018684765323996544
takes,0.20189763605594635,0.15264007449150085,0.21736936271190643,0.38490039110183716,0.3491862416267395,0.12664270401000977,0.17696955800056458,0.2866765260696411,0.6401001811027527,0.4506075382232666,0.10935472697019577
place,0.32431602478027344,0.2689766585826874,0.23354797065258026,0.19848348200321198,0.3079278767108917,0.16754250228405,0.23186343908309937,0.379790335893631,0.3971441090106964,1.0,0.2455766350030899
on,0.9999999403953552,0.34226128458976746,0.3332281708717346,0.2568802833557129,0.3848365545272827,0.18019753694534302,0.19436295330524445,0.30044233798980713,0.27423644065856934,0.32431602478027344,0.2714994251728058
a,0.3848365545272827,0.3320399522781372,0.18630309402942657,0.38201746344566345,1.0,0.2157215178012848,0.3184618055820465,0.3292340338230133,0.2789212465286255,0.3079278767108917,0.23916715383529663
thursday,0.40117037296295166,0.1903308480978012,0.3781280815601349,0.1235697939991951,0.20469596982002258,0.0782262310385704,0.17632050812244415,0.2689109444618225,0.21867935359477997,0.2509865164756775,0.2132832556962967
between,0.3335416913032532,0.2462156116962433,0.15399788320064545,0.16966454684734344,0.29385313391685486,0.12909778952598572,0.18777018785476685,0.2893446385860443,0.21430909633636475,0.3099084198474884,0.12887074053287506
11:40,0.06541211903095245,0.07498905062675476,0.07071950286626816,0.03888116031885147,0.09155876934528351,0.026385096833109856,0.0010614822385832667,0.056102264672517776,-0.02337023988366127,-0.026470985263586044,0.06688230484724045
a.m.,-0.010722850449383259,0.050418004393577576,0.028536805883049965,0.025792807340621948,0.033542390912771225,0.12734946608543396,0.07603538036346436,0.01477852649986744,0.018704745918512344,-0.04202260449528694,-0.013456551358103752
and,0.4077630043029785,0.31309178471565247,0.26673999428749084,0.3461615741252899,0.3739250600337982,0.25860127806663513,0.20355750620365143,0.3025408685207367,0.296702116727829,0.2813849449157715,0.20544172823429108
