,what,was,luther,'s,major,work,of,"60,000",words,on,the,jews,?
luther,0.2134782373905182,0.19185513257980347,1.0,-0.009990512393414974,0.13173559308052063,0.15580131113529205,0.1719115972518921,0.04622340202331543,0.12241660803556442,0.19090485572814941,0.1759674996137619,0.24326977133750916,0.1732746809720993
's,0.02692362666130066,0.008974763564765453,-0.009990512393414974,0.9999999403953552,-0.010959804058074951,-0.03332063928246498,-0.03817026689648628,-0.04772862046957016,0.08948911726474762,0.0026888418942689896,-0.01540423184633255,0.017030835151672363,-0.023395681753754616
other,0.341873437166214,0.14651623368263245,0.18881922960281372,0.04445967823266983,0.3157308101654053,0.29067906737327576,0.38583824038505554,-0.1500321477651596,0.3143329322338104,0.3410046398639679,0.44152235984802246,0.20792315900325775,0.24682199954986572
major,0.21026742458343506,0.20676274597644806,0.13173559308052063,-0.010959804058074951,0.9999998807907104,0.1532536894083023,0.2641255557537079,-0.14239804446697235,0.05568942427635193,0.21282386779785156,0.31775903701782227,0.09411045908927917,0.19788557291030884
works,0.2418437898159027,0.2401018887758255,0.08583797514438629,0.04286740720272064,0.2254471629858017,0.6060804724693298,0.1964656114578247,0.04069376364350319,0.20658135414123535,0.18736502528190613,0.26337864995002747,0.1585722267627716,0.19597402215003967
on,0.34226128458976746,0.3909217119216919,0.19090485572814941,0.0026888418942689896,0.21282386779785156,0.26663315296173096,0.3966929316520691,-0.06378782540559769,0.17732977867126465,0.9999999403953552,0.5107308030128479,0.13907738029956818,0.2714994251728058
the,0.42745697498321533,0.48711544275283813,0.1759674996137619,-0.01540423184633255,0.31775903701782227,0.2704800069332123,0.733189046382904,0.04733072593808174,0.29205581545829773,0.5107308030128479,1.0,0.24901628494262695,0.22068053483963013
jews,0.22131574153900146,0.1935933530330658,0.24326977133750916,0.017030835151672363,0.09411045908927917,0.20316407084465027,0.2207300066947937,-0.013786796480417252,0.21707488596439362,0.13907738029956818,0.24901628494262695,1.0000001192092896,0.16730794310569763
were,0.22298263013362885,0.590133786201477,0.18652333319187164,0.007088581565767527,0.17227254807949066,0.23814889788627625,0.34038281440734863,-0.06676538288593292,0.16776612401008606,0.2774328887462616,0.3906462490558624,0.30761516094207764,0.17890112102031708
his,0.26976513862609863,0.4405253231525421,0.27093374729156494,0.047556519508361816,0.17332184314727783,0.36648666858673096,0.38364991545677185,0.10285332053899765,0.2386544793844223,0.32064297795295715,0.4394008219242096,0.19577133655548096,0.18075084686279297
"60,000-word",0.3189575672149658,0.20571883022785187,0.18234330415725708,0.03459930419921875,0.12155107408761978,0.20092271268367767,0.18383993208408356,0.29846563935279846,0.5189629197120667,0.1595553308725357,0.24970881640911102,0.17595237493515015,0.2741270661354065
treatise,0.23453468084335327,0.20765262842178345,0.17424321174621582,-0.024936746805906296,0.15131883323192596,0.3717729449272156,0.3056868314743042,-0.07951183617115021,0.24793128669261932,0.1516297459602356,0.2190825194120407,0.18341277539730072,0.1367369443178177
von,0.18003655970096588,0.2042967826128006,0.30416905879974365,0.014292019419372082,0.08280908316373825,0.21786530315876007,0.19899946451187134,0.08106888830661774,0.16284531354904175,0.13431416451931,0.21817399561405182,0.18132361769676208,0.13907472789287567
den,0.1653665453195572,0.14847347140312195,0.19442421197891235,0.014416518621146679,0.12410453706979752,0.1683824360370636,0.14465895295143127,0.015964435413479805,0.05360668525099754,0.1656688004732132,0.14217782020568848,0.09196612983942032,0.1305062621831894
juden,0.2051568180322647,0.18904204666614532,0.39669069647789,0.05799485370516777,0.1028958335518837,0.1314530074596405,0.18984679877758026,0.12195603549480438,0.1144842728972435,0.15685802698135376,0.20269548892974854,0.4300824999809265,0.1697024405002594
und,0.12973321974277496,0.10551264137029648,0.23477625846862793,0.06573744863271713,0.09024061262607574,0.2151389867067337,0.22430375218391418,0.02302747592329979,0.1317371428012848,0.16839812695980072,0.16904859244823456,0.17214888334274292,0.12338054925203323
ihren,0.2118174284696579,0.22539469599723816,0.3722873330116272,0.044478073716163635,0.18029482662677765,0.1948200762271881,0.1985168159008026,-0.004887775518000126,0.25037312507629395,0.1372905671596527,0.1540049910545349,0.2730233371257782,0.25993257761001587
lügen,0.20422202348709106,0.2335074543952942,0.2981659770011902,0.007343769539147615,0.19851115345954895,0.20705340802669525,0.33387887477874756,-0.003206946887075901,0.15871185064315796,0.23442192375659943,0.312258243560791,0.21198689937591553,0.19766996800899506
(,0.2411840260028839,0.2980341613292694,0.1677781045436859,0.0012731997994706035,0.19543711841106415,0.22960703074932098,0.35032153129577637,0.05356858670711517,0.2528259754180908,0.28656116127967834,0.33289089798927307,0.138645738363266,0.40561532974243164
on,0.34226128458976746,0.3909217119216919,0.19090485572814941,0.0026888418942689896,0.21282386779785156,0.26663315296173096,0.3966929316520691,-0.06378782540559769,0.17732977867126465,0.9999999403953552,0.5107308030128479,0.13907738029956818,0.2714994251728058
the,0.42745697498321533,0.48711544275283813,0.1759674996137619,-0.01540423184633255,0.31775903701782227,0.2704800069332123,0.733189046382904,0.04733072593808174,0.29205581545829773,0.5107308030128479,1.0,0.24901628494262695,0.22068053483963013
jews,0.22131574153900146,0.1935933530330658,0.24326977133750916,0.017030835151672363,0.09411045908927917,0.20316407084465027,0.2207300066947937,-0.013786796480417252,0.21707488596439362,0.13907738029956818,0.24901628494262695,1.0000001192092896,0.16730794310569763
and,0.31309178471565247,0.3740963041782379,0.20796556770801544,0.06895173341035843,0.29795366525650024,0.37551814317703247,0.5116966962814331,-0.023831376805901527,0.26495280861854553,0.4077630043029785,0.5171257257461548,0.2555774748325348,0.20544172823429108
