,what,fixed,set,of,factors,determine,the,actions,of,a,deterministic,turing,machine
a,0.3320399522781372,0.24578048288822174,0.2540091574192047,0.5052502155303955,0.19412465393543243,0.3650607168674469,0.5829201340675354,0.22348695993423462,0.5052502155303955,1.0,0.35494157671928406,0.25234705209732056,0.24983544647693634
deterministic,0.41523241996765137,0.31198152899742126,0.2321997433900833,0.3430701494216919,0.4876229763031006,0.7205086946487427,0.33725428581237793,0.3200983703136444,0.3430701494216919,0.35494157671928406,1.0,0.4115058183670044,0.27763426303863525
turing,0.2806522250175476,0.21131744980812073,0.23849166929721832,0.2670239806175232,0.24043573439121246,0.31221580505371094,0.2644472122192383,0.29611268639564514,0.2670239806175232,0.25234705209732056,0.4115058183670044,1.0000001192092896,0.4048772156238556
machine,0.23075932264328003,0.14322613179683685,0.18266715109348297,0.15468473732471466,0.22781990468502045,0.20093661546707153,0.22788187861442566,0.2045169323682785,0.15468473732471466,0.24983544647693634,0.27763426303863525,0.4048772156238556,1.0
is,0.28837618231773376,0.19544963538646698,0.21148966252803802,0.4854315221309662,0.23428019881248474,0.31959035992622375,0.5823672413825989,0.17133161425590515,0.4854315221309662,0.658733606338501,0.33447402715682983,0.18364353477954865,0.18938691914081573
the,0.42745697498321533,0.27127328515052795,0.2927955985069275,0.733189046382904,0.2769666314125061,0.40889066457748413,1.0,0.297427237033844,0.733189046382904,0.5829201340675354,0.33725428581237793,0.2644472122192383,0.22788187861442566
most,0.3219912350177765,0.20209814608097076,0.15995323657989502,0.4178851246833801,0.26446184515953064,0.2702135145664215,0.47635307908058167,0.19948463141918182,0.4178851246833801,0.3508910834789276,0.2568792700767517,0.23340554535388947,0.17841923236846924
basic,0.3564627468585968,0.3554556369781494,0.2104903906583786,0.2817785441875458,0.2392304241657257,0.2608242630958557,0.27259987592697144,0.27125102281570435,0.2817785441875458,0.2517271041870117,0.3742840886116028,0.2720482647418976,0.2905193269252777
turing,0.2806522250175476,0.21131744980812073,0.23849166929721832,0.2670239806175232,0.24043573439121246,0.31221580505371094,0.2644472122192383,0.29611268639564514,0.2670239806175232,0.25234705209732056,0.4115058183670044,1.0000001192092896,0.4048772156238556
machine,0.23075932264328003,0.14322613179683685,0.18266715109348297,0.15468473732471466,0.22781990468502045,0.20093661546707153,0.22788187861442566,0.2045169323682785,0.15468473732471466,0.24983544647693634,0.27763426303863525,0.4048772156238556,1.0
",",0.3087472915649414,0.18453384935855865,0.24912182986736298,0.4946078956127167,0.20595882833003998,0.2144405096769333,0.4933079481124878,0.24007150530815125,0.4946078956127167,0.427140474319458,0.22677423059940338,0.2807261645793915,0.21841607987880707
