,what,is,the,origin,of,clinical,pharmacy,?
clinical,0.2278289943933487,0.17214488983154297,0.24038995802402496,0.09734399616718292,0.2760547399520874,1.0,0.4141220450401306,0.1678651124238968
pharmacists,0.28274545073509216,0.20884303748607635,0.24311043322086334,0.1979125738143921,0.20506609976291656,0.4310356378555298,0.7877770662307739,0.1797308325767517
care,0.2973911762237549,0.1715470850467682,0.1663842648267746,0.021826868876814842,0.20533065497875214,0.32324540615081787,0.2922910749912262,0.24279968440532684
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.20526328682899475,0.4185989499092102,0.28036341071128845,0.1657865047454834,0.264628142118454
patients,0.28700166940689087,0.16825053095817566,0.22047552466392517,0.11010196805000305,0.1887446492910385,0.5886458158493042,0.27920523285865784,0.17145128548145294
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.25708678364753723,0.5696388483047485,0.25644800066947937,0.22082467377185822,0.20430970191955566
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.21059706807136536,0.42798417806625366,0.1658625453710556,0.1582980751991272,0.29575422406196594
health,0.21460163593292236,0.1864514946937561,0.2340974360704422,0.06796155869960785,0.28076469898223877,0.44868576526641846,0.32834142446517944,0.16094304621219635
care,0.2973911762237549,0.1715470850467682,0.1663842648267746,0.021826868876814842,0.20533065497875214,0.32324540615081787,0.2922910749912262,0.24279968440532684
settings,0.3351864218711853,0.15985168516635895,0.20917028188705444,0.10582205653190613,0.1335434466600418,0.18307657539844513,0.1865936666727066,0.31880196928977966
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2943580448627472,0.4946078956127167,0.21013301610946655,0.19815339148044586,0.31091248989105225
but,0.5029441118240356,0.4106791317462921,0.4859698414802551,0.1923649162054062,0.39942997694015503,0.18787965178489685,0.18861611187458038,0.27921953797340393
the,0.42745697498321533,0.5823672413825989,1.0,0.24161343276500702,0.733189046382904,0.24038995802402496,0.1938311904668808,0.22068053483963013
clinical,0.2278289943933487,0.17214488983154297,0.24038995802402496,0.09734399616718292,0.2760547399520874,1.0,0.4141220450401306,0.1678651124238968
pharmacy,0.21638189256191254,0.16101746261119843,0.1938311904668808,0.08006657660007477,0.18226979672908783,0.4141220450401306,1.0,0.1355620175600052
movement,0.23934946954250336,0.20353496074676514,0.339571475982666,0.15920208394527435,0.2662941515445709,0.19526877999305725,0.05195767432451248,0.1423349231481552
initially,0.24580118060112,0.18891194462776184,0.2997018098831177,0.1930934339761734,0.21367986500263214,0.1968051642179489,0.11955604702234268,0.0699334517121315
began,0.1665823757648468,0.20498190820217133,0.3059147596359253,0.21691514551639557,0.2330763041973114,0.1577833890914917,0.10550294816493988,0.1370266228914261
inside,0.2567365765571594,0.2848464548587799,0.35313180088996887,0.1441904604434967,0.2544495463371277,0.11273428052663803,0.13529781997203827,0.14505037665367126
hospitals,0.17187856137752533,0.17465364933013916,0.21814650297164917,-0.010816538706421852,0.2402491718530655,0.4520389139652252,0.3511236011981964,0.10646984726190567
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.18243800103664398,0.5116966962814331,0.2551795542240143,0.21655313670635223,0.20544172823429108
clinics,0.20099933445453644,0.14037863910198212,0.21555426716804504,0.06764266639947891,0.21459344029426575,0.781347930431366,0.4856012761592865,0.14777065813541412
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.21880026161670685,0.5352458953857422,0.21580979228019714,0.23916830122470856,0.4130953550338745
