,what,types,of,recordings,at,johnson,space,center,were,used,to,help,restore,the,original,tapes,?
the,0.42745697498321533,0.23509301245212555,0.733189046382904,0.21458035707473755,0.457212895154953,0.2214501053094864,0.24495907127857208,0.29064592719078064,0.3906462490558624,0.3718377649784088,0.535392165184021,0.30064165592193604,0.3155142068862915,1.0,0.4037000238895416,0.2105327844619751,0.22068053483963013
images,0.23456238210201263,0.22190576791763306,0.2139289528131485,0.29445546865463257,0.2318706214427948,0.1521766632795334,0.25024718046188354,0.2024555653333664,0.2116612046957016,0.23759497702121735,0.2165423482656479,0.2241828292608261,0.2063237428665161,0.22232814133167267,0.2052323967218399,0.30741098523139954,0.22502069175243378
were,0.22298263013362885,0.2674507200717926,0.34038281440734863,0.2252539098262787,0.2947486639022827,0.1583571434020996,0.15497688949108124,0.13921807706356049,1.0000001192092896,0.27636459469795227,0.31913647055625916,0.20385180413722992,0.1969454437494278,0.3906462490558624,0.27702075242996216,0.2527609169483185,0.17890112102031708
from,0.2737620174884796,0.22118957340717316,0.4249346852302551,0.1899273544549942,0.3447161316871643,0.16031619906425476,0.14363344013690948,0.15257422626018524,0.29991888999938965,0.25821518898010254,0.4069952368736267,0.22515058517456055,0.21046341955661774,0.40150508284568787,0.233787402510643,0.18808875977993011,0.19969791173934937
tapes,0.21204043924808502,0.23864707350730896,0.22208455204963684,0.48379066586494446,0.20262578129768372,0.23356227576732635,0.25468090176582336,0.15036289393901825,0.2527609169483185,0.26524242758750916,0.26465630531311035,0.201385498046875,0.18003635108470917,0.2105327844619751,0.24619916081428528,1.0,0.17198848724365234
in,0.30808621644973755,0.18516337871551514,0.5696388483047485,0.20401901006698608,0.4374977946281433,0.20434744656085968,0.17648501694202423,0.27253323793411255,0.3815755248069763,0.3090210556983948,0.45010748505592346,0.21321536600589752,0.24718217551708221,0.6662389636039734,0.2534193694591522,0.18297863006591797,0.20430970191955566
australia,0.1913539320230484,0.21319155395030975,0.2669609785079956,0.1451312005519867,0.2298690378665924,0.17889650166034698,0.12131248414516449,0.08234073966741562,0.19584374129772186,0.18656927347183228,0.24799345433712006,0.2011869251728058,0.06782092154026031,0.26828548312187195,0.14719825983047485,0.1713133007287979,0.15702682733535767
",",0.3087472915649414,0.24108222126960754,0.4946078956127167,0.23202086985111237,0.38314947485923767,0.2783930003643036,0.2285580337047577,0.1905742734670639,0.36755475401878357,0.3120402991771698,0.44245919585227966,0.2855570912361145,0.23843272030353546,0.4933079481124878,0.23508994281291962,0.1773630827665329,0.31091248989105225
the,0.42745697498321533,0.23509301245212555,0.733189046382904,0.21458035707473755,0.457212895154953,0.2214501053094864,0.24495907127857208,0.29064592719078064,0.3906462490558624,0.3718377649784088,0.535392165184021,0.30064165592193604,0.3155142068862915,1.0,0.4037000238895416,0.2105327844619751,0.22068053483963013
cbs,0.1950361132621765,0.11294769495725632,0.16151919960975647,0.31583285331726074,0.20168915390968323,0.32122358679771423,0.1504037231206894,0.17246709764003754,0.17166459560394287,0.16387507319450378,0.16981691122055054,0.11976263672113419,0.08549942076206207,0.2283918708562851,0.2126300036907196,0.29677703976631165,0.14594407379627228
news,0.2584491968154907,0.02116049826145172,0.1894020140171051,0.17339269816875458,0.19028638303279877,0.153469979763031,0.12825818359851837,0.17254966497421265,0.12939873337745667,0.11565421521663666,0.2372783124446869,0.224391371011734,0.05333320051431656,0.2294066995382309,0.10722746700048447,0.28370463848114014,0.1899169683456421
