,what,does,atp,mean,?
atp,0.1845729500055313,0.14583121240139008,1.0,0.09861453622579575,0.17643076181411743
synthase,0.1585291028022766,0.18727116286754608,0.5215639472007751,0.12452095001935959,0.16424381732940674
uses,0.1933930367231369,0.45398131012916565,0.18661659955978394,0.264642596244812,0.18407079577445984
the,0.42745697498321533,0.35928019881248474,0.22016242146492004,0.25977957248687744,0.22068053483963013
energy,0.190252885222435,0.23927782475948334,0.4139546751976013,0.14043407142162323,0.14860127866268158
from,0.2737620174884796,0.1777622550725937,0.14330022037029266,0.2319565713405609,0.19969791173934937
the,0.42745697498321533,0.35928019881248474,0.22016242146492004,0.25977957248687744,0.22068053483963013
flowing,0.16179463267326355,0.21233876049518585,0.15139120817184448,0.14521004259586334,0.08640758693218231
hydrogen,0.19052310287952423,0.2498556524515152,0.4159596264362335,0.16979245841503143,0.14590126276016235
ions,0.19082559645175934,0.2879132926464081,0.46110352873802185,0.17449785768985748,0.19270877540111542
to,0.455847829580307,0.4391997456550598,0.18189017474651337,0.2274881899356842,0.29463258385658264
phosphorylate,0.2459511160850525,0.33153656125068665,0.49056288599967957,0.2724931240081787,0.22523631155490875
adenosine,0.21690887212753296,0.23960669338703156,0.5218569040298462,0.2283249944448471,0.19395311176776886
diphosphate,0.19518765807151794,0.2606399655342102,0.5239964723587036,0.22275565564632416,0.15267851948738098
into,0.2180619090795517,0.22312942147254944,0.21582083404064178,0.2061072587966919,0.15662476420402527
adenosine,0.21690887212753296,0.23960669338703156,0.5218569040298462,0.2283249944448471,0.19395311176776886
triphosphate,0.1907254308462143,0.26395928859710693,0.5738924741744995,0.2065393179655075,0.14454326033592224
",",0.3087472915649414,0.28617382049560547,0.1638907492160797,0.27540135383605957,0.31091248989105225
or,0.33867141604423523,0.4248845875263214,0.16767413914203644,0.45437735319137573,0.32389625906944275
atp,0.1845729500055313,0.14583121240139008,1.0,0.09861453622579575,0.17643076181411743
.,0.3567904531955719,0.3022993505001068,0.2014213502407074,0.21881133317947388,0.4130953550338745
