,how,much,area,does,the,university,library,garden,cover,?
it,0.36714982986450195,0.48116767406463623,0.34513235092163086,0.34188351035118103,0.6251175999641418,0.20301668345928192,0.1741359829902649,0.20674630999565125,0.20804022252559662,0.25732165575027466
is,0.22544461488723755,0.3156087100505829,0.29283958673477173,0.4403602182865143,0.5823672413825989,0.20346471667289734,0.16916222870349884,0.21094022691249847,0.19958840310573578,0.22961433231830597
one,0.3213292360305786,0.3110751807689667,0.22590439021587372,0.2924913763999939,0.5514441132545471,0.2106119841337204,0.19550721347332,0.23769815266132355,0.22352686524391174,0.2673267424106598
of,0.2480744868516922,0.2671096920967102,0.3409860134124756,0.3119818866252899,0.733189046382904,0.30646374821662903,0.21889357268810272,0.23306405544281006,0.26416900753974915,0.1826142966747284
the,0.33890387415885925,0.35023224353790283,0.37834644317626953,0.35928019881248474,1.0,0.263973206281662,0.19920319318771362,0.23359008133411407,0.26727065443992615,0.22068053483963013
largest,0.08743762224912643,0.2249041199684143,0.3564985394477844,0.18477381765842438,0.3757036626338959,0.25739672780036926,0.21099962294101715,0.15304230153560638,0.10417219251394272,0.12401245534420013
and,0.33647966384887695,0.38395699858665466,0.3044000566005707,0.3461615741252899,0.5171257257461548,0.2665814459323883,0.18451033532619476,0.2236175239086151,0.27793973684310913,0.20544172823429108
most,0.311336874961853,0.4205867648124695,0.2143535614013672,0.30044323205947876,0.47635307908058167,0.19178320467472076,0.16268503665924072,0.16051137447357178,0.24211710691452026,0.2107497900724411
beautiful,0.2008688896894455,0.20631758868694305,0.10201917588710785,0.1877201348543167,0.19110354781150818,0.14299659430980682,0.15269622206687927,0.258818119764328,0.17807094752788544,0.15274713933467865
roof,0.12629272043704987,0.21640442311763763,0.2655688226222992,0.16663086414337158,0.2787506580352783,0.16081273555755615,0.11440009623765945,0.2781809866428375,0.27380257844924927,0.09652714431285858
gardens,0.09434571117162704,0.1610724776983261,0.3039306700229645,0.10343234241008759,0.21929459273815155,0.21931466460227966,0.23949429392814636,0.7720358967781067,0.192393958568573,0.1399904191493988
in,0.2601168751716614,0.2725222110748291,0.33632898330688477,0.214483380317688,0.6662389636039734,0.3201795518398285,0.2101847380399704,0.22543586790561676,0.19227565824985504,0.20430970191955566
europe,0.1606675088405609,0.29395177960395813,0.21544227004051208,0.1306854486465454,0.34463706612586975,0.14922571182250977,0.13526861369609833,0.2069564312696457,0.19740472733974457,0.18278923630714417
with,0.3525622487068176,0.2808258831501007,0.2303420901298523,0.26186925172805786,0.4223487675189972,0.13264121115207672,0.1252506524324417,0.12836827337741852,0.3031909763813019,0.2433311939239502
an,0.2520636022090912,0.2866077721118927,0.23076042532920837,0.29477936029434204,0.4207492768764496,0.1648537814617157,0.1375575214624405,0.16632457077503204,0.2192966639995575,0.19793890416622162
area,0.17030490934848785,0.23905497789382935,1.0,0.13779224455356598,0.37834644317626953,0.21217475831508636,0.09445278346538544,0.25230154395103455,0.28301650285720825,0.12640461325645447
of,0.2480744868516922,0.2671096920967102,0.3409860134124756,0.3119818866252899,0.733189046382904,0.30646374821662903,0.21889357268810272,0.23306405544281006,0.26416900753974915,0.1826142966747284
more,0.4319567084312439,0.5936280488967896,0.20655664801597595,0.2897747755050659,0.39758381247520447,0.16529905796051025,0.0785970613360405,0.135712131857872,0.2601265013217926,0.27894994616508484
than,0.29763275384902954,0.632695198059082,0.19351425766944885,0.32178643345832825,0.3227543234825134,0.1508307009935379,0.10215247422456741,0.10459776222705841,0.22162169218063354,0.24917294085025787
"10,000",-0.08011393249034882,-0.08140140026807785,-0.16791394352912903,-0.0472201369702816,-0.07657112926244736,0.034652210772037506,0.011241113767027855,-0.007581073325127363,-0.08415471017360687,0.10342991352081299
m2,0.01911616139113903,0.010788529179990292,-0.017933474853634834,0.03845062851905823,-0.011643829755485058,-0.025996645912528038,0.010330118238925934,0.014453055337071419,-0.01831206865608692,0.0007930725696496665
(,0.1676948219537735,0.21788647770881653,0.18064655363559723,0.2728188931941986,0.33289089798927307,0.20313534140586853,0.18725703656673431,0.22906486690044403,0.18309444189071655,0.40561532974243164
"107,639.10",0.05632888525724411,0.15710727870464325,0.22243329882621765,0.10500837862491608,0.2347041517496109,0.12195438146591187,0.026600971817970276,0.07209117710590363,-0.04660031944513321,-0.030537225306034088
sq,0.10252654552459717,0.1848931461572647,0.5024183392524719,0.14913605153560638,0.18837253749370575,0.2110247164964676,0.1680528223514557,0.22430717945098877,0.18394610285758972,0.18786261975765228
ft,0.17820364236831665,0.15052607655525208,0.20156227052211761,0.08653369545936584,0.16553674638271332,0.16759437322616577,0.09434027969837189,0.14714254438877106,0.11189970374107361,0.17776548862457275
),0.17939934134483337,0.22256317734718323,0.18319392204284668,0.2575884759426117,0.3456730246543884,0.20796938240528107,0.18188947439193726,0.23771566152572632,0.16961535811424255,0.42300865054130554
",",0.22659391164779663,0.36182254552841187,0.2664283812046051,0.28617382049560547,0.4933079481124878,0.3017033040523529,0.16805633902549744,0.2712799608707428,0.24982257187366486,0.31091248989105225
and,0.33647966384887695,0.38395699858665466,0.3044000566005707,0.3461615741252899,0.5171257257461548,0.2665814459323883,0.18451033532619476,0.2236175239086151,0.27793973684310913,0.20544172823429108
